rn	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	MG1	MG2	MG3	MG4	MG5	MG6	MG7	MG8	MG9	MG10	MG11	MG12	MG13	MG14	MG15	MG16	MG17	MG18	MG19	MG20	MG21	MG22	MG23	MG24	MG25	MG26	MG27	MG28	MG29	MG30	MG31	MG32	MG33	MG34	MG35	MG36	MG37	MG38	MG39	MG40	MG41	MG42	MG43	MG44	MG45	MG46	MG47	MG48	MG49	MG50	MG51	MG52	MG53	MG54	MG55	MG56	MG57	MG58	MG59	MG60	MG61	MG62	MG63	MG64	MG65	MG66	MG67	MG68	MG69	MG70	MG71	MG72	MG73	MG74	MG75	MG76	MG77	MG78	MG79	MG80	MG81	MG82	MG83	MG84	MG85
L1	0																																																																																														
L2	0.007042259751538808	0																																																																																													
L3	0.006539462735118208	0.006137697242026476	0																																																																																												
L4	0.007210089144011778	0.0063038484026149534	0.006054012342000216	0																																																																																											
L5	0.007074467525018458	0.006095558412752465	0.005804369737871372	0.0060527979734738505	0																																																																																										
L6	0.0069118760424738595	0.005581242919540398	0.005150279319522788	0.005846024672910584	0.005129061758022894	0																																																																																									
L7	0.006752730123956857	0.005816852545293042	0.005655221540013408	0.005777683921884111	0.005308755550470218	0.00516985272689629	0																																																																																								
L8	0.006466394058834026	0.006121184435088826	0.005278693402143732	0.00528541029749377	0.005651129695759231	0.005205374097200924	0.005470028064235041	0																																																																																							
L9	0.006740299494405351	0.006005037358586948	0.00553262132975528	0.0058210608238968824	0.005463077452761502	0.005420243097980024	0.005646026291905417	0.005397891100349085	0																																																																																						
L10	0.006653251772759629	0.0063776951838864105	0.005349191881848496	0.006267442877631293	0.005778710908094452	0.005478152532036449	0.005546205825837117	0.005920439259900184	0.006114565079014116	0																																																																																					
MG1	0.006904065110167367	0.005618992980337308	0.005502747313538224	0.0060060228722114235	0.005618375901348703	0.004807705287935144	0.005568330719991289	0.005274664949929175	0.005572291101304816	0.00534016271057981	0																																																																																				
MG2	0.0067343767006106964	0.0058158114012915214	0.0055584912800678635	0.005681319132137421	0.005258391546674918	0.004888803722301854	0.00519099034354647	0.0055045811872401675	0.005560592649810878	0.005387752592218068	0.004934881563509302	0																																																																																			
MG3	0.007138676568708899	0.006573292586898976	0.005807433467706279	0.005935107858214967	0.005835058416324449	0.005211949020803612	0.0055679960907209095	0.005581144702356774	0.005884203471214658	0.00608686286137139	0.005953420957901593	0.005499696526760421	0																																																																																		
MG4	0.006172992172773296	0.005850748136401403	0.0051807702822713395	0.005075585356282906	0.005453481067098339	0.0052175714896218455	0.005464775024349998	0.005216426172949368	0.0055840482634212235	0.005674015320186195	0.005445482348842817	0.005441068599418476	0.005490026135927935	0																																																																																	
MG5	0.005905390981172945	0.0059187583241198435	0.005151280230040515	0.005847403849645989	0.00513089060467977	0.005239396541432175	0.005080550590850015	0.005166258519716364	0.005416992485180601	0.005180434493759792	0.005259824027718646	0.00515857393749715	0.005212098752798718	0.004697359397478405	0																																																																																
MG6	0.006731450715272864	0.005865993474932483	0.005108037167049406	0.0054033786901475905	0.005623299162005147	0.005392854050045686	0.005177631474466274	0.00520152981074624	0.005577837087531351	0.006026663946815413	0.00559890021169395	0.005232836509184509	0.005500446239366565	0.0051568431881130064	0.005491035835137226	0																																																																															
MG7	0.007420194813550131	0.007058115229225662	0.006318374608754282	0.0065179191992080976	0.006324798334492843	0.00596854741079078	0.006516419778433166	0.006076313938119448	0.006148106382331553	0.006357701655855882	0.0065693737362861005	0.005915203438360853	0.006600595471204301	0.006391352793213451	0.006039204753202725	0.006085341124284143	0																																																																														
MG8	0.00665215249576335	0.005335192816798324	0.005633630549466836	0.005572195789257981	0.005684122735648725	0.005115612787272977	0.005282715518368751	0.005030929937248557	0.0055913309433747345	0.005521052868153078	0.005490538686511709	0.004812987549131766	0.005778516686860802	0.0054745441864137495	0.0049515416197888585	0.005250416784923758	0.006215121374680654	0																																																																													
MG9	0.007061553401460243	0.0064767199104010555	0.005835801722812059	0.006261464746554971	0.005910312122443307	0.005657665611798508	0.006260637302597759	0.005611189980395193	0.005803794636919595	0.005883843726349455	0.005946501709352183	0.005717083391812638	0.00631677645528115	0.0060353275503583015	0.0058073928487617915	0.005784790515051453	0.006915133681493391	0.005754383764238081	0																																																																												
MG10	0.006992933724363417	0.006093342465766216	0.005577513213852414	0.006120662540104184	0.005532971516745815	0.005679157805380856	0.005951803927986726	0.005116409772259811	0.006067428461717411	0.006089836042496001	0.005382124398511158	0.0055805992004645585	0.006124725865692624	0.0055326216634866985	0.005642944992599006	0.005449916812254798	0.006530749992410024	0.005507999549081992	0.0060082012419746655	0																																																																											
MG11	0.006709799705159165	0.005662875560883828	0.005530518107511874	0.005680852762028234	0.005689636175504307	0.004702428181946631	0.005451542001689161	0.005344031112553508	0.0058908634573097045	0.005919461186056324	0.004756090385732162	0.0050027669759272145	0.005529809410084908	0.005272939267123201	0.005011174346446665	0.005013848497706281	0.006060956917744638	0.004929833555246934	0.006259473671515617	0.005423110686466818	0																																																																										
MG12	0.0069012647309434055	0.006125000153451028	0.005441607732163231	0.005900395900846006	0.0055312657106029485	0.00481414054275184	0.005478166742723231	0.0051256778962770685	0.005696547121821086	0.005897319047941877	0.005486477687916326	0.005450969958598311	0.005121232106804348	0.0054323892355588954	0.005131608743834158	0.005309255527625303	0.006437683994642912	0.005566836760594493	0.005993172341256598	0.005585976683905174	0.005475166483065433	0																																																																									
MG13	0.006413071828668641	0.005886367480520136	0.005487560247821893	0.00570153951131931	0.0056368530790329	0.005121633152069436	0.004843670988409474	0.005012778764974951	0.0055412024441077535	0.0052873204057295115	0.004914639747275155	0.0051561743523718066	0.005528693512467565	0.005036852558736701	0.005006300768355177	0.005469176657794891	0.00600986078384134	0.005116164421923042	0.005689522420757378	0.005354996184016042	0.005303886193991319	0.0053607677317991905	0																																																																								
MG14	0.0064575043940733896	0.006205166024634086	0.005714392243445371	0.006084566611270926	0.0051329146942472705	0.005111972704176498	0.0051265950826714975	0.005229023168125378	0.0056569773222682855	0.005380126749023066	0.005220834862522691	0.005748407066561635	0.005805941925681061	0.005586806797691659	0.004740119031394047	0.005284492687219394	0.006174855257825223	0.005283685798116227	0.005741553173934942	0.005622596876325032	0.005466567814263619	0.00570007855171075	0.005031827407845983	0																																																																							
