"SampleID","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","MG1","MG2","MG3","MG4","MG5","MG6","MG7","MG8","MG9","MG10","MG11","MG12","MG13","MG14","MG15","MG16","MG17","MG18","MG19","MG20","MG21","MG22","MG23","MG24","MG25","MG26","MG27","MG28","MG29","MG30","MG31","MG32","MG33","MG34","MG35","MG36","MG37","MG38","MG39","MG40","MG41","MG42","MG43","MG44","MG45","MG46","MG47","MG48","MG49","MG50","MG51","MG52","MG53","MG54","MG55","MG56","MG57","MG58","MG59","MG60","MG61","MG62","MG63","MG64","MG65","MG66","MG67","MG68","MG69","MG70","MG71","MG72","MG73","MG74","MG75","MG76","MG77","MG78","MG79","MG80","MG81","MG82","MG83","MG84","MG85"
2138243,456912,346088,202876,400356,447056,281374,213653,388192,356269,376763,390894,225240,359490,263856,456612,441305,486382,439889,334805,462101,317638,374223,303967,342315,225433,336045,214867,361963,397040,276408,443599,348379,464981,364400,381010,390738,255872,404675,210697,463205,227921,238355,255675,270367,279779,244818,399165,317307,294986,366978,282383,225184,280023,232869,460755,469076,488047,341652,204754,291212,232430,263224,399371,221890,298541,222616,301223,437118,418977,474030,199207,283362,326640,233490,436478,279472,423229,251355,479890,254402,314713,302775,461987,464625,468431,272400,282505,422035,283741,464038,291196,360581,403487,467508,224091
3031449,304809,230870,135629,267501,298199,187725,141976,260070,236566,251248,261040,150363,239983,175887,304162,294433,326293,294424,223140,308750,212221,250525,202335,228526,150532,223962,142690,241546,264923,184597,295678,232376,310354,243361,255076,260187,170901,270677,141001,309228,152761,159299,171188,180534,187556,163186,265812,211642,196443,244667,188460,150500,186018,154984,307837,313141,325824,227406,136298,193977,155176,175124,267209,148003,199484,148051,202390,292137,279211,316027,132953,189032,217770,156505,290403,186874,282178,168128,321038,169453,210168,202098,307825,310398,313056,181920,188449,281173,189635,311030,193890,240561,270350,311916,148948
795747,272696,206667,120619,237963,267448,167759,127632,231963,211905,224556,235037,134724,215458,157209,271690,263454,290077,263023,200619,275347,190285,223959,182007,204439,135565,200765,128398,216012,238081,164699,264828,208354,277930,216684,227590,232748,153020,241696,125405,275994,136599,142421,153305,161304,167926,145709,237939,189718,175589,218805,169093,134604,166212,139777,275370,280211,291098,204097,122219,173581,139176,157200,238005,131877,179590,132138,180647,261359,249804,282962,119093,168990,194783,139490,260945,167240,253038,150272,287125,151093,187070,180667,275176,277444,280555,162977,168861,252271,169264,276297,172892,214543,240837,279206,133797
1313211,260816,198702,115902,227835,254907,160257,121294,221203,202846,214367,223333,128459,205740,150384,258834,251144,277737,251090,191234,263466,181491,213026,173793,196032,128613,191413,122501,206497,226943,157771,253100,199210,264360,207984,217544,223506,146816,230860,120041,264442,130442,136734,146570,153195,160102,139573,226885,180621,168105,209333,161624,128245,158770,133341,262931,268084,278299,195163,116264,166375,132279,149830,227573,126608,170527,126334,172008,249922,237536,270531,113765,162178,185747,132421,248120,159128,241342,143806,272635,144311,180241,172440,263719,265607,268154,155033,160702,240583,162130,264556,165889,205283,230532,268144,127009
2008785,248923,188211,110238,217509,243062,152947,116120,212226,193713,205273,212572,121288,195736,143056,247668,239431,264818,238758,182376,250938,172856,203513,165407,186264,122603,183509,116837,197652,215875,149576,240775,189934,252842,197519,208004,212079,140212,220623,113970,251547,124372,129756,138975,146462,152844,133114,216982,171350,159171,199895,154255,122475,151594,126564,251275,255430,265530,186341,110767,158455,126760,142208,217854,120444,162503,120686,163794,238152,227599,258334,107783,154279,177588,127138,237708,151531,229072,136438,261611,137865,170587,163382,250875,252273,254993,148280,153569,229588,154231,253274,158231,196154,219292,255449,121942
388447,186112,141114,82431,162677,183253,115262,86620,158879,144473,153011,159698,91857,147105,108192,186942,179849,199241,179893,136977,188445,129715,153078,124184,140116,91778,137404,87949,147978,161781,112637,181138,142881,189543,147386,155325,159203,105115,165304,86293,189178,93086,97354,104930,109972,113948,99923,162830,129660,119522,149401,115560,92408,114347,95499,188841,190789,199292,138643,83336,118608,94885,107485,162880,90115,121837,90438,123426,179062,170329,193703,81565,115668,133817,95257,177796,114299,172356,102860,195572,103549,128098,123835,187582,190582,192034,111035,115897,172043,115549,189500,118619,147428,165127,190907,91852
1497346,140231,106456,62035,122879,137372,86083,65240,119287,108778,115290,119865,68471,110219,80959,139977,134946,149027,135429,102044,142091,97525,114811,93076,105163,68649,102650,65277,110706,121813,84423,135255,106774,142475,111102,116338,119683,78719,124095,64412,141380,70131,72915,78299,82501,85728,75047,122175,97273,90126,112053,86373,69126,85380,71137,141062,143707,149634,104504,62825,88814,71455,80474,122562,68116,91949,67995,92319,133852,127905,145355,61224,86878,100185,71665,133674,85538,129904,77113,146390,77100,95917,93096,141575,142523,143578,83288,86252,129380,86683,142419,89254,110689,123905,143879,68546
3031419,138613,105065,61618,121192,135174,84973,64266,117638,107985,114323,118682,68178,109008,79493,137949,133073,147568,133665,101522,140281,95965,113421,91825,103499,68436,101661,64757,110459,120111,83638,134853,105650,141249,109352,115521,118445,77575,122513,63869,140026,69261,72453,77482,81621,84807,73979,120670,96396,88601,111224,85949,68079,84608,70428,139597,142225,148250,103515,62353,88306,70642,79768,121487,66893,91243,66500,90921,132815,127066,143830,60433,85904,98427,70644,132097,84539,127697,76266,145541,76690,95411,91390,140062,141098,142673,82403,86210,127738,86095,140465,88220,108665,122167,142274,67887
2907184,117026,89191,52375,102677,114602,72108,55159,99916,91536,96130,100454,57550,92465,67580,117451,113530,124553,113623,85878,119255,81306,96608,78098,87818,57666,86630,54742,93182,102008,70399,114052,89436,119255,92753,97754,100696,65548,104276,54058,119223,59028,60943,66010,69551,71903,63040,103014,81447,75562,93868,72346,57875,71518,59925,117909,120304,125377,87459,52526,75030,59356,67810,102341,57021,76828,57380,77610,112160,106990,121175,50959,73192,84080,60293,112310,71278,108075,64512,122986,64888,80761,77293,117865,118733,119762,70330,72498,108119,73026,118929,74615,91977,103553,120402,57041
200643,114782,87803,51351,100361,112830,70529,53723,97314,89808,94661,98238,56924,90574,66646,113957,110790,123073,111089,84304,116117,79970,93854,76519,86679,56678,84827,54069,90994,99824,69416,111748,87714,117656,91319,96500,98327,64804,101882,52782,116699,57642,59675,64425,67835,70568,61165,99902,80321,74044,92852,71492,56877,70160,58506,116258,117863,123451,86097,51792,73800,58820,66261,100786,55833,75827,56273,75917,109961,104923,119279,50333,71627,82088,58595,109544,71208,106588,63671,120744,63599,79210,76519,116408,117018,118596,69026,71259,106520,71236,116806,72596,90973,101356,118237,56527
