"SampleID","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","MG1","MG2","MG3","MG4","MG5","MG6","MG7","MG8","MG9","MG10","MG11","MG12","MG13","MG14","MG15","MG16","MG17","MG18","MG19","MG20","MG21","MG22","MG23","MG24","MG25","MG26","MG27","MG28","MG29","MG30","MG31","MG32","MG33","MG34","MG35","MG36","MG37","MG38","MG39","MG40","MG41","MG42","MG43","MG44","MG45","MG46","MG47","MG48","MG49","MG50","MG51","MG52","MG53","MG54","MG55","MG56","MG57","MG58","MG59","MG60","MG61","MG62","MG63","MG64","MG65","MG66","MG67","MG68","MG69","MG70","MG71","MG72","MG73","MG74","MG75","MG76","MG77","MG78","MG79","MG80","MG81","MG82","MG83","MG84","MG85"
186827,163559,321399,282326,215842,314748,360704,345121,262463,212110,274683,165097,251098,177857,220670,324227,390814,276898,192186,382381,400775,382285,255879,379882,367503,280545,347017,321896,201163,311528,346682,227848,274197,299580,384209,319709,280781,259618,177657,189828,312635,394492,288872,230025,223612,304475,181863,282272,250502,302431,387121,350350,161090,311546,376981,359333,373296,330093,221204,167790,361992,354953,309506,354056,232340,218048,339084,174527,375270,251659,348648,380562,163383,161637,278658,264789,248144,163018,266800,173352,184952,337751,263677,276511,357512,391978,192728,279054,204245,305474,313163,296791,273500,291941,217081,264797
119060,128834,252877,221516,169048,249187,284538,271840,206496,167139,216139,129533,196999,139521,173302,255133,307343,218659,151416,300583,314799,299828,201078,299812,290392,219537,273109,252615,158124,245526,273419,179432,215686,235457,302979,251718,220794,204003,140150,149237,245128,310388,227257,181617,176264,240556,143367,222098,197292,236414,305983,276756,126666,244529,297521,283034,293778,259915,174724,131597,283412,279713,245350,277785,183085,172028,267565,137389,295891,199090,274845,299815,129019,127269,219431,208649,194669,128097,209821,135679,146380,265756,207831,218717,281233,309791,152158,220103,160163,240735,245885,233262,215355,228930,171482,207928
2448023,107616,211255,183679,140804,207686,237032,226604,172258,139300,180181,108452,164364,116876,144572,211517,256663,182635,126156,250942,262131,249785,167592,248753,240621,183292,227783,210458,131718,204881,227997,149617,179936,197092,251898,209311,184752,170497,115994,124325,205167,257959,189498,150561,146472,200774,119633,185637,164184,197012,254589,230480,105325,204758,247117,235481,245155,216639,145247,109856,235906,232261,203017,232021,152323,143566,222435,114761,246876,165339,228446,249970,108195,106148,182129,173638,162627,107333,174553,113578,122510,221551,173134,181891,234624,256979,125820,184014,133099,200459,206140,194171,179850,191370,142404,174378
85017,58439,116087,101009,77438,114437,130476,124046,94162,76259,98666,59259,90166,64089,79513,116688,140614,100321,68753,137670,143303,137359,91779,137167,132787,101016,124541,115699,72300,111512,124827,81762,98345,107480,138502,115427,100881,93345,64240,67964,113030,141820,104259,82544,80647,110149,65858,101295,90128,108611,140110,126055,58176,112950,135844,129050,134788,118750,79872,60482,129118,127825,111470,127282,83722,78764,122100,62660,135693,90935,126119,137560,59026,58655,100199,95585,89021,58979,95631,62483,66705,121351,94736,99968,128965,140850,69561,100662,73409,109444,113061,106415,98054,104697,77880,95466
543372,57892,113360,99202,75866,111690,128207,122161,92361,74750,96769,58364,89072,62661,78122,113694,138549,98202,68350,134995,140951,135069,89728,134486,129279,99192,122857,114076,71224,109705,123102,80320,95959,105687,136707,112854,99695,91884,62878,66840,110428,139356,101888,81378,78917,108173,64538,99649,88526,107173,136948,123987,57149,110675,133509,126590,132033,116877,78849,59734,127002,125485,109572,125466,82129,77419,119850,61277,132582,89115,123680,134637,58104,57239,98704,93922,87572,57299,94263,61189,65505,119697,93209,97787,126706,139258,68515,99205,71487,107956,110423,104198,95864,102463,76542,93648
1185,57062,112168,97670,74625,110014,125907,120114,91291,74040,95528,57663,86997,62032,76898,113022,136563,96427,66372,133346,138749,132410,89164,132702,127983,97180,121064,111726,69938,108597,120861,79279,95707,104521,133615,111174,98081,90644,61720,66162,108571,137498,100778,80483,78297,106340,63470,98344,87656,104952,135494,122315,56283,108411,131495,124987,130586,114856,77433,58566,125680,123379,108014,123503,81059,75990,117878,60537,130600,87790,121819,132904,57338,56397,97504,92246,86845,56842,93538,60280,64221,117333,91691,96969,124556,136416,67467,97269,71427,107042,108682,102980,95549,101255,75468,92508
85034,56078,110026,96665,73471,109083,123762,117732,89969,72734,93721,56525,85903,61032,75595,110129,133839,95157,65880,130643,136497,131038,87376,130547,125637,96355,118744,109919,68806,106584,118334,77952,94007,102569,131517,109351,96719,89057,61014,64589,106599,135228,98501,78222,76628,104577,62240,96019,85606,103388,133092,120521,55533,106593,129635,122812,127821,112755,75617,57060,123867,121487,106275,121281,79064,74705,116409,59951,128135,86349,119273,130652,55961,55387,95338,90901,84741,55881,91478,59312,63855,115268,90617,95227,122087,134253,66040,96027,70071,105413,107455,100914,93301,99762,74391,90832
2931039,54535,106519,92792,71246,105380,119622,114487,87358,70444,91223,54380,83084,58707,73077,107405,129533,91742,63757,126949,132152,126816,84467,125969,121779,92476,114356,106482,66850,102971,115514,75442,90636,99580,127104,105805,92808,86057,59259,62965,103268,131004,95373,76749,74219,101771,60791,93356,82748,99969,129039,116227,53480,103877,125463,119477,123541,109522,73484,55948,119792,117264,103541,117366,77399,72681,111933,58296,124277,83487,115702,126719,54088,53673,92207,88083,83052,54171,88344,57450,61825,111799,87724,91995,118689,130371,64008,92443,67375,101553,103845,98024,90535,96605,72114,87606
85025,41836,82504,72394,54954,80530,92825,88873,67424,54250,69851,42449,64390,45331,56270,83183,100204,70956,49242,98454,101907,98182,65341,97705,94298,71971,89392,82783,51189,79780,89220,58561,70434,76981,98504,81999,72235,66474,45580,48568,80237,101058,73750,59115,57722,78080,46756,72393,64028,77208,99522,89677,41275,80143,96364,92318,95810,84819,56958,43004,93058,90860,79990,90520,60208,56416,87384,44693,96139,64594,89411,97810,42040,41534,71929,67797,63548,41836,67890,44346,47564,87033,68112,70723,92031,100839,49706,72001,52035,78190,80391,76143,69692,74739,55752,67995
2807496,40613,80451,70070,53614,78885,90777,86621,66242,53218,69107,41270,62104,44708,54778,81042,98015,68956,48241,95668,100527,96101,63809,95230,92352,70268,86703,80461,50229,78048,86990,57090,68568,75216,96134,79685,69617,64767,44575,47634,78323,98440,72129,57512,56250,76538,45907,70609,62558,76068,96657,88049,40111,78068,94504,89956,93900,82456,55561,42241,90509,88543,77958,89099,58170,55144,84559,43849,94017,63023,87386,95482,41358,40580,69843,66184,61777,41017,66769,43594,46797,84665,66119,69605,89588,98327,48460,70434,51154,77029,78714,74488,68705,73145,54241,66347
267890,38444,75728,66366,50984,74620,85606,81457,62048,49511,65169,39041,59147,41485,51736,76173,91840,64864,45325,90425,93856,90027,59626,89775,86359,66245,81535,75960,47483,73345,81607,53963,64471,70720,90201,75237,66501,61069,41740,44986,73338,92747,67876,54206,52871,71832,42752,66269,59167,71051,90960,82808,38267,73378,89067,84467,88279,77470,51855,39659,85241,83298,73024,83435,55086,51162,79596,41379,89047,59829,82224,89958,38335,38055,65522,62703,58245,38199,63097,41067,43755,79542,61858,65732,84333,92442,45402,66160,47962,72595,73974,69709,64375,68431,51110,62980
