"SampleID","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","MG1","MG2","MG3","MG4","MG5","MG6","MG7","MG8","MG9","MG10","MG11","MG12","MG13","MG14","MG15","MG16","MG17","MG18","MG19","MG20","MG21","MG22","MG23","MG24","MG25","MG26","MG27","MG28","MG29","MG30","MG31","MG32","MG33","MG34","MG35","MG36","MG37","MG38","MG39","MG40","MG41","MG42","MG43","MG44","MG45","MG46","MG47","MG48","MG49","MG50","MG51","MG52","MG53","MG54","MG55","MG56","MG57","MG58","MG59","MG60","MG61","MG62","MG63","MG64","MG65","MG66","MG67","MG68","MG69","MG70","MG71","MG72","MG73","MG74","MG75","MG76","MG77","MG78","MG79","MG80","MG81","MG82","MG83","MG84","MG85"
80865,136608,246815,124926,273393,228929,161815,192014,117687,132102,123140,238048,151256,164713,212585,128893,246297,203954,227078,230026,251279,261100,263263,232245,165896,223367,174721,138636,192886,154191,169036,151141,247349,137397,125806,170163,271114,257754,165908,187449,197922,113765,228176,119987,172647,259551,219766,132876,143898,235343,237181,154782,180195,196515,186044,114849,228238,249395,185560,269602,172798,159384,134496,226944,257656,248646,153639,128953,204424,267346,151772,178619,251827,247518,277890,227956,148378,178648,228456,227737,174842,208571,161584,142194,171068,278838,138319,239560,207914,249556,272909,222405,158077,142171,125153,134368
2000,86500,156830,78985,172949,145223,103033,121689,74710,84286,78387,151272,96429,104851,134998,81253,156149,130560,144414,145243,159430,165373,167230,147644,105362,141550,110654,88088,122657,97955,107308,95503,156988,86494,79568,107821,172454,163470,105425,118964,125708,72173,144916,76015,108431,164285,140276,84320,91066,148725,150834,98358,114751,124858,118616,73230,143950,159323,117927,171502,108369,100263,85321,143763,162242,157155,98670,82137,129549,170072,96854,113570,159482,157735,176412,144470,94480,113443,145204,144681,111090,133275,102896,90040,108956,176908,88060,151872,132105,158701,173465,140876,100930,90772,79381,85360
2698753,64068,114658,58022,127265,106337,75586,89298,54651,62096,57716,111030,70326,76651,98756,59634,114555,95251,105240,106512,116214,121339,122538,108053,77473,103460,81598,64233,88742,71459,78844,69944,115328,63662,58067,79271,126550,120077,77432,87261,92288,52965,105914,55716,79592,121372,102811,61495,67092,108817,110733,71925,83766,91656,85875,53319,105810,115515,86547,124735,80199,73737,61985,105120,119486,114905,71650,60166,94746,124591,70688,82866,117544,115667,129220,105789,69230,82600,106298,106526,81181,97139,75703,66191,79932,130315,64587,111364,96745,116209,126765,103149,73820,66195,58345,62579
1190,59860,108590,54808,119923,100625,71059,84689,51947,58007,54222,105359,66612,72561,92931,56401,107987,89406,99412,100457,110779,114574,115407,102077,72711,97284,76974,61317,84526,67643,74357,66014,108749,59938,54794,75046,119652,113630,72399,82439,86513,50078,100315,52642,75371,113812,96893,58245,63221,103266,103991,68075,78705,86636,81074,50570,99974,108875,81551,117983,76083,70040,58616,99395,112897,109191,67081,56366,89100,117997,66389,77888,109595,108135,122506,99671,65145,78575,100228,99865,77186,90904,71045,62371,74940,121895,61022,105044,91861,109451,119720,97747,69467,62343,55201,59067
2029,56023,100888,51206,111846,93618,66040,78255,48400,54692,50605,97110,61864,67529,86691,52610,100870,83420,93081,93197,102987,107073,107915,95087,67958,90596,71460,56880,78551,63586,69276,61227,101325,55563,50985,69489,110485,105385,67648,76759,80930,46387,92797,48848,69672,106304,90643,54254,59043,95562,96672,63245,73741,80524,76161,47168,93435,102611,75974,109856,70579,64821,54734,92948,104833,101618,63001,52892,83529,109899,62402,72550,102510,100841,113933,92814,60080,72820,93948,93182,71653,85033,66559,57660,69835,113989,56858,98235,84911,102194,111532,90869,64705,58399,51178,54926
1649510,52356,94689,47681,103657,87099,61821,72998,44587,50770,47158,91025,57248,62955,81726,48942,94006,77706,86135,87487,95684,99518,99887,88960,63282,84596,67599,53124,72901,58650,64610,57155,94340,51957,47610,64910,103183,97901,63328,71693,75748,43511,87275,45780,65708,98632,84459,50780,54969,89907,90235,58642,68657,75098,70413,43817,87034,94993,70685,102820,66068,60421,50713,85772,97615,94217,58481,49167,78255,101902,57731,68203,96154,94492,105603,86128,56359,67827,87170,87270,66348,79427,61617,53506,65151,105550,52880,91012,79808,95066,104150,84572,60481,54315,47448,51283
76890,51176,93370,47181,103035,86256,61252,71785,44359,50045,46483,89776,56932,61543,80227,48490,92446,77468,85710,86616,95105,98302,99512,87816,62320,84336,65789,52382,72082,58269,63376,56863,93447,51268,47048,63800,102054,96070,62245,71070,74301,42888,85826,45035,64576,98080,83444,50070,54330,88746,89589,58545,67621,73788,69855,43286,85285,94169,70330,101836,64768,59481,50587,85920,96514,93909,57959,48686,77308,101058,57534,67411,94483,93280,105194,85720,55498,67577,86096,86122,66017,78137,60742,53063,64299,104648,52023,89883,77977,93901,102266,84067,59550,53604,47185,51153
102115,49778,89682,45862,100412,84225,59573,70559,43005,48765,45342,87005,55666,60016,77559,47064,90346,75103,83463,84183,92186,95690,96494,85541,61177,81849,64384,51026,70639,56460,62011,55157,90635,50116,45456,62306,99297,94214,60506,69190,73359,41968,83703,43765,62781,95057,80749,48985,52412,86286,87445,56556,66446,72056,68040,42152,83963,91716,68254,98695,63395,58131,49163,82923,94253,91372,56930,47151,74838,97887,55415,65373,92451,90339,101978,82779,54560,65799,83616,84412,64049,76664,59187,51890,62883,102409,50887,88095,75650,91003,100112,81451,58046,52664,45594,49221
186831,47890,87769,44149,97043,80874,58195,67635,41931,47124,43548,84496,53585,58379,75279,45524,86849,72584,80157,81225,89271,92578,93072,82499,58773,79009,62178,49472,68229,55089,59891,53013,88316,48523,44153,60371,96765,90710,58419,67048,70418,40098,81265,42353,60907,91911,77953,47260,51061,82731,84540,54619,63814,69777,65657,40533,80482,88608,65688,95763,61185,56563,47859,80687,91231,88036,54701,45878,72311,95089,54416,63555,88632,87913,98665,80804,52720,63180,81615,80833,61774,73473,57318,50466,60673,98741,49167,84707,73632,88723,96369,79485,56401,50553,44445,47307
41707,47153,84657,43096,94246,78737,55482,65876,40740,45572,42339,82158,52076,56955,73192,44212,84910,70676,78174,78829,86451,90145,90344,80501,56916,76753,60498,47824,65995,52887,57891,51796,84730,46870,42851,58404,93027,88609,57118,64532,68164,39082,78304,41338,59304,89518,76366,45846,49797,80685,81521,53465,61933,67504,63783,39362,78249,86080,63761,93164,59349,54674,45952,78184,87927,85405,52849,44766,69871,92312,52216,61512,86782,85188,95679,78227,50935,61319,78343,78287,60124,71163,55477,48872,59141,95379,47707,82175,71505,85748,93487,76498,54513,49112,43307,45960
