"SampleID","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","MG1","MG2","MG3","MG4","MG5","MG6","MG7","MG8","MG9","MG10","MG11","MG12","MG13","MG14","MG15","MG16","MG17","MG18","MG19","MG20","MG21","MG22","MG23","MG24","MG25","MG26","MG27","MG28","MG29","MG30","MG31","MG32","MG33","MG34","MG35","MG36","MG37","MG38","MG39","MG40","MG41","MG42","MG43","MG44","MG45","MG46","MG47","MG48","MG49","MG50","MG51","MG52","MG53","MG54","MG55","MG56","MG57","MG58","MG59","MG60","MG61","MG62","MG63","MG64","MG65","MG66","MG67","MG68","MG69","MG70","MG71","MG72","MG73","MG74","MG75","MG76","MG77","MG78","MG79","MG80","MG81","MG82","MG83","MG84","MG85"
1963360,201172,260961,225633,223439,146167,133880,176017,288953,245517,219069,238108,151118,256901,282351,130761,149747,256208,165346,144677,230157,222596,130163,181347,281276,248534,266840,141939,130021,278062,244943,237446,252442,219846,271604,235307,254854,187372,234470,257697,186240,203527,141030,162326,185820,244055,157058,149636,164184,225900,297980,138338,259636,251140,150780,196055,200608,260824,275949,149889,173140,161914,183234,141804,136008,156584,286328,284481,250261,154464,256439,171440,171621,194901,229012,174836,172336,289411,274608,268329,219186,210966,254622,264588,148506,257739,148314,180947,228071,193906,244127,183577,206684,193636,203296,240836
85009,190051,245124,210288,210165,136593,125178,164574,270809,229589,205296,222296,140846,240364,263641,123014,139277,240230,155814,135766,214933,208406,121802,169074,264137,232364,248907,133193,121355,258602,230108,221227,236214,207153,253462,219421,238869,175944,220172,241695,174268,190671,131393,151554,173148,228149,147441,138837,154953,210266,278610,128557,243174,234377,141052,182240,187426,243896,259572,140267,161794,151374,170887,132140,127605,146444,267758,266121,234575,143990,239742,160182,161269,183437,214738,163265,161045,270392,257201,252073,203662,196892,238130,246927,139560,241803,137933,169489,213103,181152,227262,171624,193732,181208,190219,225552
3031655,172369,222413,192227,190842,124403,114347,150293,246414,208643,187607,202723,128884,220216,240939,111844,127310,218044,141807,123527,195707,189123,111224,154719,239969,211951,227971,122338,110471,237057,209150,202622,215465,188646,230894,200516,217631,159831,201409,220694,158795,173388,120820,138050,157764,207654,134925,126962,140957,192518,254041,117708,221149,214550,128220,166751,170891,222250,237689,127962,147974,137805,156395,120723,116812,133880,244048,242406,213852,131785,218663,146096,146525,167085,195024,150012,146702,246579,234169,228508,186410,178984,218262,225689,127514,220298,126404,154619,195104,165493,207552,156507,176995,164931,173539,204809
641854,164245,211663,183217,181474,118361,108739,142071,234044,198599,177868,193272,123202,208883,229470,106018,121753,208035,134794,116821,186188,181582,105391,146970,227716,201472,215629,116103,105353,225425,198656,192693,204535,179538,220627,190287,207058,151878,189886,209309,150825,165114,115028,131806,150114,197404,128011,120375,134498,182627,241408,111980,210661,204613,121626,158932,162762,211964,225234,121539,140599,131785,148774,114984,111200,126852,232637,230429,202741,124788,208460,139150,139503,159042,185950,142342,140566,234223,223130,217795,177616,170444,207386,214479,121268,209014,120114,146829,184633,157681,196849,148834,166518,156553,165185,195637
2805415,136938,176412,152670,150211,98194,90538,119160,195350,165898,147981,160905,102370,174727,191369,89013,101475,173556,112562,97852,155184,150767,87823,122536,191055,168255,179904,96522,87571,187515,164619,160482,170921,149559,183313,159160,172679,126923,158695,174496,126558,138466,95372,109651,125888,164356,106703,100695,111756,152427,200884,93301,175277,169383,101761,132656,135882,176996,187556,101546,117240,109575,124098,96193,93138,106243,193629,191847,169273,104380,173983,115972,116429,132357,155570,118038,116230,195573,186041,181688,147995,142934,172250,179242,101020,174634,99869,122945,153973,131452,164952,124755,139640,130812,137322,162643
204441,122395,156863,136602,134873,89022,80650,106259,174602,147458,132392,143631,91211,155306,170404,79113,89872,154967,101140,86396,138356,134340,78899,109624,169909,149569,160414,86244,78387,167734,147972,143507,152329,133152,163604,141580,153565,113081,141768,155495,111788,123282,85491,97471,111982,146512,95418,89925,99915,135863,179679,82921,156022,151489,90492,117801,120885,157911,167617,90573,104790,97694,110665,85390,82678,94567,172860,172258,151504,92208,154833,102848,103043,118536,138566,104916,104060,173833,166420,161522,132160,126991,153742,159142,90087,155893,88956,109661,137709,116725,146557,111246,125344,116859,122731,144485
2800059,110869,141534,122760,121708,79902,73096,96043,157435,132840,119869,130023,82522,139827,154555,71650,81926,139622,90935,79189,125399,120474,71089,99117,153892,135272,145716,77376,70829,151346,133829,129970,137391,120820,148333,128126,138344,101936,127564,140441,102097,111355,76860,88211,100498,132586,85699,81530,90447,123588,162041,75407,142135,136344,82282,106247,108703,142073,150908,81811,94025,88154,100120,77625,74215,85483,156093,155571,135863,83689,139930,93123,93684,106701,125254,95101,94053,157147,149777,146573,119248,115231,138927,144099,81136,140783,80291,98638,124812,105503,132823,99901,112263,105044,110151,131165
1955042,109476,140957,122280,121054,78530,72420,94767,156177,132650,118531,128172,81171,139593,152904,71024,81355,138662,90017,78492,124243,120650,70358,97972,152390,134216,144059,76928,70539,150562,132475,127775,136728,119159,147132,127001,137799,101004,126585,139473,100675,110537,76462,87565,100114,131943,85229,80487,89248,121570,161256,74578,140327,135887,80883,105878,108733,140944,150207,81159,93784,87282,99173,76659,73408,85254,154795,153644,135564,83232,137958,92824,93286,105573,124484,94680,92588,156323,148088,145129,117758,113689,137545,142131,80629,139774,79592,98360,123327,105194,131070,99593,111984,104555,109856,130273
1643687,74602,95916,83462,82025,53666,49225,64956,106586,90107,80516,87117,55285,94431,103399,48166,54968,94329,61111,53731,84353,82221,47876,66572,103657,90953,98443,52415,47968,101693,90480,87418,92380,81603,99772,86440,93460,68796,86694,94539,68538,75066,52108,59838,68002,89002,58180,55067,61409,83605,109720,50711,95205,92370,55346,72014,73325,96174,102596,55324,63259,59962,67572,52183,49798,57615,104808,104876,92206,56547,94436,62754,63394,72086,84387,64254,63237,106231,100825,99112,80119,77778,93676,97769,55126,95682,54521,66941,83574,71485,89350,68140,76265,71139,74611,88595
1643822,66426,85577,73878,73491,48291,43757,57606,95698,80465,72235,78386,49692,84510,92674,42940,49558,84541,54648,47506,75773,73314,43192,59807,92533,81519,87782,46734,42744,91134,80400,77917,82304,72895,89202,77306,83580,61600,77440,85050,61356,67078,46707,53023,61067,79983,51398,48927,54586,74001,97202,45595,85613,82597,49439,64735,66202,85750,91227,49420,56993,53171,60569,46490,44742,51432,94151,93312,82196,51027,84400,56178,56497,64041,75436,57502,56568,94811,90527,87736,71735,69564,84074,87282,49431,84757,48642,59478,74982,63891,80573,60936,68136,63548,67043,79022
