"SampleID","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","MG1","MG2","MG3","MG4","MG5","MG6","MG7","MG8","MG9","MG10","MG11","MG12","MG13","MG14","MG15","MG16","MG17","MG18","MG19","MG20","MG21","MG22","MG23","MG24","MG25","MG26","MG27","MG28","MG29","MG30","MG31","MG32","MG33","MG34","MG35","MG36","MG37","MG38","MG39","MG40","MG41","MG42","MG43","MG44","MG45","MG46","MG47","MG48","MG49","MG50","MG51","MG52","MG53","MG54","MG55","MG56","MG57","MG58","MG59","MG60","MG61","MG62","MG63","MG64","MG65","MG66","MG67","MG68","MG69","MG70","MG71","MG72","MG73","MG74","MG75","MG76","MG77","MG78","MG79","MG80","MG81","MG82","MG83","MG84","MG85"
1936987,488591,821073,575607,405938,528134,364213,700530,754935,474479,721191,573433,399202,498352,735364,561142,754126,599798,542651,481388,366092,511593,698977,471534,575253,695316,703657,612715,780571,821214,548773,396928,447359,440428,791966,675542,556126,420681,650167,669534,506428,551653,663568,332607,797160,827613,446784,767919,619691,581792,630532,668946,473844,526932,380802,540942,629538,752720,381676,812151,395240,373673,592797,589147,714959,709755,699704,560243,698411,633514,394308,564852,502644,650091,765676,645900,781654,352972,393126,514718,564453,755965,418584,348792,414982,745496,751899,780482,344068,360778,574045,443832,695119,674700,766962,673215
95818,369045,620093,432507,306087,398484,274740,527726,567458,358182,544469,431940,301637,375259,553549,422319,568611,452272,409848,361090,274833,387101,527857,356430,433760,522893,529428,461418,587700,618582,413456,298779,337061,330744,595996,509493,417790,316825,488837,504671,381876,416544,499547,249257,600759,621571,336569,578041,468143,439758,473821,503514,357365,397669,287761,407545,475251,566110,286095,610137,296857,282117,446715,444909,539554,534184,525530,421589,525867,477547,295813,424904,379249,489291,575654,485474,588188,266119,296967,389445,426067,569686,314934,262719,312634,560258,564882,587282,258796,271077,434535,333033,525091,508301,577327,508321
203691,261374,437524,307407,216259,281242,193565,372265,401564,253667,385291,305953,213845,265501,391475,298359,401778,320091,288426,256456,194537,273355,372419,252270,307037,369801,374827,326790,416416,437351,291908,210567,238131,233994,421226,359836,296011,223683,347397,357118,269089,294441,352754,176403,425112,439444,237505,408128,330771,310089,335134,356818,252536,281447,202174,288047,334212,399790,202767,432212,210451,199804,315513,315394,381702,377464,372163,299234,372283,337513,210166,300446,268828,346302,406923,343843,415483,188589,209376,274880,300940,401567,222259,185231,220627,397663,400668,416345,182607,191894,306988,235205,370364,360408,408543,358530
200783,226421,381467,266758,187962,244814,168650,324961,349683,220148,335165,266419,185182,230715,340496,260199,349033,277196,251671,222580,169314,238273,323791,218744,267343,322601,326204,284186,362367,380951,253594,182946,207821,203556,366408,313071,257250,194055,302046,310018,234250,256195,308400,154131,369769,383344,207775,355821,287284,271020,291967,310531,219728,243924,176365,250419,292737,348087,176795,375413,182766,174255,274981,273597,332755,328670,323018,259204,321898,293554,182272,260808,233317,301908,353440,300131,361990,163442,182347,239020,261506,349752,193978,161689,191793,344851,348427,362210,159212,166710,265844,205141,322743,311948,355198,313081
200918,181916,304360,213496,151464,196416,135082,260133,278868,175915,267390,213068,148182,184180,272796,208321,279458,221765,201228,178283,135882,190490,259750,175828,214173,259044,261282,227698,290311,304483,203582,147061,165748,162954,293690,250536,206497,155721,241390,248570,188580,204858,246543,122297,296154,306503,165645,284861,230108,216453,234156,248284,176003,195706,140097,201704,234081,279675,141001,301307,146904,139041,220610,219305,266279,263242,259334,207643,258840,235429,146748,209524,187557,241315,283767,240316,290292,131141,145890,191475,209995,280365,155661,129837,153694,276664,278088,289529,127659,134054,213827,164985,258240,250151,285057,250324
142182,89032,149757,104756,74282,96616,66623,127771,137120,86635,130801,104033,73221,91190,133520,102225,137462,109168,99563,88096,66701,93086,127848,86108,104932,127276,128533,111978,142552,149558,100216,72054,81722,80674,143656,123738,101266,76665,118979,121704,92465,100129,121022,60475,145055,150201,81369,139863,113342,105598,115009,122640,86346,96858,69048,98359,114439,137332,69217,148119,71994,68016,108232,107401,131542,129746,126535,102628,126751,115140,71607,103235,91877,118745,139446,118101,141799,64426,71928,93673,102775,137571,76327,63147,75452,136109,136563,142144,62869,65618,104200,80575,126947,123066,140257,123390
40117,52647,88333,61595,43532,55882,39039,75191,80342,50861,77513,61204,42727,53403,78301,59982,80584,64522,58433,51502,39342,54596,74353,50529,61613,74100,75330,65127,83777,87634,58277,42679,47801,46994,85116,71954,59359,44716,69350,70972,54128,59241,70922,35227,85020,87954,47703,82391,66366,62104,67330,71654,50544,56391,40680,57926,67444,79853,40624,86704,41865,40207,63234,63125,76637,75935,74655,59586,74422,67502,42313,59923,53507,69278,81948,69260,83660,37726,41794,55010,60223,80475,44837,37146,44423,79281,80282,83528,36545,38330,61554,47229,74261,71823,82352,71698
1134404,38722,64470,45281,31877,41683,28257,55115,59657,37418,56926,44998,31864,39136,57471,44189,59563,47117,42951,37736,28575,40252,55324,37409,45116,54250,55801,48208,61499,64661,42937,31121,35321,34470,62179,52686,43761,33168,51218,52425,39647,42857,52012,26144,62344,64840,34940,60185,49148,45951,49653,52590,37095,41388,29835,42298,48960,58892,29832,63576,31092,29421,46835,46088,55894,55630,54982,44021,54507,50007,30837,44138,39537,51054,60201,51093,61414,27977,30961,40220,44636,58997,32827,27279,32458,58392,59356,61201,27009,28475,45248,34581,54736,52959,60452,52668
2731618,36946,62167,43697,31095,40189,27462,52749,57006,36019,55251,43242,30560,37451,55456,42863,57006,45422,41104,36539,27357,38842,53090,35722,43603,53038,53501,46138,59184,61871,41376,29832,33974,33477,60193,51120,41862,31820,49140,50927,38240,41908,49903,25220,60779,62736,33888,58253,46947,44273,48218,50764,35801,39637,28963,41165,47634,56912,28903,61326,30125,28221,45030,44409,54096,54081,53042,42385,52727,47998,29940,42616,38302,48861,58058,49207,59382,26911,29974,39052,42977,57289,32301,26903,31294,56381,57048,59405,25917,27335,43583,33502,52452,51345,58251,50666
28890,24958,41897,29248,20575,26889,18298,35672,38292,23972,36918,29294,20456,25366,37141,28530,38476,30738,27469,24604,18621,26107,35596,24087,29112,35297,35882,31031,39661,41902,27795,20086,22665,22464,40381,34094,28141,21373,33505,34062,25649,27932,33835,16982,40605,41842,22792,38731,31442,29643,31831,33710,24149,27013,19455,27407,32163,38263,19415,41065,19873,18864,30344,30281,36553,36335,35645,28629,35322,32208,20017,28812,25471,33148,38612,32807,39322,17997,20008,26240,28428,38566,21362,17780,20996,38124,38216,39503,17351,18366,29411,22409,35659,34279,39072,34209
