PathwayName	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	MG1	MG2	MG3	MG4	MG5	MG6	MG7	MG8	MG9	MG10	MG11	MG12	MG13	MG14	MG15	MG16	MG17	MG18	MG19	MG20	MG21	MG22	MG23	MG24	MG25	MG26	MG27	MG28	MG29	MG30	MG31	MG32	MG33	MG34	MG35	MG36	MG37	MG38	MG39	MG40	MG41	MG42	MG43	MG44	MG45	MG46	MG47	MG48	MG49	MG50	MG51	MG52	MG53	MG54	MG55	MG56	MG57	MG58	MG59	MG60	MG61	MG62	MG63	MG64	MG65	MG66	MG67	MG68	MG69	MG70	MG71	MG72	MG73	MG74	MG75	MG76	MG77	MG78	MG79	MG80	MG81	MG82	MG83	MG84	MG85
UNMAPPED	159519.67825647444	101187.5240993686	88685.17334572971	143275.61676735058	74183.24995553121	91539.99163536355	54447.97522388399	141151.17609733716	125304.39184047282	156998.35986597463	62917.42320172489	128174.74690964445	147148.05600699037	119161.67092509568	51354.191831778735	52839.41243542358	129815.94626791775	142265.8598399721	145365.9574338235	141765.64218476415	101378.87553777546	85183.65419004112	136218.77944096923	130870.01516949385	129201.35780936107	117918.62862650305	109837.28089137003	84001.86612037942	84914.25409680232	94152.6860697195	91036.78620886058	152881.7796963267	58488.30539966002	125864.78820070624	59921.34649772197	140422.54542931914	72335.75336169451	102113.21651702747	96098.20022247732	56707.53587735817	136408.1357535906	87534.41929118708	104598.21601165459	122360.91571860015	157752.55421642214	118812.37833760679	91692.24795652553	148428.8460854441	58106.18764022365	103524.73622653633	79701.75115391612	87509.50698275119	127088.93852774054	132738.35222236812	53584.98097863048	142398.99079315364	53748.84278513491	100992.06298356876	139550.22480338812	132145.49975004047	156055.42748700827	138777.00883662328	54851.93510306999	72883.5983062163	122054.91018947214	112493.08297643438	99747.62693978846	76034.30973133072	124338.64562073722	122480.04639521241	125590.52074328065	113571.23496709391	117027.08510449156	129902.80251950026	154579.80282371864	126806.10411800444	140610.55122874677	104251.75027921796	91122.2003097646	129280.81847028807	86539.11104425788	55098.94289309159	52722.64294791967	150312.52862652764	149265.16593433917	67427.847168874	52811.35976314545	79124.81540581211	139407.3869357817	106564.05921559781	142255.10980002582	58315.85881533101	83252.50688940287	149340.53138829768	151844.8732048273
UNINTEGRATED	784918.8841297291	775747.3750505596	835249.6387157589	730399.0493156016	815448.809505906	728731.4676702954	790861.5040406585	765660.634257365	848064.3307510763	826764.0011454932	736588.6477800086	791594.4874007255	778176.0653550737	812340.7017253339	793898.0651833117	788391.7703572661	778371.5513674542	820345.4726445489	708618.9052066766	744001.2311632745	835617.4851418473	710785.6237934902	847803.8538969122	746718.6821834184	822408.0533860251	754600.1803549007	749625.0677341595	811255.1550357603	721839.6433349699	852518.5743276961	721168.736689724	860546.3576433249	746340.2232038788	792743.4339257888	806677.4150379933	729121.7051469721	767273.9188349806	845073.8004571758	746051.5957185999	825354.3626423925	759453.2190239988	768181.8241463043	801677.8897959739	856790.2221460827	833721.632566303	799137.3963886872	810036.3439158536	815419.5342538878	707290.0323593058	859358.0259941518	841738.2685467601	719207.2743806057	774810.65972475335	805120.8375091664	823433.5156017914	765707.2082790546	799991.9643579051	816362.5001255423	730526.4129000716	846926.3072940521	708050.1582962461	822079.0737285279	855799.569664523	747810.348959174	827960.5295485817	760341.8695018627	792420.4435385764	866272.2986936569	856342.2411866486	808554.6906082891	786492.9436892271	702987.6973084174	855524.7994419187	844510.7331336476	810682.125557214	740400.8918185718	832892.1483573504	778664.6236642264	708404.5092319138	716192.0206341892	742986.7273615673	862675.5105354823	754306.3359870575	839425.9614055045	719230.8190255426	766315.4417206533	781114.7147766314	720952.254072763	840968.4066218324	762480.163872242	869407.3081994429	700367.616142612	720136.2296915613	726318.9715030603	731785.3438504972
PWY-6737: starch degradation V	3274.5303361446477	28364.716766584403	60703.23213598825	16894.951461905483	53063.91225833679	1684.8370693837908	1963.9045279473066	5912.409401071533	1635.8470683917403	9608.260523107769	8104.418639279504	57252.69183180429	8383.274059322597	20845.1782974996	2427.549888379872	1296.3294431368686	548.7350152748476	13184.848129329208	8414.69583990884	4037.6942604780197	3285.197764635086	3538.3186225397544	26645.98854132629	20763.888395482547	3767.789783887565	2231.218642555177	1.7079163607912127	5319.226845167577	13451.831843283895	8672.090870839478	30927.056519496924	1111.3227607054719	5492.120552808046	10147.1885196389	2839.9789659306407	1485.7775689387352	25537.674508506974	8999.196188104273	16022.477880458802	2262.690979987383	554.1460821405053	3573.3979597445204	2721.9578297808766	5642.8894912824035	1076.3949854299426	7385.751856070878	1663.0995878949761	11295.966039922956	3800.002634525299	28615.83298920368	30554.591937172896	7417.22275856821	12058.54763234866	4728.9249796777995	72725.06694820644	7534.65341391792	3123.620613478124	3204.2377116158605	11247.846083295468	1574.7180524533394	16637.701457790947	9193.682027560593	13655.0537026943	18963.16565489197	3613.651036284864	825.2290636301041	1174.916634336114	2587.3409157110987	11589.444999207853	8148.2000755076115	6930.823824368417	21410.12428477214	11717.503647831205	11756.487041291717	2710.378337651491	192.7211880683899	2214.513053186238	9372.574807655932	12552.149407145504	30264.094452952115	2403.2306810840964	4248.296795412898	4025.820401153511	23270.709821104432	5260.050302620291	8377.199015801485	6277.778544463217	7544.004992760251	10519.408769485477	1290.5779806897044	1017.3233691602945	9732.361472723009	18857.302143329624	1049.5245503261685	18960.216541970436
PWY-6737: starch degradation V|unclassified	15110.55659531552	33912.25501726914	13334.248438057426	1293.0291192606091	9735.778007192532	34712.313195848175	8981.01715594785	14654.514323079828	64932.124964092334	3696.525660343468	26911.119202754264	889.0606556087732	12923.451866534475	11708.12425372414	15524.027905518058	729.8940334237896	34502.48539279748	8624.688954603793	1118.7229678034782	2822.5937113165855	9814.450572756054	49619.781065680094	1413.3520796895027	6688.451394438744	6002.970701083541	9936.378918933302	8585.189356979849	20643.7103255632	2620.431547984481	8586.441569792023	850.3175952084034	16915.836108634718	2711.724191904068	16771.809346133712	9208.105941814305	5804.126899245773	6617.934480309486	40137.274240267965	16328.482114623257	7453.453708019973	9104.263204661132	7141.715370185503	22808.600159964328	20534.721071923024	6758.992923423648	14697.447618149235	5214.87956866622	2260.300647467375	5518.027418287958	6049.649347551167	8548.946175859019	20857.852230450873	24169.112163266902	1494.1501050348343	6771.947629749775	34656.90389107514	813.4545548222355	11626.75025472397	22093.89498331285	3407.675987109542	20945.558740258748	10313.576012429718	5591.217055916786	1801.6970335129397	25262.111666283374	3025.1183547079563	1000.4749661311507	4499.852764420211	127.73010202315933	21838.57558076222	1362.9761477932334	16095.849442386869	5433.901832439005	13855.727100324753	5121.489758603275	20198.587588125713	3660.694660042802	1323.169362731278	1110.3538013505342	18077.472056353334	8379.363510637699	8305.666337308521	19710.778220647815	2901.8235858529806	9522.59404146165	23021.793196580176	15990.342420651246	174.9014761298895	15432.92889287496	3540.4900020986406	23055.562319836383	9856.47748182428	8798.443665307881	7694.810974492819	3737.2637167572975
PWY-7111: pyruvate fermentation to isobutanol	4937.463053502142	11861.87207656813	5576.4235416427255	4039.923236705363	1476.1778712272644	3436.5002950653434	8381.118224513652	4689.14528769646	2622.9677368434022	2401.831247843802	6190.40890596807	4296.449152752757	512.3008927330375	11215.184507471446	4657.939146272838	18475.99226897383	3701.508338563144	2375.309276394546	13836.991656151537	18229.110277349	273.24314694851637	4101.734668947756	8048.781976895184	14316.110590338318	1024.3378952145576	4563.450529240072	8484.137523499252	18738.758935684207	1251.2272549793124	3415.153664536774	63793.72631917073	13046.64745884848	4008.7447222322226	14387.329145693493	6986.382379707815	11152.89987022889	10141.01671024604	3658.5157131776214	18023.58094223029	6891.858438029885	1420.7190038043302	1217.0307664200664	419.91950012743473	2452.635308727622	30984.82861300759	2815.0850660751125	9321.637153205396	15460.967550552314	20968.321260185694	7049.378193494798	3528.527137823403	30637.014739453913	28629.285909989696	727.8318190947175	14344.382891202758	8884.01231724594	12353.352959779028	2538.8100311143626	16675.594857985023	1848.2745299115777	30457.610560763365	10586.057221096877	17323.99089177871	575.9646889606619	6787.876076996326	17658.949027860406	540.5439511725813	24374.804943139923	5071.305222809315	10267.853773710254	1923.5628720738962	6059.153312817216	24591.20521195865	1992.9213868454099	17959.148026162628	7980.441285646964	3983.484599739313	4471.220104023814	24029.348696253066	7407.185202044369	4935.760572552681	30004.781482923514	18331.665787005666	19815.07375752354	18729.431982243303	27372.51197793222	3524.869210086763	12083.361260172847	395.5542016774416	3403.9646992459893	357.614504173398	9174.925069835903	3935.303185135126	8541.432533931196	668.4783240780234
COA-PWY: coenzyme A biosynthesis I	1329.9000775441527	33.99689216166735	12182.352717924661	5554.488026537001	17360.11307602549	1324.8130213469267	5277.414354495704	4124.972117133439	2124.353665858507	24213.770943364863	21302.055137834315	662.83387131989	852.9551839455962	12801.193920475367	1171.6652262544906	13443.859219130996	3346.63697052747	2334.14257876575	7139.522945088269	3499.0728180855513	18904.773536229375	21271.681504926448	4458.21147877723	4520.618168595396	2385.0405123084784	14110.600708331915	11992.48393169421	9355.61517157706	23514.010737321143	127.33582407236099	25248.621533295875	12090.914016169432	1657.550698146224	801.9178546965122	1802.5162251349238	2223.696808557189	26626.7931634996	17031.134794557336	1279.4364104047418	33577.485604393965	2.007787509378984	10210.713985887292	949.6712917461991	709.6818601712584	7506.231311288597	11709.678508110108	2205.738751217723	14611.819143498185	15689.127264778055	8352.700154808284	19087.81766807461	13206.936018121365	1530.2957920357585	2785.142324270694	257.9071978107095	12123.01635141385	9931.248360824706	4080.849508754909	1897.3681749776006	293.5101976618171	10850.101559934143	8113.55755622399	3142.792168073356	8274.960424330951	4831.304303370416	3835.9873748117125	1249.7855443507433	1608.5404623299837	18449.59862446213	3340.4139103367925	2657.3690259829164	7266.257497993232	7466.61922852409	6265.619825571775	908.5966596654571	5336.143444292247	7356.1145547301785	37987.10351599813	6690.895009875191	8159.424289640905	1496.366307914752	13350.990078923229	3669.6590079327448	3254.8979157581925	15398.557446056846	3671.528256940384	18554.786945784334	4872.315539978445	5727.881509810686	15182.268302047494	8424.993827518942	12642.342013421809	14286.823644393924	13485.41366825712	12751.60290258837
PWY-5484: glycolysis II	2713.571530766785	20575.758515948302	3728.8289371056953	540.8793433586827	914.7786758344325	3340.643532574177	16636.36818444157	1690.3214575722814	6581.004299223423	4195.383638143539	1163.5464476421475	15021.34162848616	4545.990168116987	275.9591720829155	1517.4328040081878	2398.047843016684	19520.319420004133	5215.4021337628365	15531.712806874755	18217.664565050844	1545.3622117638588	11526.484591466311	1636.7950523272157	6215.418032370508	6460.539796389639	3860.957119613886	4878.439139574766	399.5263623073697	11333.55718995345	8081.922707659127	8647.909611646708	1981.910769827664	2766.5256801992655	5826.072013005614	3812.9540346562862	17057.976144457105	6189.159397976052	19025.365932935718	4023.4808018431067	15440.552829855922	3101.5749694779515	9998.321244073035	13962.946665931966	29298.61403833676	114.5743701520041	80.38129191845655	3248.970666900277	7283.6564161312535	15013.155241130155	1777.0116962492466	21891.62997402883	55405.87948341156	15350.077242950101	67.20203440636396	3855.0699765788854	7689.096848337289	22595.139498493438	382.7101271599531	30462.736465815462	2313.92917688936	5368.26363299042	5358.7440913543105	2566.6230358183384	4696.979820728302	19595.311576983328	2651.1082891374826	523.6624786630273	32320.57206380548	8979.591782716037	134.73160564899445	2517.629911275077	19137.28842820456	25726.43661745525	6037.155482918024	13255.69243128312	2660.337775014341	6006.23857229948	7884.297407743456	43950.684929407544	137.71176855423198	7417.081689535493	3950.754958204925	26135.87932535148	9845.800716009857	787.9809150472283	7244.265432980777	2106.5850695595145	7523.226586644397	51838.42884082581	43545.924906629036	13377.633575817426	3789.904359728098	10786.640159365657	7583.260869670761	14745.630043649915
PWY-6588: pyruvate fermentation to acetone	4865.978336893022	5654.117749072611	3167.9702596738935	1787.6644851639867	11501.741038352615	9748.016642682924	2011.4852162078023	5876.383907161653	5078.508760780096	2024.220610037446	2394.2854841093335	693.0340500548482	16284.913338214968	3820.1784575358033	22530.36294693297	16060.00222181702	939.058851051995	2003.2834494486451	14586.115287466302	3155.3277135964886	2741.690074940672	1807.6170509634653	1316.0303747281432	23713.4378677334	6369.917881675065	20044.23439418698	12629.22135139716	13082.630764272932	7469.698823568346	2017.5988553091884	48124.52275053931	28018.440900552756	14984.936676079276	494.54062482529264	3661.6668477654457	3530.971519649029	7909.066694330316	2567.807072500356	1057.092103615526	1547.4878530949354	1593.5790957883	23421.67347040996	2729.3493467272874	3560.812617652118	4848.690275794799	913.6517532169819	2096.2221501395106	12983.080930587772	2810.7002449491297	896.7917924746871	2127.7325227856636	7975.539788183691	24490.205789873624	13865.990880036596	16218.928195277926	5930.351340211928	949.507812038064	26257.107051691775	2445.9299788864405	11599.04714903276	20153.247769081838	9008.233071816088	1879.212355256552	7969.422628682973	956.230154260993	6871.662340126932	13837.248496291164	9522.468833435598	5269.0126348002905	17712.728883691583	1173.7243086099625	7422.026898291828	466.92144625969974	442.8370902314782	9784.800418382245	11804.911903616909	9310.644529339792	518.5485165566206	1949.4441213420946	2458.4942404180765	4635.452139271314	8932.41885723121	6998.934294469818	2930.8349173516035	14057.076526106886	2587.7530220896006	12465.324075472477	9175.087057729535	4271.230916492641	5340.152285061777	20678.498352968938	2214.2470667386306	1612.956918969797	3260.952525262811	308.7534010410309
ANAGLYCOLYSIS-PWY: glycolysis III	8503.17693653805	1313.2722023874521	8115.071327420059	23146.02872230745	11973.70066265476	23144.015835952523	6058.755065314472	28700.13376353679	1898.279064334929	6430.4543333128095	13890.827558094505	17529.19206311727	23057.070506658718	7673.844284889223	4166.235501414747	29408.08452497769	3149.2814933881164	2516.8173108249903	15993.068683052305	5502.798589877784	7567.248297435166	22250.198905462694	29078.546015728003	10972.6144443287	619.6735287085176	16705.304159873966	3773.590484634042	1368.3546988450435	4549.438913633505	12919.54911271942	26935.566196820502	6409.458029083908	11719.06367620068	10288.779008713487	1710.079270415008	8897.086055529238	2628.1046541407704	7068.419996228935	5279.391333460808	1769.647616893053	12914.153318432096	22175.511605403382	14465.640074664596	2812.513248063624	730.6881574913859	387.5183467927872	2147.694402374327	13760.693883103255	2272.96287534348	5006.929296068847	31037.22356091786	6521.442420780659	27352.088334641223	711.9453279301524	3163.5441491380334	2043.0534379556775	7871.9286717297055	9945.663734850408	10272.648222324375	2274.477705359459	1518.988125026226	13142.35309096885	8412.887844768287	6524.657630361617	4106.892705895007	14328.654482120517	22100.050094208484	20315.976607704408	19426.572675907853	833.6954377485592	25659.684183678393	15232.56470523418	23397.858011207347	63712.09842706133	5565.598379526534	8076.518763824601	21340.39288260675	9016.800090506858	6171.197569929063	8984.401132491352	3139.943829833069	3538.5093884542584	4698.932394385338	5616.805241443217	5584.80414096266	3718.7184765934944	4035.642077215016	2596.253454685211	2035.4539530343388	4805.385292716215	684.5033053748048	8354.820210228074	3288.6950252577662	14319.710454634174	46437.74974839164
PWY-6572: chondroitin sulfate degradation I	17300.46398385371	8025.0704377414	354.3089025254185	3843.8725052401423	1144.401398487389	17579.49750786448	4353.19843236357	17407.227418476585	6414.89137429744	1634.4555653631687	6193.830338306725	9599.903886717679	9925.57395207596	10906.973396939162	1881.9808820262551	183.80142667711146	10884.749581726974	22423.011139864266	2763.3788428035095	25436.446050784354	5744.487517843822	4075.0421901031264	2472.1846945032585	827.3256942629814	8753.668516454221	2997.5180188193917	22654.37289567658	3475.733887059572	1927.636003761527	2140.4051734134555	10055.956933227304	9987.255733241325	1404.9616176635027	30601.8113013304	16381.656463851477	2897.905115969479	7694.232381818388	14326.110461199383	1092.1898936845778	9255.995573055865	5459.640924818814	4990.638824571235	25029.862973918418	42097.07279568877	5012.3987507069505	2207.8203223645687	15876.942145729307	6327.34777405858	1352.702216245234	17172.362942785192	2301.9116139039397	14253.768845552448	9190.289843407394	8285.243892622115	3194.230478256941	6178.904133848846	4884.526245296001	8205.624233642082	15837.884730040601	2809.7040485590696	16743.59958534861	11575.92799472523	1505.8025449608476	1785.7381107927001	21267.497090516106	22946.660796782737	2854.844820441847	17180.013115608934	17163.08284466887	350.1638427541464	2857.73865878582	22589.290792724853	13594.39205336285	6053.913631476462	6873.523429967463	15468.456427657846	10523.003097203497	1215.9163784235716	3972.045066766441	56.953188877971904	7390.924523628467	8269.277261150004	2848.6253460869193	18190.796765589956	14577.980334015207	11329.624047082785	315.1282927729071	5202.956539578736	8907.40232500148	6121.588428504765	3650.909624993801	5221.735835075378	3781.412085518241	5561.839137226343	20309.077612215526
