name	taxonomy_id	taxonomic_lineage
Bacilli	91061	d__Bacteria;p__Bacillota;c__;o__;f__;g__
Clostridia	186801	d__Bacteria;p__Bacillota;c__;o__;f__;g__
Negativicutes	909932	d__Bacteria;p__Bacillota;c__;o__;f__;g__
Erysipelotrichia	526524	d__Bacteria;p__Bacillota;c__;o__;f__;g__
Tissierellia	1737404	d__Bacteria;p__Bacillota;c__;o__;f__;g__
Actinomycetes	1760	d__Bacteria;p__Actinomycetota;c__;o__;f__;g__
Coriobacteriia	84998	d__Bacteria;p__Actinomycetota;c__;o__;f__;g__
Thermoleophilia	1497346	d__Bacteria;p__Actinomycetota;c__;o__;f__;g__
Acidimicrobiia	84992	d__Bacteria;p__Actinomycetota;c__;o__;f__;g__
Rubrobacteria	84995	d__Bacteria;p__Actinomycetota;c__;o__;f__;g__
Nitriliruptoria	908620	d__Bacteria;p__Actinomycetota;c__;o__;f__;g__
Cyanophyceae	3028117	d__Bacteria;p__Cyanobacteriota;c__;o__;f__;g__
Mollicutes	31969	d__Bacteria;p__Mycoplasmatota;c__;o__;f__;g__
Deinococci	188787	d__Bacteria;p__Deinococcota;c__;o__;f__;g__
Dehalococcoidia	301297	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__
Anaerolineae	292625	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__
Gammaproteobacteria	1236	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__
Alphaproteobacteria	28211	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__
Betaproteobacteria	28216	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__
Acidithiobacillia	1807140	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__
Bacteroidia	200643	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__
Flavobacteriia	117743	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__
Cytophagia	768503	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__
Sphingobacteriia	117747	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__
Chitinophagia	1853228	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__
Saprospiria	1937959	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__
Chlorobiia	191410	d__Bacteria;p__Chlorobiota;c__;o__;f__;g__
Ignavibacteria	795747	d__Bacteria;p__Ignavibacteriota;c__;o__;f__;g__
Gemmatimonadetes	219685	d__Bacteria;p__Gemmatimonadota;c__;o__;f__;g__
Verrucomicrobiae	203494	d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__
Opitutae	414999	d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__
Planctomycetia	203683	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__
Phycisphaerae	666505	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__
Chlamydiia	204429	d__Bacteria;p__Chlamydiota;c__;o__;f__;g__
Fusobacteriia	203490	d__Bacteria;p__Fusobacteriota;c__;o__;f__;g__
Epsilonproteobacteria	3031852	d__Bacteria;p__Campylobacterota;c__;o__;f__;g__
Myxococcia	32015	d__Bacteria;p__Myxococcota;c__;o__;f__;g__
