name	taxonomy_id	taxonomic_lineage
Listeriaceae	186820	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__;g__
Bacillaceae	186817	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__;g__
Staphylococcaceae	90964	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__;g__
Planococcaceae	186818	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__;g__
Paenibacillaceae	186822	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__;g__
Alicyclobacillaceae	186823	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__;g__
Thermoactinomycetaceae	186824	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__;g__
Sporolactobacillaceae	186821	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__;g__
Enterococcaceae	81852	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__;g__
Lactobacillaceae	33958	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__;g__
Streptococcaceae	1300	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__;g__
Carnobacteriaceae	186828	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__;g__
Aerococcaceae	186827	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__;g__
Oscillospiraceae	216572	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__
Lachnospiraceae	186803	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__;g__
Clostridiaceae	31979	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__
Peptostreptococcaceae	186804	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__;g__
Eubacteriaceae	186806	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__
Eubacteriales Family XIII. Incertae Sedis	543314	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__
Desulfitobacteriaceae	2937909	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__
Christensenellaceae	990719	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__;g__
Vallitaleaceae	2603322	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__;g__
Cellulosilyticaceae	3018741	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__;g__
Peptococcaceae	186807	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__
Symbiobacteriaceae	543349	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__
Thermoanaerobacteraceae	186814	d__Bacteria;p__Bacillota;c__Clostridia;o__Thermoanaerobacterales;f__;g__
Thermoanaerobacterales Family III. Incertae Sedis	543371	d__Bacteria;p__Bacillota;c__Clostridia;o__Thermoanaerobacterales;f__;g__
Halanaerobiaceae	972	d__Bacteria;p__Bacillota;c__Clostridia;o__Halanaerobiales;f__;g__
Halobacteroidaceae	53434	d__Bacteria;p__Bacillota;c__Clostridia;o__Halanaerobiales;f__;g__
Veillonellaceae	31977	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__;g__
Acidaminococcaceae	909930	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__;g__
Selenomonadaceae	1843491	d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__;g__
Coprobacillaceae	2810280	d__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__;g__
Erysipelotrichaceae	128827	d__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__;g__
Turicibacteraceae	2810281	d__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__;g__
Tissierellaceae	1737406	d__Bacteria;p__Bacillota;c__Tissierellia;o__Tissierellales;f__;g__
Peptoniphilaceae	1570339	d__Bacteria;p__Bacillota;c__Tissierellia;o__Tissierellales;f__;g__
Bifidobacteriaceae	31953	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__;g__
Propionibacteriaceae	31957	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__;g__
Nocardioidaceae	85015	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__;g__
Kribbellaceae	2726069	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__;g__
Actinopolymorphaceae	2805400	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__;g__
Corynebacteriaceae	1653	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__;g__
Mycobacteriaceae	1762	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__;g__
Nocardiaceae	85025	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__;g__
Gordoniaceae	85026	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__;g__
Tsukamurellaceae	85028	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__;g__
Dietziaceae	85029	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__;g__
Lawsonellaceae	2805586	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__;g__
Micrococcaceae	1268	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Microbacteriaceae	85023	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Cellulomonadaceae	85016	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Brevibacteriaceae	85019	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Ornithinimicrobiaceae	2805590	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Dermabacteraceae	85020	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Intrasporangiaceae	85021	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Promicromonosporaceae	85017	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Beutenbergiaceae	125316	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Ruaniaceae	1331736	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Dermacoccaceae	145357	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Bogoriellaceae	145358	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Kytococcaceae	2805426	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__;g__
Actinomycetaceae	2049	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__;g__
Streptomycetaceae	2062	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__;g__
Pseudonocardiaceae	2070	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__;g__
Micromonosporaceae	28056	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__;g__
Streptosporangiaceae	2004	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__;g__
Nocardiopsaceae	83676	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__;g__
Thermomonosporaceae	2012	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__;g__
Geodermatophilaceae	85030	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Geodermatophilales;f__;g__
Nakamurellaceae	85031	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nakamurellales;f__;g__
Frankiaceae	74712	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Frankiales;f__;g__
Catenulisporaceae	414877	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Catenulisporales;f__;g__
Coriobacteriaceae	84107	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__;g__
Atopobiaceae	1643824	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__;g__
Eggerthellaceae	1643826	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Eggerthellales;f__;g__
Conexibacteraceae	320583	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__;g__
Paraconexibacteraceae	2758916	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__;g__
Miltoncostaeaceae	2843199	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Miltoncostaeales;f__;g__
Iamiaceae	633392	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__
Rubrobacteraceae	84997	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__;g__
Baekduiaceae	2600303	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__;g__
Geminocystaceae	2815910	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__;g__
Chroococcaceae	1890464	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__;g__
Aphanothecaceae	1890450	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__;g__
Microcoleaceae	1892252	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__;g__
Oscillatoriaceae	1892254	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__;g__
Synechococcaceae	1890426	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales;f__;g__
Prochlorococcaceae	2881426	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales;f__;g__
Acaryochloridaceae	1890429	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Acaryochloridales;f__;g__
Nostocaceae	1162	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__;g__
Calotrichaceae	2661849	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__;g__
Aphanizomenonaceae	1892259	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__;g__
Leptolyngbyaceae	1890438	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Leptolyngbyales;f__;g__
Thermosynechococcaceae	2881378	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Acaryochloridales;f__;g__
Gloeobacteraceae	1890422	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Gloeobacterales;f__;g__
Dermocarpellaceae	1890498	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pleurocapsales;f__;g__
Chroococcidiopsidaceae	1890528	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcidiopsidales;f__;g__
Mycoplasmataceae	2092	d__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__Mycoplasmatales;f__;g__
Spiroplasmataceae	2131	d__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__Entomoplasmatales;f__;g__
Entomoplasmataceae	33925	d__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__Entomoplasmatales;f__;g__
Metamycoplasmataceae	2895623	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__;g__
Deinococcaceae	183710	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__
Thermaceae	188786	d__Bacteria;p__Deinococcota;c__Deinococci;o__Thermales;f__;g__
Dehalococcoidaceae	1202464	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__;g__
Anaerolineaceae	292628	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__;g__
Pseudomonadaceae	135621	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__
