name	taxonomy_id	taxonomic_lineage
Listeria	1637	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Listeriaceae;g__
Brochothrix	2755	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Listeriaceae;g__
Bacillus	1386	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Lysinibacillus	400634	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Priestia	2800373	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Cytobacillus	2675230	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Virgibacillus	84406	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Neobacillus	2675232	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Caldibacillus	1276290	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Anoxybacillus	150247	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Mesobacillus	2675231	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Gottfriedia	2837503	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Peribacillus	2675229	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Psychrobacillus	1221880	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Sediminibacillus	482460	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Halobacillus	45667	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Geobacillus	129337	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__
Rossellomorea	2837508	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__

