name	taxonomy_id	taxonomic_lineage
Bacillales	1385	d__Bacteria;p__Bacillota;c__Bacilli;o__;f__;g__
Lactobacillales	186826	d__Bacteria;p__Bacillota;c__Bacilli;o__;f__;g__
Eubacteriales	186802	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__
Thermoanaerobacterales	68295	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__
Halanaerobiales	53433	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__
Veillonellales	1843489	d__Bacteria;p__Bacillota;c__Negativicutes;o__;f__;g__
Acidaminococcales	1843488	d__Bacteria;p__Bacillota;c__Negativicutes;o__;f__;g__
Selenomonadales	909929	d__Bacteria;p__Bacillota;c__Negativicutes;o__;f__;g__
Erysipelotrichales	526525	d__Bacteria;p__Bacillota;c__Erysipelotrichia;o__;f__;g__
Tissierellales	1737405	d__Bacteria;p__Bacillota;c__Tissierellia;o__;f__;g__
Bifidobacteriales	85004	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Propionibacteriales	85009	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Mycobacteriales	85007	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Micrococcales	85006	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Actinomycetales	2037	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Kitasatosporales	85011	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Pseudonocardiales	85010	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Micromonosporales	85008	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Streptosporangiales	85012	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Geodermatophilales	1643682	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Nakamurellales	1643684	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Frankiales	85013	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Catenulisporales	414714	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Coriobacteriales	84999	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__;f__;g__
Eggerthellales	1643822	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__;f__;g__
Solirubrobacterales	588673	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__;f__;g__
Miltoncostaeales	2843198	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__;f__;g__
Acidimicrobiales	84993	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__;f__;g__
Rubrobacterales	84996	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__;f__;g__
Chroococcales	1118	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Oscillatoriales	1150	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Synechococcales	1890424	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Nostocales	1161	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Pseudanabaenales	2881377	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Gloeobacterales	307595	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Pleurocapsales	52604	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Chroococcidiopsidales	1890505	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Mycoplasmatales	2085	d__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__;f__;g__
Entomoplasmatales	186328	d__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__;f__;g__
Mycoplasmoidales	2790996	d__Bacteria;p__Mycoplasmatota;c__;o__;f__;g__
Deinococcales	118964	d__Bacteria;p__Deinococcota;c__Deinococci;o__;f__;g__
Thermales	68933	d__Bacteria;p__Deinococcota;c__Deinococci;o__;f__;g__
Dehalococcoidales	1202465	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__;f__;g__
Anaerolineales	292629	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__
Pseudomonadales	72274	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
Enterobacterales	91347	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
Xanthomonadales	135614	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
Oceanospirillales	135619	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
Vibrionales	135623	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
Aeromonadales	135624	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
Moraxellales	2887326	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
