name	taxonomy_id	taxonomic_lineage
Bacillota	1239	d__Bacteria;p__;c__;o__;f__;g__
Actinomycetota	201174	d__Bacteria;p__;c__;o__;f__;g__
Cyanobacteriota	1117	d__Bacteria;p__;c__;o__;f__;g__
Mycoplasmatota	544448	d__Bacteria;p__;c__;o__;f__;g__
Deinococcota	1297	d__Bacteria;p__;c__;o__;f__;g__
Chloroflexota	200795	d__Bacteria;p__;c__;o__;f__;g__
Pseudomonadota	1224	d__Bacteria;p__;c__;o__;f__;g__
Bacteroidota	976	d__Bacteria;p__;c__;o__;f__;g__
Chlorobiota	1090	d__Bacteria;p__;c__;o__;f__;g__
Ignavibacteriota	1134404	d__Bacteria;p__;c__;o__;f__;g__
Gemmatimonadota	142182	d__Bacteria;p__;c__;o__;f__;g__
Verrucomicrobiota	74201	d__Bacteria;p__;c__;o__;f__;g__
Planctomycetota	203682	d__Bacteria;p__;c__;o__;f__;g__
Chlamydiota	204428	d__Bacteria;p__;c__;o__;f__;g__
Fusobacteriota	32066	d__Bacteria;p__;c__;o__;f__;g__
Campylobacterota	29547	d__Bacteria;p__;c__;o__;f__;g__
Myxococcota	2818505	d__Bacteria;p__;c__;o__;f__;g__
Thermodesulfobacteriota	200940	d__Bacteria;p__;c__;o__;f__;g__
Spirochaetota	203691	d__Bacteria;p__;c__;o__;f__;g__
Acidobacteriota	57723	d__Bacteria;p__;c__;o__;f__;g__
Bdellovibrionota	3018035	d__Bacteria;p__;c__;o__;f__;g__
Thermotogota	200918	d__Bacteria;p__;c__;o__;f__;g__
Synergistota	508458	d__Bacteria;p__;c__;o__;f__;g__
Aquificota	200783	d__Bacteria;p__;c__;o__;f__;g__
Candidatus Saccharibacteria	95818	d__Bacteria;p__;c__;o__;f__;g__
Deferribacterota	200930	d__Bacteria;p__;c__;o__;f__;g__








Nitrospirota	40117	d__Bacteria;p__;c__;o__;f__;g__
Kiritimatiellota	134625	d__Bacteria;p__;c__;o__;f__;g__
Thermomicrobiota	3027942	d__Bacteria;p__;c__;o__;f__;g__
Armatimonadota	67819	d__Bacteria;p__;c__;o__;f__;g__
Balneolota	1936987	d__Bacteria;p__;c__;o__;f__;g__
Candidatus Cloacimonadota	456828	d__Bacteria;p__;c__;o__;f__;g__
Fibrobacterota	65842	d__Bacteria;p__;c__;o__;f__;g__
Lentisphaerota	256845	d__Bacteria;p__;c__;o__;f__;g__
Dictyoglomota	68297	d__Bacteria;p__;c__;o__;f__;g__
Atribacterota	67818	d__Bacteria;p__;c__;o__;f__;g__
Elusimicrobiota	74152	d__Bacteria;p__;c__;o__;f__;g__
Chrysiogenota	200938	d__Bacteria;p__;c__;o__;f__;g__
Calditrichota	1930617	d__Bacteria;p__;c__;o__;f__;g__
Coprothermobacterota	2138240	d__Bacteria;p__;c__;o__;f__;g__









Candidatus Omnitrophota	67812	d__Bacteria;p__;c__;o__;f__;g__
Candidatus Absconditabacteria	221235	d__Bacteria;p__;c__;o__;f__;g__
Candidatus Bipolaricaulota	67810	d__Bacteria;p__;c__;o__;f__;g__


Caldisericota	67814	d__Bacteria;p__;c__;o__;f__;g__









