"","StrainID","Drug","metric","date","median_value","perc","perc_inhibition","SILVA_Species","Strain_Info","GTDB_08-rs214_taxonomy"
"1","JEB81334","PFOS-high","AUC","20260504",24.4896,80.6871,19.3129,"Bacteroides sp. CACC 737","DSM 70325","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. CACC 737"
"2","JEB81334","PFOS-high","AUC","20260616",31.7751,63.5031,36.4969,"Bacteroides sp. CACC 737","DSM 70325","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. CACC 737"
"3","JEB81334","PFOS-low","AUC","20260703",32.5023,90.5586,9.4414,"Bacteroides sp. CACC 737","DSM 70325","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. CACC 737"
"4","JEB81334","PFOS-high","AUC","20260420",30.6549,95.3022,4.6978,"Bacteroides sp. CACC 737","DSM 70325","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. CACC 737"
"5","JEB66547","PFOS-low","AUC","20260418",56.8908,110.836,-10.836,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis"
"6","JEB66547","PFOS-high","AUC","20260718",31.0997,79.4302,20.5698,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis"
"7","JEB66547","Veh","AUC","20260422",34.8364,104.9047,-4.90470000000001,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis"
"8","JEB66547","PFOSNO-high","AUC","20260615",46.8873,111.6466,-11.6466,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis"
"9","JEB66547","Veh","AUC","20260305",23.8921,95.4171,4.5829,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis"
"10","JEB66547","PFOS-low","AUC","20260709",23.1606,81.9546,18.0454,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis"
"11","JEB58338","PFOSNO-high","AUC","20260103",54.9165,109.4437,-9.44370000000001,"Eubacterium limosum","DSM 25846","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum"
"12","JEB58338","PFOS-high","AUC","20260131",38.8372,120.5814,-20.5814,"Eubacterium limosum","DSM 25846","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum"
