"merge_id_dyad","X1216932_CLR","X238834_CLR","X1155388_CLR","X2058152_CLR","X102684_CLR","X68892_CLR","X59310_CLR","X1316412_CLR","X2725997_CLR","X2697371_CLR","X571_CLR","X704125_CLR","X254785_CLR","X151276_CLR","X33043_CLR","X2598457_CLR","X2849865_CLR","X1259973_CLR","X1680_CLR","X2507159_CLR","X2742673_CLR","X1977566_CLR","X33038_CLR","X1912897_CLR","X1349_CLR","X29466_CLR","X1502_CLR","X36839_CLR","X2682455_CLR","X1329812_CLR","X1501_CLR","X1686399_CLR","X1338_CLR","X2850492_CLR","X197614_CLR","X1303_CLR","X1827481_CLR","X1328_CLR","X885040_CLR","X39778_CLR","X246787_CLR","X42895_CLR","X823_CLR","X182773_CLR","X400065_CLR","X1334_CLR","X2027919_CLR","X1343_CLR","X2742672_CLR","X332101_CLR","X376805_CLR","X299767_CLR","X1691_CLR","X2798729_CLR","X2715212_CLR","X371601_CLR","X2420308_CLR","X623_CLR","X2897413_CLR","X1839799_CLR","X550_CLR","X2781599_CLR","X360422_CLR","X2742639_CLR","X2912630_CLR","X576_CLR","X28116_CLR","X2912629_CLR","X2686210_CLR","X1940319_CLR","X2212991_CLR","X248315_CLR","X1302_CLR","X1463165_CLR","X333367_CLR","X137838_CLR","X2857061_CLR","X2565914_CLR","X2382163_CLR","X2985571_CLR","X1548_CLR","X2873296_CLR","X2500132_CLR","X564_CLR","X1156431_CLR","X158836_CLR","X2596949_CLR","X45634_CLR","X1314_CLR","X1322_CLR","X2860337_CLR","X2044467_CLR","X1307_CLR","X438033_CLR","X2785531_CLR","X1561_CLR","X84023_CLR","X2843318_CLR","X36745_CLR","X166486_CLR","X1519_CLR","X1310_CLR","X2894203_CLR","X1494_CLR","X2763062_CLR","X548_CLR","X84022_CLR","X2976431_CLR","X2587529_CLR","X2021971_CLR","X2972764_CLR","X674529_CLR","X1345_CLR","X820_CLR","X29341_CLR","X418240_CLR","X2912628_CLR","X2923088_CLR","X2755405_CLR","X2479767_CLR","X1443109_CLR","X2912631_CLR","X2850493_CLR","X2742643_CLR","X751585_CLR","X2478464_CLR","X290053_CLR","X211595_CLR","X113107_CLR","X61645_CLR","X223919_CLR","X1304_CLR","X2831966_CLR","X1814128_CLR","X1702238_CLR","X1340_CLR","X2020965_CLR","X1316411_CLR","X1346_CLR","X1520_CLR"
"MM-0001-01",1.46628383596557,1.43469445027048,1.15850768775788,1.01871354911426,0.96341135542021,0.918843583299337,0.883501913218776,0.857135459418478,0.830249335934793,0.796004559985497,0.811690686559725,0.811334201498614,0.784635973903789,0.702410663383167,0.68539163012999,0.685032095723173,0.655425645472743,0.640968461337561,0.627585432283522,0.614310370921986,0.603298593104616,0.607824698896736,0.607727578515949,0.595954978392588,0.575853549641853,0.537162125849782,0.478515847035942,0.492890374459076,0.485948369483505,0.45774458099942,0.440443899086533,0.424298182187097,0.419385604320913,0.38739669575501,0.321533649718179,0.32495444241725,0.289807892803964,0.248663279955078,0.240984359150922,0.196564449293145,0.177855728957026,0.143225493501711,0.147543489261629,0.14430674167625,0.144692618586306,0.121588250240888,0.126314901549075,0.130862858890268,0.125843240507394,0.116283618032343,0.136013084866582,0.0817988346616128,0.0633051284972641,0.0371005338966564,0.00328194125111114,-0.0287793229306672,-0.0230140358565682,-0.011582229269548,-0.0213728976326424,-0.0280453779435916,-0.0250235359847331,-0.0408749415214977,-0.0435724921084972,-0.0464641502961776,-0.0680881456923572,-0.0629467461919395,-0.0522726732789156,-0.0575482389765796,-0.0679926939669953,-0.0540594796037448,-0.0672294079839402,-0.069999096015902,-0.0797055774902748,-0.0889222325951993,-0.109900989857646,-0.106621809694599,-0.116992863960088,-0.16220583328544,-0.149181424113396,-0.154683072910221,-0.165567534108644,-0.174658505809897,-0.188344167932439,-0.21518409457948,-0.214852401282172,-0.207034269735057,-0.220172741918843,-0.249608191021867,-0.272531167412353,-0.259615751394034,-0.267508085768489,-0.274289358101452,-0.255002133060522,-0.280408464038717,-0.280526506888409,-0.281471351649853,-0.29839263241953,-0.294554316564054,-0.329517375886647,-0.336484311257555,-0.326917238224139,-0.34061267140883,-0.348668095710766,-0.371548879152717,-0.377384336287778,-0.374008586522699,-0.393378384625438,-0.410035442413391,-0.404006889089274,-0.402538754024102,-0.427111341809203,-0.418265941549908,-0.450762260955992,-0.435208552041823,-0.445457949245157,-0.455813485390476,-0.474986124084364,-0.46613524546251,-0.475272944680047,-0.517009729265982,-0.565418629203471,-0.550308130622962,-0.549844416262694,-0.570138587619929,-0.583474235321597,-0.586355159209172,-0.608394618775463,-0.630428144933313,-0.618274494958403,-0.618605511181219,-0.628921742439057,-0.662944415002182,-0.686227742506524,-0.680399911442528,-0.670238646718087,-0.685519527179473,-0.684458143743552,-0.667801319606206,-0.694944332428599,-0.722477315952901
"MM-0002-01",1.47180898859662,1.45049165099948,1.15095011566774,1.01021981520112,0.954528939122919,0.905943193310973,0.891917058077428,0.867244433442461,0.844310676230313,0.81013065357272,0.814459595254653,0.81215315863621,0.796639451032503,0.687911092702129,0.68138976605874,0.675965526994213,0.657868841495074,0.633781329632223,0.629555754813723,0.60878487972762,0.619885247761914,0.611061890761689,0.624190500218055,0.593577268121828,0.585564083691993,0.526532182925912,0.500813824672133,0.483011035326038,0.483189304334444,0.460062977846313,0.452785225160894,0.422280551247451,0.420811252217805,0.397101176274556,0.32402011103702,0.313356285033707,0.307051795396165,0.244438856775761,0.238024757873666,0.202848017866163,0.19598246059542,0.162895646293903,0.145495287775907,0.149236173739564,0.14073665378832,0.137026774348632,0.141803052910802,0.128041078249511,0.108074440555467,0.133492755777174,0.119999679374518,0.0762525256148239,0.0495915156271138,0.0429694316914233,-0.00103257391357037,0.00380131595063826,-0.0206052428398795,-0.0156760439685755,-0.0228941647237715,-0.0291972518479353,-0.0242996463325067,-0.0468330697022248,-0.0423006552352456,-0.055578040074435,-0.047211699822987,-0.0497142605648611,-0.0616300752472592,-0.0551962295241886,-0.0604013851832983,-0.0683376290182398,-0.0620143507006299,-0.0685697283577991,-0.089129373781935,-0.0866839025991011,-0.113433072197998,-0.120091102639468,-0.101607183200876,-0.132303868670512,-0.141583139892081,-0.145753635552349,-0.181923174107521,-0.186004635203009,-0.198878658088247,-0.21567830655481,-0.205245290257658,-0.216036922301883,-0.221702150348974,-0.248943322938454,-0.268123402884256,-0.245243383466451,-0.271909135211773,-0.267934491955196,-0.274472630562914,-0.282873634626218,-0.284120696997052,-0.29735824475947,-0.281723878822641,-0.288353100390842,-0.325070683326005,-0.343234653953678,-0.360076292524821,-0.34384583865234,-0.359765653122892,-0.356561350417378,-0.386733343718111,-0.378049608116894,-0.397426345518147,-0.395493147622552,-0.424338684984674,-0.423455585247406,-0.422022209402455,-0.424780527475018,-0.455749006968122,-0.47183206472141,-0.458373530640427,-0.451087523909494,-0.47647513748524,-0.485591610161109,-0.494199646333978,-0.532217861555616,-0.547464515749669,-0.550592059426179,-0.552849963044743,-0.581900292295024,-0.586955062956646,-0.574044994674738,-0.60730097709954,-0.630238070118805,-0.613953476354306,-0.625365293828631,-0.652741763994151,-0.634180703191407,-0.647620291106863,-0.652325530897611,-0.698455897970757,-0.692084605059918,-0.681888494612648,-0.695409989458795,-0.691218929057221,-0.720486455581167
"MM-0003-01",1.46096286326375,1.44390744513885,1.14324278546581,1.00542852495824,0.961811588486407,0.914780492841976,0.872778577961523,0.842705326232915,0.834786185003892,0.819047815011827,0.795650121931248,0.794876565616452,0.802821585471584,0.688583019627016,0.685533023893059,0.683871507543658,0.661880775706556,0.630594773868055,0.636261304123709,0.60126465320805,0.602708488284171,0.598732914722395,0.622918409541906,0.609466728112906,0.585463545337686,0.542038778162283,0.519245326836239,0.489154701897175,0.49784481130023,0.446559950073555,0.429378273681283,0.429378273681283,0.423699862140039,0.391344227471107,0.314112229034053,0.31699629179069,0.294669602396308,0.231981401996655,0.246610495176386,0.199585175060269,0.176874296123755,0.141238535317623,0.149671633728476,0.157921666394993,0.124970509980685,0.124970509980685,0.128106218955021,0.119839303387023,0.131000912112754,0.140208020541592,0.103810675017818,0.0803706932640642,0.0650508274923558,0.0542479658686466,-0.00238183688458982,-0.0123400948401269,-0.0299753368250419,-0.00741496009240716,-0.0252331018013594,-0.0297037452970272,-0.0151462702634682,-0.0366524754844324,-0.0529174791233347,-0.0282113089573297,-0.0518063678979104,-0.0269918792282775,-0.0667706356687754,-0.0531954499381886,-0.055282697617276,-0.0534734980423011,-0.0732733444747176,-0.0708652407541726,-0.0659255651959487,-0.0632542103560354,-0.116159823799459,-0.112613196762791,-0.122843844228032,-0.147130428975705,-0.137859141348027,-0.151875214796252,-0.17641441785959,-0.180510847095174,-0.204315789367171,-0.216679701543992,-0.230857321150038,-0.227873234055017,-0.223743385945232,-0.228369963926975,-0.254205992472429,-0.260172088750732,-0.272558278412493,-0.268067770003151,-0.293902685643538,-0.2928422401571,-0.295495465380323,-0.280901799785182,-0.283173535144002,-0.304569453447733,-0.33101068961066,-0.33119422636441,-0.341711898742089,-0.356662653771359,-0.385893887752468,-0.344870285018322,-0.366692068903932,-0.382796711447785,-0.368595743569835,-0.382796711447785,-0.398183128536933,-0.426853218832337,-0.40468113308869,-0.446021831848014,-0.43720759009504,-0.447257925948542,-0.439250491724842,-0.443348858117123,-0.432931033327781,-0.496048090117973,-0.473152043400522,-0.505617541134123,-0.556266950111029,-0.557877441658936,-0.549622407392359,-0.562030654827779,-0.57155564262612,-0.616920307972525,-0.6014086057758,-0.61765335626436,-0.60864976703236,-0.626492107644245,-0.625752553807997,-0.660096071901428,-0.674222414425484,-0.646166506417295,-0.698837430440411,-0.699367793751702,-0.727887348399737,-0.711913000321043,-0.704153764067644,-0.707357183785181
"MM-0004-01",1.46626675184813,1.45050889066725,1.15459259533461,0.998668583224964,0.959248211190345,0.904458643921775,0.894294762984364,0.85543703451193,0.836967613930018,0.809720040458865,0.805134350892167,0.810318484522204,0.794120310170298,0.697097481122952,0.691867519342283,0.669292977637095,0.662132630015118,0.639274491939062,0.628415625584058,0.62136845256991,0.610468879257611,0.600820141580496,0.608379232692184,0.58472545904781,0.58606325188947,0.533023428986745,0.49650122563297,0.486685989175024,0.487335474038288,0.450114884200827,0.452256802341712,0.426245923004486,0.426308664165846,0.377254960661642,0.327195541143827,0.328925944759547,0.31099293792792,0.229082684476477,0.252495882960888,0.186303760880706,0.191077799228667,0.163555341027164,0.144444380479603,0.152149153278314,0.139776149261051,0.15008380494614,0.118068299088929,0.143862041958092,0.126232303953901,0.112931741266733,0.134918111396138,0.0841108008039662,0.0747027257304103,0.0505138207506555,-0.00876418395197298,-0.0046045648951063,-0.00441151470145495,-0.0200725516808458,-0.0263668289522325,-0.0422780635933355,-0.0359827642616812,-0.0378771763143524,-0.0355843975598686,-0.0394752589556981,-0.0672463757731574,-0.0659111935278665,-0.0628367906143721,-0.0487141276442289,-0.0650904281180882,-0.0495215560288305,-0.0789279062407262,-0.0935924614830128,-0.0797601126759409,-0.094965145294986,-0.107832872160253,-0.110404945167553,-0.12000122345631,-0.131771193681561,-0.13275830645708,-0.155173803340488,-0.184554190346469,-0.193026358471199,-0.192327302168701,-0.214347620827581,-0.218164874657608,-0.233824072011958,-0.216135144392385,-0.252820905314788,-0.259400284768523,-0.266023239311533,-0.285519995637748,-0.278132368101283,-0.277117654670736,-0.270421060057996,-0.306187225692613,-0.291932740455876,-0.287183357290534,-0.306709418915968,-0.310765688788969,-0.331966959917505,-0.339225056296486,-0.352943437819221,-0.346128637014242,-0.368934955882783,-0.365743832814048,-0.374648858962657,-0.376187428396872,-0.379693005849334,-0.398408992400755,-0.405302600053658,-0.427893373481467,-0.416315608044573,-0.442294928899228,-0.449800217807283,-0.437967532755775,-0.465900201050552,-0.455542149569787,-0.501117302554187,-0.480863843154236,-0.514208166383988,-0.559741547395166,-0.551034191644254,-0.548869147914045,-0.576873677047038,-0.566152907301936,-0.568525387655566,-0.613108262871632,-0.591175635308735,-0.612044432984067,-0.633901268669162,-0.633901268669162,-0.649968804401686,-0.660701697957346,-0.700748798986674,-0.689771317542654,-0.687284467863118,-0.687284467863118,-0.713023673030281,-0.72525262227261,-0.731823078961489
"MM-0005-01",1.47173669295869,1.43702161083438,1.15447676128455,1.00619369244547,0.953331715603537,0.915650425359241,0.879953419849258,0.859287828325759,0.847102524930637,0.81271816874019,0.80313172926769,0.799036825918119,0.795709578589704,0.68742224044206,0.681139803239851,0.670790374730541,0.662425547251607,0.630756328801566,0.637591992899348,0.6186608140185,0.606811962273634,0.597971643853445,0.605666735571312,0.588972123081243,0.579525903962763,0.542549678781117,0.493822643932119,0.482490448447591,0.481685655414795,0.451904526720608,0.438824562875678,0.432783663192062,0.42111414754316,0.395702510180822,0.323972704964152,0.327370956829387,0.315241321910756,0.248110823866456,0.244941966529366,0.205993263532807,0.195746483321539,0.1474473577085,0.153489672164462,0.143754198366977,0.135378570827852,0.118542512162353,0.135441807935408,0.132528754137093,0.137652591136963,0.11603116147512,0.115321690001587,0.0809283282881861,0.0596688807451784,0.0445483177513522,0.00116938669315303,-0.0220236637412192,-0.0154575550865044,-0.00798499284235543,-0.0203965647948641,-0.0306469702254688,-0.0207661276062696,-0.0399479673692102,-0.042437876981694,-0.0605044582517911,-0.0474363726964171,-0.056052842948886,-0.0514684828417824,-0.0649759790782518,-0.0571255577862537,-0.0569722423394232,-0.0768683892621445,-0.0762430472578668,-0.0701663691635277,-0.0900124925512786,-0.116667892135384,-0.0982063254358021,-0.124263795852225,-0.139880721382167,-0.133985408090187,-0.148747362490666,-0.17375930013144,-0.201713601162814,-0.195531474258085,-0.231201534193458,-0.218869132700796,-0.221395753788647,-0.222118819619137,-0.253622549982466,-0.23504101235376,-0.249990077306709,-0.268664668705769,-0.274364313659667,-0.278086579947388,-0.280288275184162,-0.279330420704797,-0.275317420861059,-0.29292164635133,-0.305127041243125,-0.315495968389868,-0.341541987984903,-0.352091581396183,-0.33332318062314,-0.354049840202856,-0.352297533410093,-0.362649592731128,-0.377958689037242,-0.368703259063079,-0.414874368515306,-0.412465256531037,-0.407229071337354,-0.415203333922078,-0.422910076899506,-0.442891765319012,-0.460293398630953,-0.446280067634517,-0.436933679007254,-0.468357029467888,-0.488569178497001,-0.47450589738224,-0.546012274033493,-0.554926891423063,-0.541024732522453,-0.521197717659054,-0.585663079663284,-0.598358754405701,-0.584493260851771,-0.604966416877163,-0.627357913487442,-0.618717384504122,-0.627357913487442,-0.639773653847965,-0.634160660810196,-0.679972329949567,-0.712214448947561,-0.670159266776374,-0.681116331218335,-0.710592149351289,-0.681402536143014,-0.718730094684753,-0.713839384676995
"MM-0006-01",1.47037802753385,1.45159634368017,1.14377673412571,1.01877805542976,0.95629322432014,0.907570692456437,0.89269012790253,0.861818358513234,0.819367907814266,0.798538900816514,0.807508827812626,0.794659783211137,0.789523301204729,0.6958029355709,0.679206023356421,0.675909033339334,0.64717072756603,0.633648651555387,0.629155944634984,0.616231422481818,0.61390579087061,0.59880633572947,0.600910017947811,0.60565919790849,0.580809709431701,0.528993486216208,0.472786141180954,0.501379425224376,0.485814537111409,0.445357375143075,0.443300948086087,0.419265848864164,0.411676953095173,0.398374375544454,0.327267397906541,0.338202597297996,0.311926187939749,0.251201360702117,0.254905855874743,0.208821610962087,0.179187904302988,0.172627922761985,0.153625291297966,0.146286920600665,0.123459248109052,0.122767685149264,0.129043351413302,0.121660188670036,0.11345430117752,0.12214486930961,0.122560122966348,0.0877801302759131,0.0544910664560634,0.0517467665694591,-0.00266299041764029,-0.00117402027459779,-0.015528711116886,-0.0213447654353072,-0.02977009110253,-0.0257491769597378,0.00499329698229722,-0.038429555241013,-0.0447896549581097,-0.043890264030388,-0.0722386190346445,-0.0672067399169842,-0.0382670064760253,-0.0699711395831812,-0.0605367135208859,-0.071398212228309,-0.079326060109774,-0.0466728175893847,-0.107143787876941,-0.0874879826514556,-0.119319298510193,-0.118966844545842,-0.119407431414669,-0.136115960895709,-0.157218949337392,-0.14349208501033,-0.182055737080226,-0.1869471023024,-0.187701748126346,-0.219824937799271,-0.214673543795829,-0.213801408462679,-0.232080593918784,-0.244588201881698,-0.241695576055463,-0.250298209882683,-0.268240001795512,-0.286405430603558,-0.275837574275884,-0.283804919438127,-0.292779204858851,-0.296454714378654,-0.29919386484814,-0.299299366773647,-0.318903659656258,-0.313859377428334,-0.340218081171233,-0.350381668439665,-0.33244446125128,-0.344955598983669,-0.368985813669493,-0.364245933449135,-0.385179576143599,-0.38932704752661,-0.412332674733947,-0.403511682518566,-0.425292846624727,-0.437574758988655,-0.441215981606235,-0.459128373177825,-0.468831148639208,-0.450009394398623,-0.461731411523988,-0.475100761652804,-0.470081930540863,-0.519729784072747,-0.539387742102345,-0.560946437547016,-0.554252880693206,-0.57349746086756,-0.569065934435054,-0.581440093021864,-0.568513371912363,-0.593686005784837,-0.630174299047972,-0.634590617134185,-0.645120933201444,-0.663022878003653,-0.656366272486053,-0.679243585599691,-0.690101455571739,-0.686520849270955,-0.702972454162961,-0.699817877414445,-0.714412045072355,-0.724853068363121
"MM-0007-01",1.46925586955567,1.439419803139,1.15907104633247,1.01670481888788,0.958649447894896,0.907023820305767,0.884085056025081,0.854598378290486,0.835380875992274,0.804038070340734,0.805732868273664,0.799327588493063,0.799690722060372,0.683303126333472,0.687342397242744,0.685497003165406,0.660196855239445,0.650095922242334,0.626299732369603,0.603079993247707,0.604880173751855,0.607151245690487,0.599674575347467,0.593240823987405,0.569125687362668,0.540115392912434,0.489469779279023,0.480940208929534,0.497813907187965,0.449529733732692,0.436804428879292,0.42468747462001,0.4160354188517,0.386290510840053,0.327998800327907,0.325803114638578,0.300959090980889,0.260558560479594,0.252143633320737,0.190501424064772,0.197257860679576,0.153302188509367,0.145811516780209,0.139508126030868,0.138101960304303,0.136693814491034,0.135609274500774,0.115662314723077,0.114166759565765,0.121897333680621,0.11344587895119,0.0752830184558606,0.0677628812052609,0.0391373328137998,0.000332403191445785,2.17766552292886e-05,-0.0159495019884295,-0.0123572498191962,-0.0233637496971477,-0.0206958957359538,-0.0166442315455342,-0.0337212363184651,-0.0474395826840048,-0.0298085922198403,-0.0512257351277414,-0.0499838643187678,-0.0548293426310389,-0.0533863409376467,-0.0721093912602182,-0.0716420235334674,-0.072242965026529,-0.0750521435176124,-0.0827170771648875,-0.085082182838776,-0.12194858951255,-0.113630062637458,-0.127721220819054,-0.154988806356411,-0.145529227567262,-0.143088626255308,-0.183617909580854,-0.184439510254475,-0.187133114576698,-0.203677401280923,-0.209330154855686,-0.224303036259238,-0.235170583894637,-0.250538440206657,-0.260647640548076,-0.255820988107981,-0.273878890028362,-0.286294260191392,-0.277316725942704,-0.280519619495054,-0.28662524902354,-0.291104354056776,-0.282578165242376,-0.301298292599673,-0.325008772372083,-0.318664987702668,-0.336773613951669,-0.335295417082358,-0.33799259538254,-0.342270770153251,-0.385633394188519,-0.385542024093885,-0.380438577311415,-0.381438986653182,-0.407433629410605,-0.41691059454538,-0.426192722185253,-0.41804256334845,-0.440762135461971,-0.446377951925047,-0.459375936044001,-0.465097565542763,-0.468963358135235,-0.481354842762776,-0.461640942674852,-0.540378183212237,-0.547120864079629,-0.550886536397577,-0.558026333062612,-0.5848735830988,-0.587665477256921,-0.579423978331236,-0.593272758966762,-0.596313815542541,-0.601289512792082,-0.61349382737346,-0.629107398477883,-0.627709611412794,-0.666032113249192,-0.6739248140481,-0.700484339515144,-0.702614799622926,-0.68915665257114,-0.723403987930557,-0.721228822336196,-0.719441055291273
"MM-0008-01",1.46520031842035,1.4405147210173,1.15488426222089,1.01423161994262,0.956169961044925,0.910189183786926,0.891256257943803,0.859559149550249,0.843050595581865,0.80987551173977,0.802166694121477,0.805514480414872,0.785490730035371,0.681693025619775,0.685790664728003,0.674717573538685,0.642425754641669,0.637098702260113,0.64047354937676,0.605713074347565,0.610411268097986,0.602743587982397,0.605224588643505,0.5933228208951,0.57966781887988,0.531253523912392,0.490447187543379,0.487310668074039,0.486249868446029,0.45798352045612,0.444385623357005,0.429935101475512,0.429560748789319,0.387502048051148,0.317600681765864,0.302173559404765,0.301322616224782,0.251283090770687,0.256143970338324,0.20143329617877,0.183450898997258,0.15034353165993,0.151223184253901,0.138280525709493,0.134934735491931,0.147920489558082,0.132081985689818,0.127309242976565,0.11820619196151,0.117240145572982,0.122457055618747,0.0852364900357241,0.0596702937515046,0.0368894328457277,-0.00353217360074254,0.0101029532233357,-0.0203523398487002,-0.0213314202441346,-0.0249951469461402,-0.0204175820604355,-0.0198957635109913,-0.0430505959354175,-0.0333540332769404,-0.0443194197725436,-0.0602152215697993,-0.063479420319883,-0.0492094050667342,-0.0543933800516774,-0.0562175200028197,-0.0491422571734743,-0.0739557392182686,-0.0675063172060817,-0.0890050887484675,-0.0774723779052993,-0.100460289733971,-0.113121387808333,-0.130231865529061,-0.138494260355839,-0.151128807235794,-0.142614336813812,-0.15874192058519,-0.195289951700426,-0.190251376644098,-0.207172518028649,-0.212534461170035,-0.237998243900952,-0.232821076537289,-0.248024003389542,-0.262713160065271,-0.248105926954901,-0.262630031090619,-0.280748292192163,-0.267546502807973,-0.267964266109367,-0.275177247142707,-0.296187674242577,-0.292326831215859,-0.302396196384022,-0.337697604124039,-0.338952871929861,-0.342458020892223,-0.349142779299036,-0.349868139744295,-0.354869286790065,-0.368544870487695,-0.371135785233998,-0.388142362185753,-0.407074573944886,-0.408901058470922,-0.415465422230108,-0.407554904421483,-0.428823003959995,-0.458003982022678,-0.438290530298394,-0.451054963677272,-0.46561243871083,-0.475745067238273,-0.462968279741196,-0.490147222616274,-0.528550069520202,-0.537154381167652,-0.539234863713866,-0.564881564975255,-0.573351884972316,-0.60375146247856,-0.577671055133132,-0.608086814045973,-0.598969275724401,-0.606561439740232,-0.626814397051483,-0.625618653754638,-0.650176834654775,-0.65742903287109,-0.670592019397369,-0.660023068048136,-0.697706311888941,-0.724784248480795,-0.701180101165392,-0.727559275038623,-0.710242825027161
"MM-0009-01",1.47077276226508,1.43559079295006,1.14471059024075,1.0145255283533,0.956791455655906,0.909704551850078,0.883283620051259,0.852498016985748,0.833423273487594,0.81327405557989,0.810483159413561,0.805871009704481,0.793687046047737,0.681582885587079,0.681358061831894,0.67623768996518,0.661504039151012,0.641281271183456,0.644419209397242,0.617838337147313,0.623470039660944,0.606686572923354,0.600367326867727,0.57935393554455,0.583507075000152,0.537698645946637,0.48680733651153,0.49124573196194,0.473451807648071,0.452391667457721,0.439588436089825,0.429639741494829,0.416456210632576,0.384684554500285,0.32135532780049,0.329243106016426,0.298301564932165,0.261398070723639,0.259930431890662,0.204055600746051,0.187560811901196,0.149093499081122,0.149312257627249,0.15650457327172,0.128425212519357,0.141461760280095,0.128145984304324,0.114933524369267,0.123387136480032,0.134271066096304,0.127866678099117,0.0769232391425252,0.0581113026080056,0.0482987445676875,-0.0313155410784045,-0.00640725027908395,-0.0121103832278742,-0.00909456394443531,-0.018492766366963,-0.0204996941761788,-0.0279148445828294,-0.0271317080812761,-0.0422496508029129,-0.0392737533582235,-0.0541085506069621,-0.0722330746093576,-0.0497617353231261,-0.0531037610258238,-0.0609005473973054,-0.0649573480929186,-0.0767474461611695,-0.064347777821073,-0.071414464835831,-0.0843860615637491,-0.113686538511531,-0.105327773402522,-0.114184599641043,-0.146881906638424,-0.138315132664572,-0.154929497045582,-0.168062054086734,-0.183579150049573,-0.166786017133706,-0.21213151712123,-0.227237186137074,-0.218667745454934,-0.206417886737808,-0.250128489554794,-0.241280670156448,-0.244032148788003,-0.278576616529381,-0.280591899770857,-0.285647948293488,-0.285901423010744,-0.298486623133001,-0.287085155287293,-0.303462184568616,-0.295410749211009,-0.329071109517818,-0.318626462849666,-0.348852561813205,-0.323879035549267,-0.334467681202852,-0.357801774082438,-0.370411590290497,-0.371976031781985,-0.388037278494134,-0.392351672731016,-0.427845904256352,-0.432433739918307,-0.428527866385173,-0.425608440411292,-0.430088385574383,-0.439502988798565,-0.437337633621786,-0.435078855347396,-0.45739788922468,-0.489713019502461,-0.493969891424099,-0.529771215447157,-0.541486285973578,-0.558987145385866,-0.557101294252882,-0.600359850405985,-0.590571092563829,-0.593670090739841,-0.600475584449282,-0.622120184914704,-0.60942757122119,-0.640261271985351,-0.622948440301341,-0.64279368214187,-0.678562258872922,-0.672200358790165,-0.694455630755005,-0.718649321419484,-0.69293104654406,-0.705707507552438,-0.716827353190331,-0.717217495597254
"MM-0010-01",1.4676011399676,1.44203151681432,1.14849465703633,1.00856526028488,0.955711864978903,0.907431274934128,0.891193881153427,0.860650904963918,0.831748513558122,0.804041280405379,0.801169028283872,0.801463160351287,0.794840619590794,0.689118208253679,0.685565416310427,0.679640508919569,0.650162167029385,0.627284032875637,0.640498041699197,0.615114291007289,0.606057655177922,0.602196569676631,0.606295996324675,0.580384267000694,0.574374314120872,0.532930184563578,0.494724514295002,0.492501698406891,0.492946657033081,0.449347852276381,0.437474670211692,0.42393471995095,0.427550672125705,0.39069039283969,0.315710240521694,0.335119133808232,0.309262902349566,0.255510427547671,0.242108750533473,0.20138679674417,0.18952681945342,0.1601776843119,0.151515305028233,0.145992162889028,0.144291428643927,0.129685212283226,0.135489725470937,0.141134262417236,0.150074698471736,0.117456186869423,0.123525028531768,0.0961850553493688,0.0529953728537489,0.0457861360290499,-0.00223905018312198,0.0124697611702045,-0.00728827242849572,-0.0292427253832237,-0.0360902633322011,-0.0120682204933127,-0.0216227871239285,-0.0293177188213338,-0.0560711004059238,-0.0561481331063449,-0.0496214465986426,-0.0579215249894363,-0.0526107563017737,-0.055224132116602,-0.0615552218246203,-0.0662910716759733,-0.0781903822689438,-0.0672253601276163,-0.0760663205806154,-0.0852240383261114,-0.120085956492331,-0.112477624294383,-0.13314615204655,-0.141417221379997,-0.140578646907378,-0.143600811732799,-0.177200894906758,-0.187777454319017,-0.189536469724197,-0.199177869428267,-0.220013827511562,-0.231239133610045,-0.223650525764607,-0.245380503332797,-0.263414240857246,-0.24231344390914,-0.284389007783608,-0.272650202726473,-0.264836918576223,-0.280428606567511,-0.310471474663033,-0.292552318422768,-0.298915219827673,-0.308585711611028,-0.302752485322332,-0.31007417628673,-0.355063232221371,-0.325686983418819,-0.35381751421537,-0.353195236659508,-0.358705465291988,-0.373725967216712,-0.373514327004282,-0.39685086022671,-0.406974497551143,-0.414221701775429,-0.442953206912311,-0.431114746311128,-0.439782555405454,-0.434145561899403,-0.451495886576079,-0.447842080273179,-0.481334984331011,-0.491641300755201,-0.493786968523211,-0.534708411106794,-0.541694467463634,-0.526906997011633,-0.557721058205583,-0.597557658726934,-0.57906411572636,-0.581406037171442,-0.589383585528136,-0.635328536452404,-0.615860220262779,-0.646526552131983,-0.637943996681049,-0.667174803098154,-0.66973271269235,-0.657289113213612,-0.676872540252621,-0.70080233122567,-0.712465562278321,-0.693927441279407,-0.705362839313755,-0.718871543216523
