"taxonomy_id","predictor","betas","SE","ci_lo","ci_hi","p_val","n","FDR","name","taxa_level","taxa_name","taxa_full"
"X102684","PFDA",0.00087019310566487,0.00192840219726407,-0.00306812958647833,0.00480851579780807,0.655053938060698,38,0.965599996814426,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X102684","N.MeFOSAA",-9.11757376666109e-05,0.00197446594502958,-0.00412357315310532,0.0039412216777721,0.963474868739263,38,0.98457285856567,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X102684","PFDoA",0.00198440057532844,0.00186473887229592,-0.00182390426175574,0.00579270541241262,0.295742208624262,38,0.800128133397142,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X102684","PFBA",-0.00229126955853543,0.00199335389156168,-0.00636224130693274,0.00177970218986188,0.259450252753679,38,0.928654337204168,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X102684","PFHpA",-0.000994360127157628,0.00178750500833587,-0.0046449323711825,0.00265621211686724,0.582142771703556,38,0.92911180378499,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X113107","PFDoA",-0.000354089439390128,0.00428839210106469,-0.00911215450921434,0.00840397563043408,0.934742498619966,38,0.974975078225898,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X113107","PFDA",-0.00184820867693027,0.00435558871812739,-0.0107435075469382,0.00704709019307771,0.674352462330262,38,0.965599996814426,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X113107","N.MeFOSAA",-0.00204833085668389,0.0044423352043217,-0.0111207896861274,0.00702412797275966,0.648057278279717,38,0.910226285933885,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X113107","PFBA",0.0119579528290184,0.00404727627590743,0.00369231196769122,0.0202235936903456,0.00604044319885387,38,0.318887976136193,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X113107","PFHpA",0.000383340194299899,0.0040559327888842,-0.00789997962504737,0.00866666001364717,0.925329757786316,38,0.980631390935176,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X1155388","N.MeFOSAA",-0.00172170986847557,0.00212706415316793,-0.00606575440127614,0.00262233466432501,0.424641437425571,38,0.867939519343514,"Clostridium sp. C1","Species","Clostridium sp. C1","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_sp._C1"
"X1155388","PFBA",0.000912932577021028,0.00221166973102074,-0.00360389959707779,0.00542976475111985,0.682703274929612,38,0.938223440751293,"Clostridium sp. C1","Species","Clostridium sp. C1","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_sp._C1"
