"taxonomy_id","predictor","betas","SE","ci_lo","ci_hi","p_val","n","FDR","name","taxa_level","taxa_name","taxa_full"
"X102684","PFDA",0.00476981430741781,0.00202135578146973,0.000622334830334359,0.00891729378450127,0.025774100031605,35,0.646662622578676,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X102684","N.MeFOSAA",0.00324549488967754,0.00227137580046416,-0.00141498329210965,0.00790597307146474,0.164510247564248,35,0.918566105878837,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X102684","PFDoA",0.00121145495120315,0.00218016821101049,-0.00326188071520841,0.00568479061761471,0.583011772747641,35,0.970355898058642,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X102684","PFBA",0.000336966063850105,0.00238397549284719,-0.00455454760291488,0.00522847973061509,0.888645738335482,35,0.969968177491165,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X102684","PFHpA",0.00159838453809462,0.00210488100122112,-0.00272047453377044,0.00591724360995969,0.45421022151774,35,0.889866029573718,"Streptococcus infantarius","Species","Streptococcus infantarius","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_infantarius"
"X113107","PFDoA",-0.000152471406571301,0.00478412963577915,-0.00996869458806068,0.00966375177491808,0.974809953734335,35,0.988937634223238,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X113107","PFDA",-0.000327092673394946,0.0048436552700955,-0.0102654523678875,0.00961126702109757,0.946657282430822,35,0.98420539314755,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X113107","N.MeFOSAA",-0.0020977935226353,0.00512419930965346,-0.0126117820387095,0.00841619499343887,0.685483499322782,35,0.984500466668035,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X113107","PFBA",0.0011822836787547,0.0051987481527304,-0.00948466642851305,0.0118492337860225,0.821812778742571,35,0.964701732189117,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X113107","PFHpA",0.00653119974010636,0.00446818027057176,-0.00263674889218792,0.0156991483724006,0.155361876620919,35,0.889866029573718,"Streptococcus australis","Species","Streptococcus australis","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_australis"
"X1155388","N.MeFOSAA",-0.000942258627711548,0.00224245173359798,-0.00554338952644199,0.0036588722710189,0.677670992379504,35,0.984500466668035,"Clostridium sp. C1","Species","Clostridium sp. C1","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_sp._C1"
"X1155388","PFBA",-0.000112911412176592,0.00227752557624076,-0.00478600789157173,0.00456018506721854,0.960824923306598,35,0.970948141783281,"Clostridium sp. C1","Species","Clostridium sp. C1","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_sp._C1"
"X1155388","PFDA",-0.00302431580466013,0.0020387559850224,-0.00720749755038591,0.00115886594106564,0.149545231333012,35,0.875384362782265,"Clostridium sp. C1","Species","Clostridium sp. C1","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_sp._C1"
"X1155388","PFDoA",0.00230318085566226,0.00204656566846249,-0.00189602503686995,0.00650238674819447,0.270329301559557,35,0.970355898058642,"Clostridium sp. C1","Species","Clostridium sp. C1","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_sp._C1"
"X1155388","PFHpA",-0.00281822183290456,0.00195785941759591,-0.00683541753290616,0.00119897386709705,0.161519766095795,35,0.889866029573718,"Clostridium sp. C1","Species","Clostridium sp. C1","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_sp._C1"
"X1156431","PFDA",0.00278752591943694,0.00430929822494604,-0.00605442368312168,0.0116294755219956,0.52318218919062,35,0.92382028040461,"Streptococcus ilei","Species","Streptococcus ilei","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_ilei"
"X1156431","PFBA",-0.00444084271283703,0.00458603200802826,-0.0138506031364648,0.00496891771079071,0.341468863655629,35,0.861414136191478,"Streptococcus ilei","Species","Streptococcus ilei","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_ilei"
"X1156431","PFHpA",0.00400410047550186,0.00408908827977165,-0.00438601564151548,0.0123942165925192,0.336166404752277,35,0.889866029573718,"Streptococcus ilei","Species","Streptococcus ilei","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_ilei"
"X1156431","PFDoA",-0.00256836169500778,0.0042603352023325,-0.0113098474735888,0.00617312408357324,0.551636139135462,35,0.970355898058642,"Streptococcus ilei","Species","Streptococcus ilei","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_ilei"
"X1156431","N.MeFOSAA",0.00276673463395959,0.00457706281256983,-0.00662462252071828,0.0121580917886375,0.550572133980204,35,0.984500466668035,"Streptococcus ilei","Species","Streptococcus ilei","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_ilei"
"X1216932","N.MeFOSAA",0.000588429559802289,0.00176524739031964,-0.00303355890479274,0.00421041802439731,0.741451644529471,35,0.984500466668035,"Clostridium bornimense","Species","Clostridium bornimense","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_bornimense"
"X1216932","PFBA",-0.00221471877090826,0.00173931681465431,-0.00578350208904326,0.00135406454722674,0.213756121253537,35,0.861414136191478,"Clostridium bornimense","Species","Clostridium bornimense","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_bornimense"
"X1216932","PFDoA",-0.000581978655827264,0.001642598774973,-0.00395231294865,0.00278835563699547,0.725863566304177,35,0.970355898058642,"Clostridium bornimense","Species","Clostridium bornimense","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_bornimense"
"X1216932","PFHpA",0.00134131728051538,0.00157633864782369,-0.00189306246139654,0.0045756970224273,0.402304700118829,35,0.889866029573718,"Clostridium bornimense","Species","Clostridium bornimense","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_bornimense"
"X1216932","PFDA",0.001431063189295,0.00164409974903694,-0.00194235084791658,0.00480447722650657,0.391742228882535,35,0.92382028040461,"Clostridium bornimense","Species","Clostridium bornimense","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_s__Clostridium_bornimense"
"X1259973","PFDA",-0.00142929646683638,0.00252267900160055,-0.0066054062256044,0.00374681329193163,0.575680381713483,35,0.937154109766134,"Klebsiella electrica","Species","Klebsiella electrica","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_s__Klebsiella_electrica"
"X1259973","N.MeFOSAA",-0.000149810625180241,0.00269254809436587,-0.00567446297229098,0.00537484172193049,0.956039100931483,35,0.985941901719069,"Klebsiella electrica","Species","Klebsiella electrica","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_s__Klebsiella_electrica"
"X1259973","PFBA",0.00272600346946318,0.0026750873487993,-0.00276282238705358,0.00821482932597993,0.317231817201597,35,0.861414136191478,"Klebsiella electrica","Species","Klebsiella electrica","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_s__Klebsiella_electrica"
"X1259973","PFDoA",0.000568775968203111,0.00250388920141922,-0.0045687803051543,0.00570633224156052,0.82201288262126,35,0.970355898058642,"Klebsiella electrica","Species","Klebsiella electrica","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_s__Klebsiella_electrica"
"X1259973","PFHpA",0.00119062053989292,0.00242075046697846,-0.00377634914103737,0.00615759022082322,0.626807945429707,35,0.932817907439746,"Klebsiella electrica","Species","Klebsiella electrica","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_s__Klebsiella_electrica"
"X1302","PFDA",-0.0034161927212187,0.00293371429790177,-0.00943567724428808,0.00260329180185068,0.254423900026765,35,0.876551133726437,"Streptococcus gordonii","Species","Streptococcus gordonii","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_gordonii"
"X1302","PFDoA",-0.000770007975409722,0.00296563615625662,-0.00685499074159435,0.00531497479077491,0.797108435533332,35,0.970355898058642,"Streptococcus gordonii","Species","Streptococcus gordonii","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_gordonii"
"X1302","N.MeFOSAA",-0.00262845385703292,0.0031498414927559,-0.00909139475394529,0.00383448703987945,0.411337920761198,35,0.984500466668035,"Streptococcus gordonii","Species","Streptococcus gordonii","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_gordonii"
"X1302","PFHpA",-0.000657727468736129,0.00287804064773955,-0.00656297909743882,0.00524752415996656,0.820953920545069,35,0.982284851222905,"Streptococcus gordonii","Species","Streptococcus gordonii","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_gordonii"
"X1302","PFBA",-0.00394078516183842,0.00313939555321996,-0.0103822927612376,0.0025007224375608,0.220137184451696,35,0.861414136191478,"Streptococcus gordonii","Species","Streptococcus gordonii","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_s__Streptococcus_gordonii"
