"Metabolite","Estimate","CI_lo","CI_hi","P_value","N","FDR","PFAS","Beta_IQR","CI_lo_IQR","CI_hi_IQR"
"METAB_C18_001",0.0756506071646826,-0.555652601864624,0.706953816193989,0.808718825971212,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_002",-0.465770559136256,-1.10793056639826,0.176389448125747,0.149336904838551,40,0.81675235317438,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_003",0.50385855373109,-0.212032972752641,1.21975008021482,0.161376334010206,40,0.81675235317438,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_004",-0.371679946299055,-1.08059495194787,0.337235059349765,0.29353279410362,40,0.81675235317438,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_005",-0.176057069617427,-0.847288680636159,0.495174541401306,0.59684981757339,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_006",0.0132143678627083,-0.671492548457481,0.697921284182897,0.968886358581636,40,0.972439322676177,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_007",0.0680541669270774,-0.566169897075494,0.702278230929648,0.828373699982111,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_008",0.17785121893602,-0.485357952531597,0.841060390403636,0.588689832184364,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_009",-0.0979082607233307,-0.765530525174593,0.569714003727932,0.767084484317719,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_010",0.345160227715022,-0.27974457067015,0.970065026100193,0.26892306115691,40,0.81675235317438,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_011",0.0407513638170514,-0.712435156175115,0.793937883809218,0.912932045015915,40,0.96945898889824,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_012",-0.126282593755044,-0.783961428340774,0.531396240830685,0.698303032995977,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_013",0.265044747552194,-0.392442773369416,0.922532268473804,0.417651501619249,40,0.859828024338096,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_014",-0.0343127408808943,-0.637646071325416,0.569020589563627,0.908499824785034,40,0.96945898889824,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_015",-0.147412603359071,-0.985048784397241,0.690223577679099,0.722343833386692,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_016",-0.542073062928666,-1.38363643018006,0.29949030432273,0.198840429614428,40,0.81675235317438,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_017",0.224795352283525,-0.952990735113157,1.40258143968021,0.700017872180925,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_018",-1.07410879290858,-2.68042022482937,0.532202639012208,0.182691572215348,40,0.81675235317438,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_019",1.04595995570969,-0.638909153069014,2.73082906448839,0.215176066473239,40,0.81675235317438,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_020",-0.152911221387981,-1.19795326635505,0.892130823579087,0.767595166335926,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_021",-0.55292964002532,-1.73815767672395,0.632298396673312,0.349099922954612,40,0.859828024338096,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_022",0.357968707548906,-1.22763339917624,1.94357081427405,0.648724478022744,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_023",0.251711585388235,-1.07778668827609,1.58120985905256,0.702308531075818,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_024",-1.43130620538726,-3.04524681525893,0.182634404484416,0.0802636889447008,40,0.81675235317438,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_025",-0.239808437026672,-1.67541866875057,1.19580179469723,0.735887930826967,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_026",0.374414989704621,-0.980878793996713,1.72970877340595,0.577543328190939,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_027",0.15793204790165,-1.20089716195215,1.51676125775545,0.814363037784571,40,0.941333749979671,"N.MeFOSAA_Detect",NA,NA,NA
"METAB_C18_028",-0.71639948506271,-1.86960542615025,0.436806456024826,0.214867326235567,40,0.81675235317438,"N.MeFOSAA_Detect",NA,NA,NA
