"Metabolite","Estimate","CI_lo","CI_hi","P_value","N","FDR","PFAS","Beta_IQR","CI_lo_IQR","CI_hi_IQR"
"METAB_C18_001",0.0786348933521586,-0.294183884431965,0.451453671136282,0.670344180286316,40,0.90148034103751,"PFBS_pgmL",0.069434610829956,-0.259764369953425,0.398633591613337
"METAB_C18_002",0.302429851365437,-0.074883604352397,0.679743307083271,0.112340833897917,40,0.807664285180776,"PFBS_pgmL",0.267045558755681,-0.0661222226431666,0.600213340154528
"METAB_C18_003",0.00837497092834905,-0.428602537057142,0.44535247891384,0.969101671906724,40,0.993103801196845,"PFBS_pgmL",0.00739509932973221,-0.378456040221456,0.393246238880921
"METAB_C18_004",-0.0979677301415571,-0.523385520068867,0.327450059785753,0.642194808790273,40,0.90148034103751,"PFBS_pgmL",-0.0865055057149949,-0.462149414220809,0.28913840279082
"METAB_C18_005",-0.110465930632981,-0.507416119172576,0.286484257906614,0.574770140191062,40,0.90148034103751,"PFBS_pgmL",-0.0975414167489221,-0.448048433229384,0.25296559973154
"METAB_C18_006",-0.0145091856432189,-0.419629377961343,0.390611006674906,0.9422985718136,40,0.993103801196845,"PFBS_pgmL",-0.0128116109229623,-0.370532740739866,0.344909518893942
"METAB_C18_007",-0.182463584059041,-0.552224931729501,0.187297763611419,0.322364481040978,40,0.90148034103751,"PFBS_pgmL",-0.161115344724133,-0.48761461471715,0.165383925268883
"METAB_C18_008",-0.203009914686693,-0.590422724298033,0.184402894924648,0.293785887152007,40,0.90148034103751,"PFBS_pgmL",-0.17925775466835,-0.521343265555163,0.162827756218464
"METAB_C18_009",0.43523143005188,0.0720139378370357,0.798448922266725,0.0203702261437736,40,0.746861812870297,"PFBS_pgmL",0.38430935273581,0.0635883071101025,0.705030398361518
"METAB_C18_010",0.0819612331328793,-0.293882988323933,0.457805454589692,0.659888392353057,40,0.90148034103751,"PFBS_pgmL",0.0723717688563324,-0.259498678690033,0.404242216402698
"METAB_C18_011",-0.140985574886201,-0.583833587385948,0.301862437613546,0.521301058884234,40,0.90148034103751,"PFBS_pgmL",-0.124490262624515,-0.515525057661792,0.266544532412761
"METAB_C18_012",0.129143798843235,-0.258154952181692,0.516442549868161,0.501888204528545,40,0.90148034103751,"PFBS_pgmL",0.114033974378576,-0.227950822776434,0.456018771533586
"METAB_C18_013",-0.268106256069814,-0.649183297708187,0.112970785568559,0.161532857036155,40,0.807664285180776,"PFBS_pgmL",-0.236737824109646,-0.573228851876329,0.0997532036570374
"METAB_C18_014",0.0673515004262966,-0.28889378633765,0.423596787190243,0.702710274217865,40,0.90148034103751,"PFBS_pgmL",0.0594713748764199,-0.255093213336145,0.374035963088984
"METAB_C18_015",-0.167295685226604,-0.660255793393539,0.325664422940331,0.494378626269529,40,0.90148034103751,"PFBS_pgmL",-0.147722090055091,-0.583005865566495,0.287561685456313
"METAB_C18_016",0.131545691422459,-0.377430179660521,0.640521562505438,0.602206574405358,40,0.90148034103751,"PFBS_pgmL",0.116154845526031,-0.33327084864024,0.565580539692302
"METAB_C18_017",-0.315156220214509,-1.00442181685322,0.374109376424201,0.358642856404443,40,0.90148034103751,"PFBS_pgmL",-0.278282942449411,-0.886904464281392,0.33033857938257
"METAB_C18_018",0.152381618744913,-0.823702251507807,1.12846548899763,0.752553628970348,40,0.912560205087648,"PFBS_pgmL",0.134552969351758,-0.727329088081394,0.99643502678491
"METAB_C18_019",-0.294947511279066,-1.31096073881413,0.721065716255994,0.558460696160372,40,0.90148034103751,"PFBS_pgmL",-0.260438652459415,-1.15757833237287,0.636701027454042
"METAB_C18_020",0.253987108198677,-0.35843537417814,0.866409590575495,0.404512358798712,40,0.90148034103751,"PFBS_pgmL",0.224270616539432,-0.316498435399298,0.765039668478162
"METAB_C18_021",-0.101733087381528,-0.811919764823992,0.608453590060936,0.772332481754423,40,0.912560205087648,"PFBS_pgmL",-0.089830316157889,-0.716925152339584,0.537264520023806
"METAB_C18_022",0.00402549911990151,-0.937276116200557,0.94532711444036,0.993103801196845,40,0.993103801196845,"PFBS_pgmL",0.00355451572287303,-0.827614810605092,0.834723842050838
"METAB_C18_023",0.182484820738889,-0.603268394648993,0.96823803612677,0.639380532095639,40,0.90148034103751,"PFBS_pgmL",0.161134096712439,-0.532685992475061,0.854954185899938
"METAB_C18_024",-0.283485495788058,-1.2807606749509,0.713789683374786,0.566630346937955,40,0.90148034103751,"PFBS_pgmL",-0.250317692780855,-1.13091167598165,0.630276290419936
"METAB_C18_025",-0.0127645585343148,-0.863744287103285,0.838215170034655,0.975815260611699,40,0.993103801196845,"PFBS_pgmL",-0.0112711051858,-0.7626862055122,0.7401439951406
"METAB_C18_026",0.552637496111481,-0.228299023607683,1.33357401583064,0.159171129336813,40,0.807664285180776,"PFBS_pgmL",0.487978909066437,-0.201588037845584,1.17754585597846
"METAB_C18_027",-0.31551319026916,-1.11218215772591,0.481155777187587,0.425789951931691,40,0.90148034103751,"PFBS_pgmL",-0.278598147007668,-0.982056845271975,0.424860551256639
"METAB_C18_028",0.158337028152089,-0.53855518447498,0.855229240779158,0.646639362289952,40,0.90148034103751,"PFBS_pgmL",0.139811595858295,-0.475544227891407,0.755167419607997
"METAB_C18_029",-0.270481160000993,-1.07198017692868,0.531017856926691,0.496781700386932,40,0.90148034103751,"PFBS_pgmL",-0.238834864280877,-0.946558496228022,0.468888767666268
"METAB_C18_030",0.567113333067135,-0.238870427228311,1.37309709336258,0.161486616111893,40,0.807664285180776,"PFBS_pgmL",0.50076107309828,-0.210922587242598,1.21244473343916
"METAB_C18_031",0.16616506980749,-0.588926538642677,0.921256678257656,0.656995708824327,40,0.90148034103751,"PFBS_pgmL",0.146723756640014,-0.520022133621483,0.81346964690151
"METAB_C18_032",0.652301600919136,-0.157385885960015,1.46198908779829,0.110592090551508,40,0.807664285180776,"PFBS_pgmL",0.575982313611597,-0.138971737302693,1.29093636452589
"METAB_C18_033",-0.773694535546834,-1.58945975387056,0.0420706827768954,0.0622692415817482,40,0.807664285180776,"PFBS_pgmL",-0.683172274887855,-1.40349296266771,0.0371484128919986
