"Metabolite","Estimate","CI_lo","CI_hi","P_value","N","FDR","PFAS","Beta_IQR","CI_lo_IQR","CI_hi_IQR"
"METAB_HILIC_001",0.203341484900714,-0.175249370343258,0.581932340144687,0.282105184143265,40,0.941919600366975,"PFBS_pgmL",0.179550531167331,-0.154745194013097,0.513846256347759
"METAB_HILIC_002",0.0706893171976887,-0.221779037412153,0.363157671807531,0.625850685297586,40,0.98465080962072,"PFBS_pgmL",0.0624186670855591,-0.195830890034931,0.32066822420605
"METAB_HILIC_003",0.0809975638947785,-0.238361440090577,0.400356567880134,0.60897496616852,40,0.98465080962072,"PFBS_pgmL",0.0715208489190894,-0.210473151599979,0.353514849438158
"METAB_HILIC_004",-0.0669706747120244,-0.469360075981175,0.335418726557126,0.736815452207956,40,0.98465080962072,"PFBS_pgmL",-0.0591351057707175,-0.414444947091378,0.296174735549943
"METAB_HILIC_005",0.2180379468386,-0.0928195614715885,0.528895455148789,0.162773510219773,40,0.941919600366975,"PFBS_pgmL",0.192527507058484,-0.0819596727794126,0.467014686896381
"METAB_HILIC_006",0.0841756905270276,-0.255496100718378,0.423847481772433,0.617170529393248,40,0.98465080962072,"PFBS_pgmL",0.0743271347353653,-0.225603056934328,0.374257326405059
"METAB_HILIC_007",0.164560746545108,-0.181564262776238,0.510685755866454,0.340090632545501,40,0.941919600366975,"PFBS_pgmL",0.14530713919933,-0.160321244031418,0.450935522430079
"METAB_HILIC_008",0.268933235415863,-0.0634634823437846,0.601329953175511,0.109132684427352,40,0.941919600366975,"PFBS_pgmL",0.237468046872207,-0.0560382549095618,0.530974348653976
"METAB_HILIC_009",-0.0668331260751551,-0.407162913108947,0.273496660958637,0.691808430565165,40,0.98465080962072,"PFBS_pgmL",-0.0590136503243619,-0.3595248522752,0.241497551626476
"METAB_HILIC_010",0.0665901991219099,-0.32199117769606,0.45517157593988,0.729327741592474,40,0.98465080962072,"PFBS_pgmL",0.0587991458246464,-0.284318209905621,0.401916501554913
"METAB_HILIC_011",-0.0951011409206384,-0.475196736650762,0.284994454809486,0.613795654600269,40,0.98465080962072,"PFBS_pgmL",-0.0839743074329237,-0.419598718462623,0.251650103596776
"METAB_HILIC_012",-0.0578729982664064,-0.391113289994034,0.275367293461222,0.725847122817738,40,0.98465080962072,"PFBS_pgmL",-0.0511018574692368,-0.345353035064732,0.243149320126259
"METAB_HILIC_013",0.0294110786720273,-0.373086180588976,0.431908337933031,0.882612534193451,40,0.9916531680799,"PFBS_pgmL",0.0259699824674001,-0.329435097460066,0.381375062394866
"METAB_HILIC_014",0.115108528337301,-0.242717043644298,0.4729341003189,0.516984304280362,40,0.98465080962072,"PFBS_pgmL",0.101640830521837,-0.214319149537915,0.417600810581589
"METAB_HILIC_015",-0.133268813261998,-0.466508937696302,0.199971311172307,0.421318654531367,40,0.941919600366975,"PFBS_pgmL",-0.117676362110344,-0.411927391985835,0.176574667765147
"METAB_HILIC_016",-0.151329269826936,-0.514236560024786,0.211578020370915,0.401977687637626,40,0.941919600366975,"PFBS_pgmL",-0.133623745257184,-0.454070882501886,0.186823391987518
"METAB_HILIC_017",0.456244290667312,-0.389227521196376,1.301716102531,0.279883877295344,40,0.941919600366975,"PFBS_pgmL",0.402863708659236,-0.3436879012164,1.14941531853487
"METAB_HILIC_018",-0.443142186516385,-1.21177582226447,0.325491449231704,0.248917321533578,40,0.941919600366975,"PFBS_pgmL",-0.391294550693968,-1.06999805105953,0.287408949671594
"METAB_HILIC_019",-0.182249849549326,-0.83659290357847,0.472093204479817,0.574446407922818,40,0.98465080962072,"PFBS_pgmL",-0.160926617152055,-0.738711533859788,0.416858299555678
"METAB_HILIC_020",0.347603143179282,-0.344039245156845,1.03924553151541,0.31364713229162,40,0.941919600366975,"PFBS_pgmL",0.306933575427306,-0.303786653473494,0.917653804328106
"METAB_HILIC_021",0.00532954982771687,-0.883869378178324,0.894528477833757,0.990334930628095,40,0.9916531680799,"PFBS_pgmL",0.00470599249787399,-0.78045666093146,0.789868645927208
"METAB_HILIC_022",-0.210645816613831,-0.949798281417915,0.528506648190253,0.565649280063262,40,0.98465080962072,"PFBS_pgmL",-0.186000256070013,-0.838671882492019,0.466671370351993
"METAB_HILIC_023",0.086266555268918,-0.516454192974744,0.68898730351258,0.772517406803987,40,0.98465080962072,"PFBS_pgmL",0.0761733683024546,-0.456029052396699,0.608375789001608
"METAB_HILIC_024",0.30740877913253,-0.298551549511774,0.913369107776834,0.309185353060297,40,0.941919600366975,"PFBS_pgmL",0.271441951974024,-0.263621018218896,0.806504922166944
"METAB_HILIC_025",-0.326727076453588,-0.935805662187033,0.282351509279858,0.282697246181875,40,0.941919600366975,"PFBS_pgmL",-0.288500008508518,-0.82631639971115,0.249316382694114
"METAB_HILIC_026",-0.270923007705959,-0.934075905880085,0.392229890468168,0.411483693638727,40,0.941919600366975,"PFBS_pgmL",-0.239225015804362,-0.824789024892115,0.346338993283392
"METAB_HILIC_027",0.474104394146592,-0.257326071765946,1.20553486005913,0.196096075488983,40,0.941919600366975,"PFBS_pgmL",0.418634180031441,-0.227218921369331,1.06448728143221
"METAB_HILIC_028",-0.469283509120133,-1.26115116165766,0.322584143417392,0.236223820706931,40,0.941919600366975,"PFBS_pgmL",-0.414377338553077,-1.11359647574371,0.284841798637557
"METAB_HILIC_029",-0.115716280984775,-0.862257028206197,0.630824466236648,0.754256481687643,40,0.98465080962072,"PFBS_pgmL",-0.102177476109556,-0.761372955906072,0.55701800368696
