"predictor","betas","ci_lo","ci_hi","p_val","n","name","FDR","Category"
"N.MeFOSAA",0.263404294859741,-0.625044851310816,1.1518534410303,0.549409862054508,38,"PWY-6737 starch degradation V",0.979031631548227,"Carbohydrates"
"PFBA",-0.18051990349641,-1.10009674906826,0.739056942075443,0.691324981786061,38,"PWY-6737 starch degradation V",0.758753182146503,"Carbohydrates"
"PFDA",0.197278249368586,-0.675562081929156,1.07011858066633,0.64770375251359,38,"PWY-6737 starch degradation V",0.883232389791259,"Carbohydrates"
"PFDoA",0.392185562126452,-0.455231812591606,1.23960293684451,0.352125130780405,38,"PWY-6737 starch degradation V",0.985481772600916,"Carbohydrates"
"PFHpA",0.535693743036772,-0.252754873394791,1.32414235946834,0.175487639354162,38,"PWY-6737 starch degradation V",0.859428460895907,"Carbohydrates"
"N.MeFOSAA",-0.308023582088118,-0.914372300585685,0.29832513640945,0.307807589384258,38,"PWY-7111 pyruvate fermentation to isobutanol",0.979031631548227,"SCFAs"
"PFBA",0.130115612820892,-0.504615878079925,0.764847103721708,0.678452711172704,38,"PWY-7111 pyruvate fermentation to isobutanol",0.758753182146503,"SCFAs"
"PFDA",-0.0993884333429944,-0.703005207936236,0.504228341250247,0.73900802510698,38,"PWY-7111 pyruvate fermentation to isobutanol",0.896904194335776,"SCFAs"
"PFDoA",-0.0263624011956503,-0.619993007862995,0.567268205471695,0.928337964636618,38,"PWY-7111 pyruvate fermentation to isobutanol",0.985481772600916,"SCFAs"
"PFHpA",-0.0724919462703602,-0.633389681322265,0.488405788781544,0.793624095590014,38,"PWY-7111 pyruvate fermentation to isobutanol",0.859428460895907,"SCFAs"
"N.MeFOSAA",0.533194648865685,-0.453243517710195,1.51963281544157,0.27841272159368,38,"COA-PWY coenzyme A biosynthesis I",0.979031631548227,"Vitamins & Cofactors"
"PFBA",-0.385383146485735,-1.41338087783414,0.642614584862673,0.449883421167736,38,"COA-PWY coenzyme A biosynthesis I",0.758753182146503,"Vitamins & Cofactors"
"PFDA",-0.363632834504994,-1.34035873263803,0.613093063628044,0.452989892307266,38,"COA-PWY coenzyme A biosynthesis I",0.788138604936123,"Vitamins & Cofactors"
"PFDoA",0.1188671156418,-0.848206013600245,1.08594024488384,0.803506605160857,38,"COA-PWY coenzyme A biosynthesis I",0.985481772600916,"Vitamins & Cofactors"
"PFHpA",-0.12475110514393,-1.03921252841107,0.789710318123208,0.78245758596515,38,"COA-PWY coenzyme A biosynthesis I",0.859428460895907,"Vitamins & Cofactors"
"N.MeFOSAA",0.0299501741368768,-1.17483914442328,1.23473949269703,0.959845817737054,38,"PWY-5484 glycolysis II",0.979031631548227,"Carbohydrates"
"PFBA",0.229421255973188,-1.01045052933503,1.46929304128141,0.708169636670069,38,"PWY-5484 glycolysis II",0.758753182146503,"Carbohydrates"
"PFDA",0.522724140776242,-0.641754515053192,1.68720279660568,0.366580829466692,38,"PWY-5484 glycolysis II",0.788138604936123,"Carbohydrates"
"PFDoA",0.196325918399303,-0.960481281708699,1.3531331185073,0.73131018797647,38,"PWY-5484 glycolysis II",0.985481772600916,"Carbohydrates"
"PFHpA",0.217751738162284,-0.875565282030594,1.31106875835516,0.687077910514585,38,"PWY-5484 glycolysis II",0.859428460895907,"Carbohydrates"
"N.MeFOSAA",-0.00995516362447751,-0.777080840453387,0.757170513204432,0.979031631548227,38,"PWY-6588 pyruvate fermentation to acetone",0.979031631548227,"SCFAs"
