"predictor","betas","ci_lo","ci_hi","p_val","n","name","FDR","Beta_IQR","SE_IQR","CI_lo_IQR","CI_hi_IQR","Category"
"PFBS",0.204518602804414,-0.338643078109308,0.747680283718137,0.448719064585025,40,"PWY-6737 starch degradation V",0.756978118481022,0.203083250572995,0.275178400105625,NA,NA,"Carbohydrates"
"PFHxS",-0.157529498908699,-0.928159950958582,0.613100953141183,0.679909744884979,40,"PWY-6737 starch degradation V",0.99212229389728,-0.156482193717268,0.390564826884363,NA,NA,"Carbohydrates"
"PFNA",-0.0801473470102575,-0.5649170309096,0.404622336889085,0.7384906954955,40,"PWY-6737 starch degradation V",0.791240030888036,-0.12409337657582,0.382947141253926,NA,NA,"Carbohydrates"
"PFOA",-0.148293159268664,-0.764107924559204,0.467521606021875,0.627119831883494,40,"PWY-6737 starch degradation V",0.762326986048265,-0.127380321041697,0.269882825246982,NA,NA,"Carbohydrates"
"PFOS",-0.202373405966358,-0.933745831794913,0.528999019862196,0.576936918552672,40,"PWY-6737 starch degradation V",0.867034562725944,-0.181631139225746,0.334903261629845,NA,NA,"Carbohydrates"
"PFBS",-0.365205665965509,-0.824342573947208,0.0939312420161905,0.11500097797341,40,"PWY-7111 pyruvate fermentation to isobutanol",0.756978118481022,-0.362642579965593,0.232609486654705,NA,NA,"SCFAs"
"PFHxS",-0.169823466280884,-0.840323529804343,0.500676597242575,0.609462407315408,40,"PWY-7111 pyruvate fermentation to isobutanol",0.99212229389728,-0.168694426963835,0.339817535810334,NA,NA,"SCFAs"
"PFNA",-0.129727002764468,-0.550278382831946,0.29082437730301,0.534246726061381,40,"PWY-7111 pyruvate fermentation to isobutanol",0.669921110973519,-0.200858324156921,0.332217451082758,NA,NA,"SCFAs"
"PFOA",-0.322722802545042,-0.848622387185287,0.203176782095203,0.220370802491706,40,"PWY-7111 pyruvate fermentation to isobutanol",0.661112407475119,-0.27721126448717,0.230477204670402,NA,NA,"SCFAs"
"PFOS",-0.175832118524639,-0.813109959334025,0.461445722284748,0.578023041817296,40,"PWY-7111 pyruvate fermentation to isobutanol",0.867034562725944,-0.157810201630028,0.291816344059872,NA,NA,"SCFAs"
"PFBS",-0.157095028527085,-0.710049758931254,0.395859701877084,0.566846241819551,40,"COA-PWY coenzyme A biosynthesis I",0.756978118481022,-0.155992504372073,0.280139787820611,NA,NA,"Vitamins & Cofactors"
"PFHxS",0.115561349783945,-0.666916175335605,0.898038874903494,0.765492002327847,40,"COA-PWY coenzyme A biosynthesis I",0.99212229389728,0.114793061924236,0.396569066698964,NA,NA,"Vitamins & Cofactors"
"PFNA",-0.0890551551465581,-0.580468126416149,0.402357816123033,0.714455922955521,40,"COA-PWY coenzyme A biosynthesis I",0.791240030888036,-0.137885473641511,0.388195051738966,NA,NA,"Vitamins & Cofactors"
"PFOA",0.118861039058462,-0.506495247878023,0.744217325994946,0.701201856446664,40,"COA-PWY coenzyme A biosynthesis I",0.762326986048265,0.102098824984815,0.274064428164132,NA,NA,"Vitamins & Cofactors"
"PFOS",-0.488425124859824,-1.21270898913159,0.235858739411945,0.179107647814879,40,"COA-PWY coenzyme A biosynthesis I",0.867034562725944,-0.438363980836069,0.331657333424469,NA,NA,"Vitamins & Cofactors"
"PFBS",0.147806077881099,-0.219164165117981,0.51477632088018,0.418044313248678,40,"PWY-5484 glycolysis II",0.756978118481022,0.146768745429211,0.185915700431931,NA,NA,"Carbohydrates"
"PFHxS",0.0573962414631348,-0.464935165362921,0.57972764828919,0.824314137644073,40,"PWY-5484 glycolysis II",0.99212229389728,0.0570146533664961,0.264723869840118,NA,NA,"Carbohydrates"
"PFNA",-0.152034200882566,-0.475967041698277,0.171898639933145,0.346233470935596,40,"PWY-5484 glycolysis II",0.669921110973519,-0.235396903906371,0.255892972412848,NA,NA,"Carbohydrates"
"PFOA",0.120199269529716,-0.295715282999657,0.536113822059089,0.560212947067207,40,"PWY-5484 glycolysis II",0.762326986048265,0.103248333349845,0.182275906367726,NA,NA,"Carbohydrates"
"PFOS",0.0365641288807205,-0.460483144782425,0.533611402543866,0.88182951767757,40,"PWY-5484 glycolysis II",0.947690433758835,0.0328164876787528,0.227603266482775,NA,NA,"Carbohydrates"
"PFBS",0.180502367726137,-0.265094063178198,0.626098798630472,0.41541138198314,40,"PWY-6588 pyruvate fermentation to acetone",0.756978118481022,0.179235566209114,0.225749564554626,NA,NA,"SCFAs"
"PFHxS",-0.366146364158077,-0.987120751387872,0.254828023071718,0.238550006672113,40,"PWY-6588 pyruvate fermentation to acetone",0.715650020016339,-0.363712109046094,0.314717324500862,NA,NA,"SCFAs"
"PFNA",0.28597524185531,-0.0994692343734174,0.671419718084036,0.140531735062601,40,"PWY-6588 pyruvate fermentation to acetone",0.669921110973519,0.442779888576603,0.304484511276816,NA,NA,"SCFAs"
"PFOA",0.2103307691729,-0.291804413262361,0.712465951608162,0.399881180117559,40,"PWY-6588 pyruvate fermentation to acetone",0.749777212720423,0.180669162585253,0.220062378055518,NA,NA,"SCFAs"
"PFOS",-0.234239300627269,-0.832145974776902,0.363667373522365,0.430752618552148,40,"PWY-6588 pyruvate fermentation to acetone",0.867034562725944,-0.210230938305427,0.273787865458719,NA,NA,"SCFAs"
"PFBS",0.12120300428051,-0.214594801151131,0.457000809712151,0.467565168096306,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.756978118481022,0.120352377490266,0.170123015125466,NA,NA,"Carbohydrates"
"PFHxS",-0.0415210548695214,-0.518651294670318,0.435609184931275,0.860422213485207,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.99212229389728,-0.041245009959712,0.241815372093589,NA,NA,"Carbohydrates"
"PFNA",0.00200980160411836,-0.297998311234317,0.302017914442553,0.989197337816683,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.989197337816683,0.0031118068982449,0.236993469229233,NA,NA,"Carbohydrates"
"PFOA",-0.208392822008846,-0.582810145621048,0.166024501603357,0.265336745269484,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.663341863173711,-0.179004511746762,0.164089610729292,NA,NA,"Carbohydrates"
"PFOS",0.182390099641257,-0.266896160867866,0.631676360150379,0.414415354831184,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.867034562725944,0.1636960223264,0.205732987375782,NA,NA,"Carbohydrates"
"PFBS",0.0562480238545117,-0.340783326704591,0.453279374413614,0.774767443548744,40,"PWY-6572 chondroitin sulfate degradation I",0.830107975230797,0.0558532640358673,0.201145359987174,NA,NA,"Cell Wall"
"PFHxS",0.222900974994444,-0.331755209107021,0.77755715909591,0.419076462803429,40,"PWY-6572 chondroitin sulfate degradation I",0.898020991721633,0.221419059861697,0.281106457638282,NA,NA,"Cell Wall"
"PFNA",0.285882202780887,-0.0509541617506163,0.622718567312391,0.0934832901875699,40,"PWY-6572 chondroitin sulfate degradation I",0.669921110973519,0.44263583473915,0.266086199595122,NA,NA,"Cell Wall"
"PFOA",-0.0819469290227245,-0.529287635824446,0.365393777778997,0.711505186978381,40,"PWY-6572 chondroitin sulfate degradation I",0.762326986048265,-0.0703904763967191,0.196048520763659,NA,NA,"Cell Wall"
"PFOS",0.0377361800249824,-0.49516542867623,0.570637788726195,0.886215022889591,40,"PWY-6572 chondroitin sulfate degradation I",0.947690433758835,0.0338684094149444,0.244021350243882,NA,NA,"Cell Wall"
"PFBS",-0.00445330354461468,-0.513953995833944,0.505047388744715,0.985905867021816,40,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.985905867021816,-0.00442204937461597,0.258124956681465,NA,NA,"SCFAs"
"PFHxS",0.148439236146857,-0.567829353891811,0.864707826185526,0.675750484554023,40,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.99212229389728,0.14745236585459,0.363013578203437,NA,NA,"SCFAs"
"PFNA",-0.137824939950258,-0.586493122262823,0.310843242362306,0.535936888778815,40,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.669921110973519,-0.213396485508102,0.35442851212591,NA,NA,"SCFAs"
