"predictor","pathway_clean","betas","ci_lo","ci_hi","p_val","FDR","scenario","species_name","genus","Direction","Category"
"PFBS","starch degradation V",-0.0775655724348435,-0.177565572434843,0.0224344275651566,0.0206363673445303,0.061755471273791,"Binary 1m PFAS + 1m Pathway","Bifidobacterium adolescentis","Bifidobacterium","Negative","Other"
"PFBS","starch degradation V",-0.0775655724348435,-0.177565572434843,0.0224344275651566,0.0206363673445303,0.061755471273791,"Binary 1m PFAS + 1m Pathway","Streptococcus equinus","Streptococcus","Negative","Other"
"PFBS","starch degradation V",-0.0775655724348435,-0.177565572434843,0.0224344275651566,0.0206363673445303,0.061755471273791,"Binary 1m PFAS + 1m Pathway","Streptococcus infantis","Streptococcus","Negative","Other"
"PFBS","starch degradation V",-0.0775655724348435,-0.177565572434843,0.0224344275651566,0.0206363673445303,0.061755471273791,"Binary 1m PFAS + 1m Pathway","Bifidobacterium imperatoris","Bifidobacterium","Negative","Other"
"PFBS","starch degradation V",-0.0775655724348435,-0.177565572434843,0.0224344275651566,0.0206363673445303,0.061755471273791,"Binary 1m PFAS + 1m Pathway","Streptococcus sp. LPB0220","Streptococcus","Negative","Other"
"PFOS","starch degradation V|unclassified",-0.233813000863638,-0.333813000863638,-0.133813000863638,0.0166008283856791,0.0452370969462208,"Continuous 1m PFAS + 1m Pathway","Streptococcus halotolerans","Streptococcus","Negative","Amino Acids"
"PFOS","starch degradation V|unclassified",-0.233813000863638,-0.333813000863638,-0.133813000863638,0.0166008283856791,0.0452370969462208,"Continuous 1m PFAS + 1m Pathway","Bacteroides zhangwenhongii","Bacteroides","Negative","Amino Acids"
"PFOS","starch degradation V|unclassified",-0.233813000863638,-0.333813000863638,-0.133813000863638,0.0166008283856791,0.0452370969462208,"Continuous 1m PFAS + 1m Pathway","Streptococcus sp. A12","Streptococcus","Negative","Amino Acids"
"PFOS","starch degradation V|unclassified",-0.233813000863638,-0.333813000863638,-0.133813000863638,0.0166008283856791,0.0452370969462208,"Continuous 1m PFAS + 1m Pathway","Enterobacter sp. HK169","Enterobacter","Negative","Amino Acids"
"PFOS","starch degradation V|unclassified",-0.233813000863638,-0.333813000863638,-0.133813000863638,0.0166008283856791,0.0452370969462208,"Continuous 1m PFAS + 1m Pathway","Klebsiella aerogenes","Klebsiella","Negative","Amino Acids"
"PFOS","starch degradation V|unclassified",-0.233813000863638,-0.333813000863638,-0.133813000863638,0.0166008283856791,0.0452370969462208,"Continuous 1m PFAS + 1m Pathway","Streptococcus marmotae","Streptococcus","Negative","Amino Acids"
"PFNA","pyruvate fermentation to isobutanol",0.116590007643499,0.0165900076434991,0.216590007643499,0.00624119028938003,0.00731515092775226,"Continuous 1m PFAS + 6m Pathway","Streptococcus porcinus","Streptococcus","Positive","Lipids"
"PFNA","pyruvate fermentation to isobutanol",0.116590007643499,0.0165900076434991,0.216590007643499,0.00624119028938003,0.00731515092775226,"Continuous 1m PFAS + 6m Pathway","Lachnoclostridium sp. YL32","Lachnoclostridium","Positive","Lipids"
"PFNA","pyruvate fermentation to isobutanol",0.116590007643499,0.0165900076434991,0.216590007643499,0.00624119028938003,0.00731515092775226,"Continuous 1m PFAS + 6m Pathway","Bacteroides sp. BFG-637","Bacteroides","Positive","Lipids"
"PFNA","pyruvate fermentation to isobutanol",0.116590007643499,0.0165900076434991,0.216590007643499,0.00624119028938003,0.00731515092775226,"Continuous 1m PFAS + 6m Pathway","Clostridium saccharobutylicum","Clostridium","Positive","Lipids"
"PFNA","coenzyme A biosynthesis I",-0.107175885102708,-0.207175885102708,-0.00717588510270781,0.00755385192949325,0.0182358269370161,"Binary 1m PFAS + 1m Pathway","Klebsiella sp. A52","Klebsiella","Negative","Cell Wall"
"PFNA","coenzyme A biosynthesis I",-0.107175885102708,-0.207175885102708,-0.00717588510270781,0.00755385192949325,0.0182358269370161,"Binary 1m PFAS + 1m Pathway","Enterobacter kobei","Enterobacter","Negative","Cell Wall"
"PFNA","coenzyme A biosynthesis I",-0.107175885102708,-0.207175885102708,-0.00717588510270781,0.00755385192949325,0.0182358269370161,"Binary 1m PFAS + 1m Pathway","Parabacteroides faecis","Parabacteroides","Negative","Cell Wall"
"PFNA","coenzyme A biosynthesis I",-0.107175885102708,-0.207175885102708,-0.00717588510270781,0.00755385192949325,0.0182358269370161,"Binary 1m PFAS + 1m Pathway","Enterobacter sp. MGH 7","Enterobacter","Negative","Cell Wall"
"PFDA","glycolysis II",-0.0878309806583569,-0.187830980658357,0.0121690193416431,0.0414479987900704,0.0397246468998492,"Continuous 1m PFAS + 1m Pathway","Bifidobacterium saguini","Bifidobacterium","Negative","Lipids"
"PFDA","glycolysis II",-0.0878309806583569,-0.187830980658357,0.0121690193416431,0.0414479987900704,0.0397246468998492,"Continuous 1m PFAS + 1m Pathway","Shigella sonnei","Shigella","Negative","Lipids"
"PFDA","glycolysis II",-0.0878309806583569,-0.187830980658357,0.0121690193416431,0.0414479987900704,0.0397246468998492,"Continuous 1m PFAS + 1m Pathway","Coprococcus sp. ART55/1","Coprococcus","Negative","Lipids"
"PFHpA","pyruvate fermentation to acetone",-0.099862994479853,-0.199862994479853,0.000137005520147004,0.00280708931433037,0.0638711292855442,"Continuous 1m PFAS + 1m Pathway","Streptococcus sp. FDAARGOS_520","Streptococcus","Negative","SCFAs"
"PFHpA","pyruvate fermentation to acetone",-0.099862994479853,-0.199862994479853,0.000137005520147004,0.00280708931433037,0.0638711292855442,"Continuous 1m PFAS + 1m Pathway","Enterobacter sp. RHBSTW-00994","Enterobacter","Negative","SCFAs"
"PFHpA","pyruvate fermentation to acetone",-0.099862994479853,-0.199862994479853,0.000137005520147004,0.00280708931433037,0.0638711292855442,"Continuous 1m PFAS + 1m Pathway","Streptococcus milleri","Streptococcus","Negative","SCFAs"
"PFHpA","glycolysis III",0.112474537986279,0.0124745379862794,0.212474537986279,0.0123238576862495,0.0527688230504282,"Continuous 1m PFAS + 6m Pathway","Dorea longicatena","Dorea","Positive","Carbohydrates"
"PFHpA","glycolysis III",0.112474537986279,0.0124745379862794,0.212474537986279,0.0123238576862495,0.0527688230504282,"Continuous 1m PFAS + 6m Pathway","Enterobacter sp. JBIWA008","Enterobacter","Positive","Carbohydrates"
"PFHpA","glycolysis III",0.112474537986279,0.0124745379862794,0.212474537986279,0.0123238576862495,0.0527688230504282,"Continuous 1m PFAS + 6m Pathway","Anaerostipes rhamnosivorans","Anaerostipes","Positive","Carbohydrates"
"PFHpA","glycolysis III",0.112474537986279,0.0124745379862794,0.212474537986279,0.0123238576862495,0.0527688230504282,"Continuous 1m PFAS + 6m Pathway","Enterobacter sp. MGH 7","Enterobacter","Positive","Carbohydrates"
"PFHpA","glycolysis III",0.112474537986279,0.0124745379862794,0.212474537986279,0.0123238576862495,0.0527688230504282,"Continuous 1m PFAS + 6m Pathway","Shigella dysenteriae","Shigella","Positive","Carbohydrates"
"PFHpA","glycolysis III",0.112474537986279,0.0124745379862794,0.212474537986279,0.0123238576862495,0.0527688230504282,"Continuous 1m PFAS + 6m Pathway","Enterocloster asparagiformis","Enterocloster","Positive","Carbohydrates"
"PFBS","chondroitin sulfate degradation I",0.11158921331044,0.0115892133104402,0.21158921331044,0.0280844786136877,0.0863620160822757,"Continuous 1m PFAS + 1m Pathway","Klebsiella huaxiensis","Klebsiella","Positive","Carbohydrates"
"PFBS","chondroitin sulfate degradation I",0.11158921331044,0.0115892133104402,0.21158921331044,0.0280844786136877,0.0863620160822757,"Continuous 1m PFAS + 1m Pathway","Clostridium baratii","Clostridium","Positive","Carbohydrates"
"PFBS","chondroitin sulfate degradation I",0.11158921331044,0.0115892133104402,0.21158921331044,0.0280844786136877,0.0863620160822757,"Continuous 1m PFAS + 1m Pathway","Dorea longicatena","Dorea","Positive","Carbohydrates"
"PFBS","chondroitin sulfate degradation I",0.11158921331044,0.0115892133104402,0.21158921331044,0.0280844786136877,0.0863620160822757,"Continuous 1m PFAS + 1m Pathway","Klebsiella sp. KCL-2","Klebsiella","Positive","Carbohydrates"
"PFBS","chondroitin sulfate degradation I",0.11158921331044,0.0115892133104402,0.21158921331044,0.0280844786136877,0.0863620160822757,"Continuous 1m PFAS + 1m Pathway","Enterobacter sp. DSM 30060","Enterobacter","Positive","Carbohydrates"
"PFBS","chondroitin sulfate degradation I",0.11158921331044,0.0115892133104402,0.21158921331044,0.0280844786136877,0.0863620160822757,"Continuous 1m PFAS + 1m Pathway","Escherichia sp. SCLE84","Escherichia","Positive","Carbohydrates"
"PFBS","chondroitin sulfate degradation I",0.11158921331044,0.0115892133104402,0.21158921331044,0.0280844786136877,0.0863620160822757,"Continuous 1m PFAS + 1m Pathway","Veillonella rogosae","Veillonella","Positive","Carbohydrates"
"PFOA","hexitol fermentation to lactate, formate, ethanol and acetate",0.0420331173970017,-0.0579668826029983,0.142033117397002,0.0223385137610603,0.0818063158588484,"Continuous 1m PFAS + 1m Pathway","Mediterraneibacter gnavus","Mediterraneibacter","Positive","Lipids"
"PFOA","hexitol fermentation to lactate, formate, ethanol and acetate",0.0420331173970017,-0.0579668826029983,0.142033117397002,0.0223385137610603,0.0818063158588484,"Continuous 1m PFAS + 1m Pathway","Streptococcus periodonticum","Streptococcus","Positive","Lipids"
"PFOA","hexitol fermentation to lactate, formate, ethanol and acetate",0.0420331173970017,-0.0579668826029983,0.142033117397002,0.0223385137610603,0.0818063158588484,"Continuous 1m PFAS + 1m Pathway","Clostridium butyricum","Clostridium","Positive","Lipids"
"PFOA","hexitol fermentation to lactate, formate, ethanol and acetate",0.0420331173970017,-0.0579668826029983,0.142033117397002,0.0223385137610603,0.0818063158588484,"Continuous 1m PFAS + 1m Pathway","Enterobacter sp. 247","Enterobacter","Positive","Lipids"
"PFOA","hexitol fermentation to lactate, formate, ethanol and acetate",0.0420331173970017,-0.0579668826029983,0.142033117397002,0.0223385137610603,0.0818063158588484,"Continuous 1m PFAS + 1m Pathway","Parabacteroides distasonis","Parabacteroides","Positive","Lipids"
"PFOA","hexitol fermentation to lactate, formate, ethanol and acetate",0.0420331173970017,-0.0579668826029983,0.142033117397002,0.0223385137610603,0.0818063158588484,"Continuous 1m PFAS + 1m Pathway","Phocaeicola vulgatus","Phocaeicola","Positive","Lipids"
"PFOA","hexitol fermentation to lactate, formate, ethanol and acetate",0.0420331173970017,-0.0579668826029983,0.142033117397002,0.0223385137610603,0.0818063158588484,"Continuous 1m PFAS + 1m Pathway","Parabacteroides johnsonii","Parabacteroides","Positive","Lipids"
"PFBA","myo-, chiro- and scillo-inositol degradation",0.0695742751739068,-0.0304257248260933,0.169574275173907,0.0223341903879773,0.0615525703970343,"Binary 1m PFAS + 1m Pathway","Streptococcus canis","Streptococcus","Positive","Lipids"
"PFBA","myo-, chiro- and scillo-inositol degradation",0.0695742751739068,-0.0304257248260933,0.169574275173907,0.0223341903879773,0.0615525703970343,"Binary 1m PFAS + 1m Pathway","Clostridium sporogenes","Clostridium","Positive","Lipids"
"PFBA","myo-, chiro- and scillo-inositol degradation",0.0695742751739068,-0.0304257248260933,0.169574275173907,0.0223341903879773,0.0615525703970343,"Binary 1m PFAS + 1m Pathway","Enterobacter sp. E76","Enterobacter","Positive","Lipids"
"PFBA","myo-, chiro- and scillo-inositol degradation",0.0695742751739068,-0.0304257248260933,0.169574275173907,0.0223341903879773,0.0615525703970343,"Binary 1m PFAS + 1m Pathway","Bacteroides faecis","Bacteroides","Positive","Lipids"
"PFBA","myo-, chiro- and scillo-inositol degradation",0.0695742751739068,-0.0304257248260933,0.169574275173907,0.0223341903879773,0.0615525703970343,"Binary 1m PFAS + 1m Pathway","Bifidobacterium catenulatum","Bifidobacterium","Positive","Lipids"
"PFBA","myo-, chiro- and scillo-inositol degradation",0.0695742751739068,-0.0304257248260933,0.169574275173907,0.0223341903879773,0.0615525703970343,"Binary 1m PFAS + 1m Pathway","Klebsiella grimontii","Klebsiella","Positive","Lipids"
"PFHxS","bifidobacterium shunt",0.040858438633023,-0.059141561366977,0.140858438633023,0.0184228962161578,0.0651810749899596,"Binary 1m PFAS + 6m Pathway","Enterobacter cloacae complex sp. ECL112","Enterobacter","Positive","Amino Acids"
"PFHxS","bifidobacterium shunt",0.040858438633023,-0.059141561366977,0.140858438633023,0.0184228962161578,0.0651810749899596,"Binary 1m PFAS + 6m Pathway","Veillonella rogosae","Veillonella","Positive","Amino Acids"
"PFHxS","bifidobacterium shunt",0.040858438633023,-0.059141561366977,0.140858438633023,0.0184228962161578,0.0651810749899596,"Binary 1m PFAS + 6m Pathway","Bifidobacterium adolescentis","Bifidobacterium","Positive","Amino Acids"
"PFHxS","bifidobacterium shunt",0.040858438633023,-0.059141561366977,0.140858438633023,0.0184228962161578,0.0651810749899596,"Binary 1m PFAS + 6m Pathway","Enterobacter sp. 18A13","Enterobacter","Positive","Amino Acids"
"PFHxS","bifidobacterium shunt",0.040858438633023,-0.059141561366977,0.140858438633023,0.0184228962161578,0.0651810749899596,"Binary 1m PFAS + 6m Pathway","Bacteroides sp. BFG-637","Bacteroides","Positive","Amino Acids"
"PFHxS","bifidobacterium shunt",0.040858438633023,-0.059141561366977,0.140858438633023,0.0184228962161578,0.0651810749899596,"Binary 1m PFAS + 6m Pathway","Enterobacter sp. BIDMC 29","Enterobacter","Positive","Amino Acids"
"PFBA","mannan degradation",-0.0596965962830793,-0.159696596283079,0.0403034037169207,0.03107000088715,0.0696610098495148,"Continuous 1m PFAS + 1m Pathway","Shigella sonnei","Shigella","Negative","Vitamins & Cofactors"
"PFBA","mannan degradation",-0.0596965962830793,-0.159696596283079,0.0403034037169207,0.03107000088715,0.0696610098495148,"Continuous 1m PFAS + 1m Pathway","Bifidobacterium adolescentis","Bifidobacterium","Negative","Vitamins & Cofactors"
