"Measure","PFAS","Beta","SE","P"
"Richness","N.MeFOSAA",2.83493861789786e-16,3.50511510807352e-16,0.424998013927275
"Richness","PFBA",3.09386136737883e-17,3.65437146622969e-16,0.933092628834982
"Richness","PFDA",-1.30742197527137e-16,3.46384975876323e-16,0.708498135880973
"Richness","PFDoA",-9.93431240126926e-17,3.4038444629179e-16,0.772405745475495
"Richness","PFHpA",3.6781103182684e-16,3.15330271774835e-16,0.252629361148025
"Evenness","N.MeFOSAA",-3.55315073397081e-05,3.18981416682073e-05,0.274165047780543
"Evenness","PFBA",4.90010123380464e-05,3.23633883413452e-05,0.140469104627839
"Evenness","PFDA",-8.58579256889504e-06,3.1859734575793e-05,0.789399709648202
"Evenness","PFDoA",-3.29134251018153e-05,3.07339414872401e-05,0.29274826713147
"Evenness","PFHpA",3.2690137309327e-06,2.96133906275522e-05,0.912835498737461
"Shannon","N.MeFOSAA",-0.000197715797694768,0.000177497860268432,0.27416504778054
"Shannon","PFBA",0.000272667133134474,0.000180086734875553,0.140469104627976
"Shannon","PFDA",-4.77758179627498e-05,0.000177284143218907,0.789399709647824
"Shannon","PFDoA",-0.000183147425653999,0.00017101964460323,0.29274826713137
"Shannon","PFHpA",1.81904936174728e-05,0.000164784316477054,0.912835498738046
"Simpson","N.MeFOSAA",-1.64718046861175e-06,2.33003868491666e-06,0.485063605585701
"Simpson","PFBA",1.97404801642278e-06,2.39647120953878e-06,0.416593128906042
"Simpson","PFDA",-1.21509666097137e-06,2.29153467781221e-06,0.599838710614411
"Simpson","PFDoA",-2.92402933999984e-06,2.19626327824383e-06,0.19309779140902
"Simpson","PFHpA",-2.26221910962623e-07,2.13737241117805e-06,0.916412961896284
"Richness","n_detect",6.13517033968315e-17,1.21979009417621e-16,0.618658630474594
"Evenness","n_detect",-3.5896035378706e-06,1.12344081427567e-05,0.75154768613884
"Shannon","n_detect",-1.99744221407251e-05,6.25140933745693e-05,0.751547686138311
"Simpson","n_detect",-5.36619073820809e-07,8.06287893670295e-07,0.510788479981021
