"Measure","PFAS","Beta","SE","P","Beta_IQR","SE_IQR"
"Richness","PFBS",8.5091090605908e-15,6.04888225372218e-15,0.169147359221691,8.4493904408172e-15,6.00642999499649e-15
"Richness","PFHxS",1.35049623960414e-15,8.78373274462498e-15,0.878772627580361,1.34151771981867e-15,8.72533575252303e-15
"Richness","PFNA",1.7977730229371e-15,5.5131945428642e-15,0.746482632618527,2.78351976771773e-15,8.53616435308637e-15
"Richness","PFOA",2.05889699861185e-15,7.01962083523095e-15,0.771182058015835,1.76854388947112e-15,6.02968848996429e-15
"Richness","PFOS",1.19635137335398e-14,8.08603076415313e-15,0.148777272733757,1.07373131276296e-14,7.25725286133546e-15
"Evenness","PFBS",-5.75683436580493e-06,1.42022114812781e-05,0.687919303709166,-5.71643175724238e-06,1.41025375364085e-05
"Evenness","PFHxS",1.45787297295784e-05,1.9906433688189e-05,0.469277747099825,1.44818057919284e-05,1.97740895146281e-05
"Evenness","PFNA",-2.30789955825026e-05,1.19370487484245e-05,0.0620761634117297,-3.57335656967491e-05,1.8482317142108e-05
"Evenness","PFOA",2.02896898552687e-05,1.56511151504672e-05,0.204118375217536,1.74283643314808e-05,1.34439382258704e-05
"Evenness","PFOS",2.29351025447479e-05,1.86572415913865e-05,0.227927005564748,2.05843686998792e-05,1.6744967199973e-05
"Shannon","PFBS",-3.20340223104011e-05,7.90284956166437e-05,0.687919303706223,-3.18092011705436e-05,7.84738579163387e-05
"Shannon","PFHxS",8.11236390931581e-05,0.00011076975649489,0.469277747099192,8.05843038641459e-05,0.00011003332464032
"Shannon","PFNA",-0.000128423541899481,6.64239513637712e-05,0.0620761634113108,-0.000198840155546176,0.000102845230911804
"Shannon","PFOA",0.000112902393257793,8.70909496520931e-05,0.204118375217721,9.6980488988696e-05,7.4809068612608e-05
"Shannon","PFOS",0.000127622846154133,0.000103818601579575,0.227927005565105,0.000114542139702193,9.31777117041586e-05
"Simpson","PFBS",-8.30210990593089e-07,1.08466966369185e-06,0.449639493582283,-8.24384404739499e-07,1.07705723626087e-06
"Simpson","PFHxS",2.88386977323826e-07,1.54217857586664e-06,0.852841431942728,2.86469690843612e-07,1.53192569218575e-06
"Simpson","PFNA",-2.00508010969933e-06,9.02642233366121e-07,0.0335255377716651,-3.10449653543444e-06,1.39757492614205e-06
"Simpson","PFOA",8.39883773289609e-07,1.22536145966423e-06,0.498016374273084,7.2144032271588e-07,1.05255655010605e-06
"Simpson","PFOS",1.58079022454759e-06,1.4408469208368e-06,0.280774061250567,1.41876709536248e-06,1.29316728367461e-06
"Richness","Mixture",8.07046499722018e-15,2.07395433366565e-14,0.700229061412904,2.63567000981475e-14,2.95753110672228e-14
"Evenness","Mixture",1.37613799711406e-05,3.38374141608286e-05,0.687440671259607,5.10572950492384e-07,4.66923313348693e-05
"Shannon","Mixture",7.65754796816706e-05,0.000188288981628919,0.687440671262096,2.84109360187387e-06,0.000259820430578299
"Simpson","Mixture",-1.24137859836004e-06,2.62496455999961e-06,0.640076405325482,-2.57555806786827e-06,3.79535991170808e-06
