"CNAME","display_name"
"METAB_C18_001","Synthetic metabolite C18-1"
"METAB_C18_002","Synthetic metabolite C18-2"
"METAB_C18_003","Synthetic metabolite C18-3"
"METAB_C18_004","Synthetic metabolite C18-4"
"METAB_C18_005","Synthetic metabolite C18-5"
"METAB_C18_006","Synthetic metabolite C18-6"
"METAB_C18_007","Synthetic metabolite C18-7"
"METAB_C18_008","Synthetic metabolite C18-8"
"METAB_C18_009","Synthetic metabolite C18-9"
"METAB_C18_010","Synthetic metabolite C18-10"
"METAB_C18_011","Synthetic metabolite C18-11"
"METAB_C18_012","Synthetic metabolite C18-12"
"METAB_C18_013","Synthetic metabolite C18-13"
"METAB_C18_014","Synthetic metabolite C18-14"
"METAB_C18_015","Synthetic metabolite C18-15"
"METAB_C18_016","Synthetic metabolite C18-16"
"METAB_C18_017","Synthetic metabolite C18-17"
"METAB_C18_018","Synthetic metabolite C18-18"
"METAB_C18_019","Synthetic metabolite C18-19"
"METAB_C18_020","Synthetic metabolite C18-20"
"METAB_C18_021","Synthetic metabolite C18-21"
"METAB_C18_022","Synthetic metabolite C18-22"
"METAB_C18_023","Synthetic metabolite C18-23"
"METAB_C18_024","Synthetic metabolite C18-24"
"METAB_C18_025","Synthetic metabolite C18-25"
"METAB_C18_026","Synthetic metabolite C18-26"
"METAB_C18_027","Synthetic metabolite C18-27"
"METAB_C18_028","Synthetic metabolite C18-28"
"METAB_C18_029","Synthetic metabolite C18-29"
"METAB_C18_030","Synthetic metabolite C18-30"
"METAB_C18_031","Synthetic metabolite C18-31"
"METAB_C18_032","Synthetic metabolite C18-32"
"METAB_C18_033","Synthetic metabolite C18-33"
"METAB_C18_034","Synthetic metabolite C18-34"
"METAB_C18_035","Synthetic metabolite C18-35"
"METAB_C18_036","Synthetic metabolite C18-36"
"METAB_C18_037","Synthetic metabolite C18-37"
"METAB_C18_038","Synthetic metabolite C18-38"
"METAB_C18_039","Synthetic metabolite C18-39"
"METAB_C18_040","Synthetic metabolite C18-40"
"METAB_C18_041","Synthetic metabolite C18-41"
"METAB_C18_042","Synthetic metabolite C18-42"
"METAB_C18_043","Synthetic metabolite C18-43"
"METAB_C18_044","Synthetic metabolite C18-44"
"METAB_C18_045","Synthetic metabolite C18-45"
"METAB_C18_046","Synthetic metabolite C18-46"
"METAB_C18_047","Synthetic metabolite C18-47"
"METAB_C18_048","Synthetic metabolite C18-48"
"METAB_C18_049","Synthetic metabolite C18-49"
"METAB_C18_050","Synthetic metabolite C18-50"
