"","X2138243","X3031449","X795747","X1313211","X2008785","X388447","X1497346","X3031419","X2907184","X200643","X186801","X3031647","X1853228","X1676648","X641853"
"MM-0001-01",0.163904414878674,0.109455782027683,0.0985525537865478,0.0936449899156774,0.0891328321222362,0.0669624175538494,0.0502601797147877,0.0497641400651602,0.0421210202566995,0.0411918369400685,0.0346145943838081,0.0311385430774585,0.0311037406337399,0.0278339881503969,0.0273912004327244
"MM-0001-06",0.164552412178807,0.109849912770565,0.0984246100975742,0.0938476217193988,0.0886087416459917,0.0671074894579502,0.0500225013953787,0.0498084459133667,0.0420440033781316,0.0415866698227065,0.034295633268167,0.031130826619443,0.0310468116691652,0.0278805438908712,0.0271076063483158
"MM-0002-01",0.164274872275067,0.109505997437408,0.0978772072474794,0.0936280107036171,0.0890656499309544,0.0673595710583955,0.0504044986072597,0.0494917774155671,0.0420748281954892,0.0414933264267028,0.0344032384792297,0.0313276295522436,0.0311750942916947,0.0280179256947825,0.0271724445363115
"MM-0002-06",0.164567696779553,0.109623136903679,0.0979198915885627,0.0932864559587546,0.0892621138428214,0.0673758341247344,0.0504491614151873,0.0497182491985375,0.0423305575728525,0.0410712837636933,0.0344224333826495,0.0313358790318657,0.0310990894232173,0.0277436689414567,0.027008431800448
"MM-0003-01",0.164048339387562,0.110053054602731,0.0978380165066259,0.0936759453196936,0.0893185873242334,0.0672005855231427,0.0502642611649077,0.0497721653900508,0.0420095990717974,0.0415104203556986,0.0342045351060923,0.0310644311554975,0.0313919328672083,0.0279290491657307,0.0269010108369001
"MM-0003-06",0.163997370906161,0.109765786213512,0.0980590114502778,0.0936102058947326,0.0890126470150726,0.0670668715162736,0.0504900098535097,0.0498323635784756,0.0423603983606563,0.041415684267155,0.0343992994053968,0.0311051029846478,0.0312191844813374,0.0278355123769104,0.0271730195023437
"MM-0004-01",0.164262629106379,0.109751086313586,0.0978773517836018,0.0936540233415233,0.0892007063882064,0.0669863755801256,0.0505089606652107,0.0498655615843116,0.0423914681727182,0.0412760061197561,0.0343102335289835,0.0312652851715352,0.0309926403676404,0.0279722193784694,0.0269530894530895
"MM-0004-06",0.164135004526608,0.109662240650178,0.0983271187211403,0.0937829419230022,0.0893209261563519,0.0670284163487018,0.0503946829927698,0.0495885747593044,0.0420137410449643,0.0413233816860477,0.0344900641992865,0.0311049263547786,0.0310460184454099,0.0278727423802103,0.0272071863515541
"MM-0005-01",0.164246114941535,0.109330084077204,0.0983460133572525,0.0939076447576026,0.0893763373462727,0.0671018220329825,0.0502928653251778,0.0496168975727841,0.0421996239220178,0.041346424017118,0.0343581818574794,0.0311852940540774,0.0313117340653165,0.0276844187001535,0.0270835584758035
"MM-0005-06",0.16404335001809,0.109513666086015,0.0979707533539237,0.093941971548855,0.0892609746805416,0.0671460439394557,0.0503959534871462,0.0495985355112173,0.0420839253666613,0.0415380965958783,0.0344701171926478,0.0312713401557936,0.0310197509506478,0.0278679372320874,0.0271256292725238
"MM-0006-01",0.164174816903638,0.109416656529252,0.0980837599597044,0.0935148394648813,0.0896533395086065,0.0671287373471632,0.0501496673218123,0.0496664912771823,0.0423230947889781,0.0414422389664625,0.0343157587207413,0.0311113586431596,0.0311128242934466,0.0277491568846724,0.0272122403295173
"MM-0006-06",0.164449434556064,0.109208439717615,0.098269992591368,0.0937566968522498,0.089421728721613,0.0673121666880966,0.0499600484928638,0.0495620641305879,0.041897038384061,0.0413819547767308,0.034470037900357,0.0312318228296076,0.0313879551563466,0.0279545746771735,0.0271945776161349
