"CNAME","Platform","Super_Class","Class"
"METAB_C18_001","C18","Organoheterocyclic compounds","Isoquinolines and derivatives"
"METAB_C18_002","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_003","C18","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_C18_004","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_005","C18","Organoheterocyclic compounds","Isoquinolines and derivatives"
"METAB_C18_006","C18","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_C18_007","C18","Phenylpropanoids and polyketides","Acetophenones"
"METAB_C18_008","C18","Organic oxygen compounds","Organooxygen compounds"
"METAB_C18_009","C18","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_C18_010","C18","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_C18_011","C18","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_C18_012","C18","Organic oxygen compounds","Organooxygen compounds"
"METAB_C18_013","C18","Phenylpropanoids and polyketides","Acetophenones"
"METAB_C18_014","C18","Benzenoids","Phenols"
"METAB_C18_015","C18","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_C18_016","C18","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_C18_017","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_018","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_019","C18","Organic oxygen compounds","Organooxygen compounds"
"METAB_C18_020","C18","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_C18_021","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_022","C18","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_C18_023","C18","Organic oxygen compounds","Organooxygen compounds"
"METAB_C18_024","C18","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_C18_025","C18","Organic oxygen compounds","Organooxygen compounds"
"METAB_C18_026","C18","Benzenoids","Phenols"
"METAB_C18_027","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_028","C18","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_C18_029","C18","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_C18_030","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_031","C18","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_C18_032","C18","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_C18_033","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_034","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_035","C18","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_C18_036","C18","Organoheterocyclic compounds","Isoquinolines and derivatives"
"METAB_C18_037","C18","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_C18_038","C18","Organic oxygen compounds","Organooxygen compounds"
"METAB_C18_039","C18","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_C18_040","C18","Benzenoids","Phenols"
"METAB_C18_041","C18","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_C18_042","C18","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_C18_043","C18","Organoheterocyclic compounds","Isoquinolines and derivatives"
"METAB_C18_044","C18","Organic oxygen compounds","Organooxygen compounds"
"METAB_C18_045","C18","Organoheterocyclic compounds","Isoquinolines and derivatives"
"METAB_C18_046","C18","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_C18_047","C18","Organoheterocyclic compounds","Isoquinolines and derivatives"
"METAB_C18_048","C18","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_C18_049","C18","Benzenoids","Phenols"
"METAB_C18_050","C18","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_HILIC_001","HILIC","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_HILIC_002","HILIC","Benzenoids","Phenols"
"METAB_HILIC_003","HILIC","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_HILIC_004","HILIC","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_HILIC_005","HILIC","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_HILIC_006","HILIC","Organoheterocyclic compounds","Isoquinolines and derivatives"
"METAB_HILIC_007","HILIC","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_HILIC_008","HILIC","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_HILIC_009","HILIC","Organic oxygen compounds","Organooxygen compounds"
"METAB_HILIC_010","HILIC","Benzenoids","Phenols"
"METAB_HILIC_011","HILIC","Benzenoids","Phenols"
"METAB_HILIC_012","HILIC","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_HILIC_013","HILIC","Organic oxygen compounds","Organooxygen compounds"
"METAB_HILIC_014","HILIC","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_HILIC_015","HILIC","Phenylpropanoids and polyketides","Acetophenones"
"METAB_HILIC_016","HILIC","Phenylpropanoids and polyketides","Acetophenones"
"METAB_HILIC_017","HILIC","Organic oxygen compounds","Organooxygen compounds"
"METAB_HILIC_018","HILIC","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_HILIC_019","HILIC","Organoheterocyclic compounds","Isoquinolines and derivatives"
"METAB_HILIC_020","HILIC","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_HILIC_021","HILIC","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_HILIC_022","HILIC","Benzenoids","Phenols"
"METAB_HILIC_023","HILIC","Benzenoids","Phenols"
"METAB_HILIC_024","HILIC","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_HILIC_025","HILIC","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_HILIC_026","HILIC","Lipids and lipid-like molecules","Fatty Acyls"
"METAB_HILIC_027","HILIC","Phenylpropanoids and polyketides","Acetophenones"
"METAB_HILIC_028","HILIC","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_HILIC_029","HILIC","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_HILIC_030","HILIC","Organic oxygen compounds","Organooxygen compounds"
"METAB_HILIC_031","HILIC","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_HILIC_032","HILIC","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_HILIC_033","HILIC","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_HILIC_034","HILIC","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_HILIC_035","HILIC","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_HILIC_036","HILIC","Organic acids and derivatives","Carboxylic acids and derivatives"
"METAB_HILIC_037","HILIC","Organic nitrogen compounds","Organonitrogen compounds"
"METAB_HILIC_038","HILIC","Nucleosides, nucleotides, and analogues","Purine nucleosides"
"METAB_HILIC_039","HILIC","Organoheterocyclic compounds","Isoquinolines and derivatives"
"METAB_HILIC_040","HILIC","Phenylpropanoids and polyketides","Acetophenones"
