"taxonomy_id","species_name"
72361,"Bacillus vallismortis"
1532905,"Paenibacillus sp. CAA11"
1316412,"Streptococcus sp. HSISS3"
1316411,"Streptococcus sp. HSISS2"
712623,"Streptococcus sp. oral taxon 061"
1839799,"Streptococcus sp. FDAARGOS_192"
1304,"Streptococcus salivarius"
197614,"Streptococcus pasteurianus"
1303,"Streptococcus oralis"
1307,"Streptococcus suis"
1314,"Streptococcus pyogenes"
1343,"Streptococcus vestibularis"
1302,"Streptococcus gordonii"
68892,"Streptococcus infantis"
1349,"Streptococcus uberis"
1328,"Streptococcus anginosus"
2382163,"Streptococcus koreensis"
1309,"Streptococcus mutans"
438033,"Ruminococcus gauvreauii"
1161942,"Ruminococcus champanellensis"
418240,"Blautia wexlerae"
2479767,"Blautia sp. SC05B48"
1322,"Blautia hansenii"
1912897,"Blautia argi"
33038,"Mediterraneibacter gnavus"
166486,"Roseburia intestinalis"
2763062,"Roseburia rectibacter"
208479,"Enterocloster bolteae"
1531,"Enterocloster clostridioformis"
333367,"Enterocloster asparagiformis"
33043,"Coprococcus eutactus"
751585,"Coprococcus sp. ART55/1"
831,"Butyrivibrio fibrisolvens"
1155388,"Clostridium sp. C1"
1502,"Clostridium perfringens"
1501,"Clostridium pasteurianum"
1520,"Clostridium beijerinckii"
1548,"Clostridium scatologenes"
1561,"Clostridium baratii"
1519,"Clostridium tyrobutyricum"
29466,"Veillonella parvula"
39777,"Veillonella atypica"
2682455,"Veillonella sp. S12025-13"
39778,"Veillonella dispar"
39483,"Faecalitalea cylindroides"
1680,"Bifidobacterium adolescentis"
2985571,"Bifidobacterium sp. KRGSERBCFTRI"
2020965,"Bifidobacterium imperatoris"
638619,"Bifidobacterium actinocoloniiforme"
37637,"Corynebacterium pseudodiphtheriticum"
322509,"Dietzia kunjamensis"
2932244,"Agromyces sp. H17E-10"
2678261,"Pseudomonas sp. Pc102"
1173273,"Pseudomonas sp. R2-37-08W"
1392877,"Pseudomonas oryzae"
490759,"Marinobacter sp. BSs20148"
564,"Escherichia fergusonii"
2044467,"Escherichia sp. E4742"
2725997,"Escherichia sp. SCLE84"
573,"Klebsiella pneumoniae"
571,"Klebsiella oxytoca"
1463165,"Klebsiella quasipneumoniae"
548,"Klebsiella aerogenes"
2873296,"Klebsiella sp. CTHL.F3a"
2058152,"Klebsiella grimontii"
2587529,"Klebsiella pasteurii"
2026240,"Klebsiella quasivariicola"
1259973,"Klebsiella electrica"
158836,"Enterobacter hormaechei"
550,"Enterobacter cloacae"
61645,"Enterobacter asburiae"
2027919,"Enterobacter cloacae complex sp."
1686399,"Enterobacter sp. BIDMC100"
299767,"Enterobacter ludwigii"
2596949,"Enterobacter sp. E76"
2742639,"Enterobacter sp. RHBSTW-00175"
2976431,"Enterobacter sp. CP102"
2478464,"Enterobacter oligotrophicus"
885040,"Enterobacter soli"
623,"Shigella flexneri"
35703,"Citrobacter amalonaticus"
657387,"Kushneria phosphatilytica"
1325112,"Bradyrhizobium sp. CCBAU 53340"
1325115,"Bradyrhizobium guangxiense"
2108445,"Mesorhizobium sp. DCY119"
2599640,"Bosea sp. F3-2"
1045317,"Sphingomonas lutea"
85698,"Achromobacter xylosoxidans"
820,"Bacteroides uniformis"
371601,"Bacteroides xylanisolvens"
28116,"Bacteroides ovatus"
2755405,"Bacteroides sp. CACC 737"
2785531,"Bacteroides sp. HF-162"
246787,"Bacteroides cellulosilyticus"
674529,"Bacteroides faecis"
2715212,"Bacteroides faecium"
291645,"Bacteroides nordii"
290053,"Bacteroides helcogenes"
151276,"Bacteroides coprosuis"
376805,"Phocaeicola salanitronis"
310298,"Phocaeicola coprocola"
823,"Parabacteroides distasonis"
46503,"Parabacteroides merdae"
1854492,"Sulfurospirillum diekertiae"
876,"Desulfovibrio desulfuricans"
137838,"Clostridium neonatale"
