"StrainID","Species","in_cohort"
"JEB66547","Streptococcus parasanguinis",FALSE
"JEB68700","Bacteroides eggerthii",FALSE
"JEB54762","Proteus mirabilis",FALSE
"JEB56307","Parabacteroides johnsonii",FALSE
"JEB12809","Bacteroides stercoris",FALSE
"JEB53866","Dorea formicigenerans",FALSE
"JEB60061","Blautia wexlerae",TRUE
"JEB46290","Bacteroides fragilis",FALSE
"JEB57622","Clostridium saccharogumia",FALSE
"JEB84609","Clostridium spiroforme",FALSE
"JEB80431","Parabacteroides merdae",TRUE
"JEB79241","Bacteroides salyersiae",FALSE
"JEB65576","Lacticaseibacillus casei",FALSE
"JEB19070","Alistipes shahii",FALSE
"JEB37926","Providencia rettgeri",TRUE
"JEB96943","Clostridium butyricum",FALSE
"JEB94230","Clostridium perfringens",TRUE
"JEB89370","Anaerostipes hadrus",FALSE
"JEB63617","Eggerthella lenta",FALSE
"JEB91138","Parabacteroides goldsteinii",FALSE
"JEB74074","Blautia obeum",FALSE
"JEB60283","Blautia producta",FALSE
"JEB77667","Phocaeicola vulgatus",FALSE
"JEB91970","Clostridium jeddahense",FALSE
"JEB31464","Staphylococcus aureus",FALSE
"JEB11249","Flavonifractor plautii",FALSE
"JEB28373","Dorea formicigenerans",FALSE
"JEB49739","Anaerococcus hydrogenalis",FALSE
"JEB51501","Clostridium scindens",FALSE
"JEB76453","Lacticaseibacillus rhamnosus",FALSE
"JEB94884","Dorea longicatena",FALSE
"JEB22326","Parabacteroides merdae",TRUE
"JEB11916","Collinsella aerofaciens",FALSE
"JEB57580","Prevotella histicola",FALSE
"JEB87883","Bifidobacterium breve",FALSE
"JEB12732","Citrobacter amalonaticus",TRUE
"JEB80350","Providencia alcalifaciens",FALSE
"JEB47454","Bacteroides caccae",FALSE
"JEB44385","Anaerostipes hadrus",FALSE
"JEB50927","Blautia wexlerae",TRUE
"JEB96246","Clostridium symbiosum",FALSE
"JEB74883","Prevotella copri",FALSE
"JEB79269","Bifidobacterium dentium",FALSE
"JEB58759","Bacteroides finegoldii",FALSE
"JEB33748","Clostridium cadaveris",FALSE
"JEB75060","Blautia wexlerae",TRUE
"JEB47333","Bacteroides xylanisolvens",TRUE
"JEB94205","Blautia wexlerae",TRUE
"JEB43810","Eggerthella sinensis",FALSE
"JEB95395","Gordonibacter pamelaeae",FALSE
"JEB67897","Enterococcus faecalis",FALSE
"JEB53157","Prevotella conceptionensis",FALSE
"JEB82832","Fusobacterium nucleatum",FALSE
"JEB89784","Bifidobacterium adolescentis",TRUE
"JEB78445","Proteus penneri",FALSE
"JEB19047","Paraeggerthella hongkongensis",FALSE
"JEB53622","Fusobacterium ulcerans",FALSE
"JEB84443","Dorea formicigenerans",FALSE
"JEB40438","Bacteroides thetaiotaomicron",FALSE
"JEB88037","Bifidobacterium adolescentis",TRUE
"JEB57919","Bacteroides thetaiotaomicron",FALSE
