"unnamed_column_1","StrainID","Drug","metric","date","median_value","perc","perc_inhibition","SILVA_Species","Strain_Info","GTDB_08-rs214_taxonomy","Species_SILVA_clean","Species_GTDB_clean","SILVA_in_FVA","GTDB_in_FVA","Species_merge_source","Species"
5,"JEB66547","PFOS-low","AUC",20260418,56.8908,110.836,-10.836,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis","Streptococcus parasanguinis","Streptococcus parasanguinis",TRUE,TRUE,"SILVA_and_GTDB_agree","Streptococcus parasanguinis"
6,"JEB66547","PFOS-high","AUC",20260718,31.0997,79.4302,20.5698,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis","Streptococcus parasanguinis","Streptococcus parasanguinis",TRUE,TRUE,"SILVA_and_GTDB_agree","Streptococcus parasanguinis"
7,"JEB66547","Veh","AUC",20260422,34.8364,104.9047,-4.90470000000001,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis","Streptococcus parasanguinis","Streptococcus parasanguinis",TRUE,TRUE,"SILVA_and_GTDB_agree","Streptococcus parasanguinis"
9,"JEB66547","Veh","AUC",20260305,23.8921,95.4171,4.5829,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis","Streptococcus parasanguinis","Streptococcus parasanguinis",TRUE,TRUE,"SILVA_and_GTDB_agree","Streptococcus parasanguinis"
10,"JEB66547","PFOS-low","AUC",20260709,23.1606,81.9546,18.0454,"Streptococcus parasanguinis","DSM 81898","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis","Streptococcus parasanguinis","Streptococcus parasanguinis",TRUE,TRUE,"SILVA_and_GTDB_agree","Streptococcus parasanguinis"
12,"JEB58338","PFOS-high","AUC",20260131,38.8372,120.5814,-20.5814,"Eubacterium limosum","DSM 25846","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum","Eubacterium limosum","Eubacterium limosum",TRUE,TRUE,"SILVA_and_GTDB_agree","Eubacterium limosum"
13,"JEB58338","PFOS-high","AUC",20260227,37.406,110.4535,-10.4535,"Eubacterium limosum","DSM 25846","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum","Eubacterium limosum","Eubacterium limosum",TRUE,TRUE,"SILVA_and_GTDB_agree","Eubacterium limosum"
16,"JEB58338","PFOS-high","AUC",20260623,58.3766,60.7216,39.2784,"Eubacterium limosum","DSM 25846","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum","Eubacterium limosum","Eubacterium limosum",TRUE,TRUE,"SILVA_and_GTDB_agree","Eubacterium limosum"
33,"JEB68700","PFOS-low","AUC",20260402,42.553,96.0944,3.90560000000001,"Bacteroides eggerthii","DSM 21626","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii","Bacteroides eggerthii","Bacteroides eggerthii",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides eggerthii"
34,"JEB68700","Veh","AUC",20260115,54.2815,47.5548,52.4452,"Bacteroides eggerthii","DSM 21626","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii","Bacteroides eggerthii","Bacteroides eggerthii",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides eggerthii"
35,"JEB68700","PFOS-low","AUC",20260222,27.0278,83.0133,16.9867,"Bacteroides eggerthii","DSM 21626","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii","Bacteroides eggerthii","Bacteroides eggerthii",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides eggerthii"
36,"JEB68700","PFOS-high","AUC",20260424,35.3854,98.5222,1.4778,"Bacteroides eggerthii","DSM 21626","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii","Bacteroides eggerthii","Bacteroides eggerthii",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides eggerthii"
37,"JEB54762","Veh","AUC",20260418,36.0042,80.0404,19.9596,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis","Proteus mirabilis","Proteus mirabilis",TRUE,TRUE,"SILVA_and_GTDB_agree","Proteus mirabilis"
38,"JEB54762","PFOS-high","AUC",20260316,46.359,109.4566,-9.4566,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis","Proteus mirabilis","Proteus mirabilis",TRUE,TRUE,"SILVA_and_GTDB_agree","Proteus mirabilis"
40,"JEB54762","PFOS-high","AUC",20260415,24.512,89.7371,10.2629,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis","Proteus mirabilis","Proteus mirabilis",TRUE,TRUE,"SILVA_and_GTDB_agree","Proteus mirabilis"
41,"JEB54762","Veh","AUC",20260201,33.1287,91.3307,8.66930000000001,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis","Proteus mirabilis","Proteus mirabilis",TRUE,TRUE,"SILVA_and_GTDB_agree","Proteus mirabilis"
42,"JEB54762","PFOS-low","AUC",20260307,29.1681,90.2167,9.7833,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis","Proteus mirabilis","Proteus mirabilis",TRUE,TRUE,"SILVA_and_GTDB_agree","Proteus mirabilis"
63,"JEB56307","Veh","AUC",20260210,55.4899,81.9753,18.0247,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii","Parabacteroides johnsonii","Parabacteroides johnsonii",TRUE,TRUE,"SILVA_and_GTDB_agree","Parabacteroides johnsonii"
65,"JEB56307","PFOS-high","AUC",20260416,28.5488,112.7878,-12.7878,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii","Parabacteroides johnsonii","Parabacteroides johnsonii",TRUE,TRUE,"SILVA_and_GTDB_agree","Parabacteroides johnsonii"
