"","X80865","X2000","X2698753","X1190","X2029","X1649510","X76890","X102115","X186831","X41707","X2044","X2847307","X872","X44","X816","X881616","X2304691","X1298","X1676142","X773","X543311","X2019","X896","X2894574","X1395974","X441","X2892397","X261963","X60919","X2755140","X748770","X1658781","X1649479","X252306","X42255","X74385","X1747770","X1802983","X1763827","X204286","X349742","X2792240","X44249","X1434026","X190972","X2055880","X81466","X1854","X1511648","X2781120","X1849828","X146918","X1278221","X2767353","X141450","X447237","X246875","X2733","X157","X1742989"
"MM-0001-01",0.0931592988476014,0.0591997977520263,0.0434512239172317,0.0412318967909179,0.038003677876271,0.0356223332168425,0.0351335411906097,0.0340491194894961,0.0330672306233488,0.0321522620426184,0.0292969965314942,0.0294081389938242,0.0269931385183379,0.0272479052189604,0.0272662985137826,0.0260108583054923,0.0249072606161597,0.0216853032486863,0.021491977979704,0.0200412557689395,0.0192119921151467,0.0178231026827208,0.0168772177128212,0.0161058733703834,0.0159352462099051,0.014112744635713,0.0134572389159853,0.0133821003499031,0.0121610986510671,0.0121618813444638,0.011853500146168,0.0107894284733683,0.00988659164028664,0.0098854176001916,0.00987132911905119,0.00983023771572498,0.00959542969671805,0.00904989239922529,0.00891879125527976,0.00773261941259643,0.0063597751948026,0.00577745130766543,0.00528318042765584,0.00461671700037452,0.00406257007551817,0.0036399156413057,0.00344267690533989,0.00335853736519574,0.00295310218571044,0.00241226104859782,0.00226628873011518,0.00168944369675484,0.00163935131936669,0.00121630553845588,0.000934927262345912,0.000623023943765045,0.000632416264525322,0.000437916955447918,0.00028646578318845,0.000292335983663623
"MM-0001-06",0.0933543014721312,0.0595154039288104,0.0434047879444723,0.0411125292858571,0.038182091991537,0.0353331243102857,0.0351380909941515,0.0343567233415379,0.0330723425476289,0.0321409967436843,0.0297370259641188,0.0289945415359244,0.0270380364341985,0.0271435766147648,0.0270090283143937,0.0259579468669996,0.0247525669100057,0.021791887107804,0.0214326801774556,0.0201402758610474,0.019342243969397,0.017708531349754,0.0168549519946477,0.0158964496530135,0.015826089532636,0.0141905253308777,0.0136264099797807,0.013367188483653,0.0121846447060799,0.0120655262566688,0.0117803826109283,0.0108039816421805,0.0100905053337909,0.00998434795918619,0.00970599344786809,0.0096911807909465,0.0096930323730617,0.00898634519909445,0.0088437733762242,0.00764518255365268,0.00629044163936612,0.00572694348230752,0.00533317368580873,0.00469746382625741,0.00406360554882128,0.00365317151328572,0.00346122416734352,0.00337111383773722,0.00300450057892801,0.00246322140725178,0.0022589301805416,0.0016904944711758,0.00158804026080151,0.00124611476352828,0.00096961183432537,0.000643116188012117,0.000599295411285763,0.000414754393804359,0.000322175288044458,0.00029193278016289
"MM-0002-01",0.0933468752936506,0.0592781309635781,0.043364132071876,0.040806352602085,0.0380663450670643,0.035886194840882,0.0352279782871967,0.0340564494244667,0.0330552928251322,0.0321388832537238,0.0297097611890228,0.0294300520864894,0.0272200428038357,0.0272064305869149,0.0269974171916152,0.025957180356605,0.0248365875313849,0.0216306908946564,0.0215942452816104,0.019853198827066,0.019175222603657,0.0176770005348284,0.0169041778967456,0.0160496819571382,0.0157567997414557,0.0142454045594779,0.0133777355067214,0.0133487546577933,0.0121179467858921,0.0120156356071005,0.0117310963630791,0.0107167666505955,0.00984251104126434,0.00998873259721977,0.00991935420130098,0.00983943731486287,0.00970770618337149,0.00914609245944657,0.00895376500746915,0.00773042189968587,0.00643857860352706,0.00573293884250489,0.00527978375017454,0.0045824869608135,0.00420441861343324,0.00358528229542375,0.00347682366382918,0.00339646767361944,0.00298371012827978,0.00247434975317977,0.00225567607490408,0.00169362324720752,0.00167737640765692,0.00116318589106889,0.000926948061927683,0.000582251601191903,0.000585764431365007,0.00043822556409466,0.000307811743918193,0.000295077734540693
"MM-0002-06",0.0935322119501328,0.0589618739387255,0.0432738777701987,0.0409278260743364,0.0381768573211616,0.0355151444784697,0.0351871471488905,0.0341523591135364,0.0330348460879788,0.0320827830428283,0.0298390490980073,0.0294798484826495,0.0271831415177859,0.026850064583545,0.0272136191457556,0.0258994528540122,0.0249894779617723,0.0219438921382233,0.0215230106091172,0.0198278739677518,0.0191907464116221,0.0179135886681277,0.0169673308854477,0.0160813027008984,0.0157859599727153,0.0140414786003512,0.0134152359113536,0.0134326516987649,0.0124283412913806,0.0118557972802345,0.0116228611236086,0.0107651335936026,0.0101301830108994,0.00991103435264067,0.00991901658853751,0.00974993831908625,0.0097005935880876,0.00914038575969116,0.00888495421099226,0.00758820370666009,0.00635095714264981,0.00573850195201951,0.00523779806394497,0.00464856392319638,0.00412899293209294,0.00358692654891659,0.0034309101200238,0.00333730026268813,0.00300712595968245,0.00244982076252123,0.00223937999796816,0.00169949058821822,0.00163055309638187,0.00115742420504187,0.000959319623238466,0.000630596635850398,0.000608826901586288,0.000427412449385368,0.000309855884359172,0.000290263123521472
"MM-0003-01",0.0931593297044767,0.0596354182130112,0.0435074541988934,0.0408376547239007,0.0381034511897165,0.0354934881101428,0.0353847777123587,0.034304525230176,0.0331539307258977,0.0322824204781156,0.0296153616013864,0.0292161477876749,0.0270880732360939,0.0271922159701056,0.0270195582795072,0.0259941177625938,0.0248659048108005,0.0215908898859591,0.0215799274929053,0.0199259764409038,0.0192481351370733,0.0178504300227059,0.0168304707023194,0.0159653551838188,0.0157164175082207,0.0141656956574764,0.0132809391847542,0.013497446447568,0.0122472768730505,0.0121403935407753,0.0114940691169747,0.010871953311168,0.0100369843735655,0.0098835108708114,0.0097400862283567,0.00981865004524271,0.00967796600105148,0.00915770909737026,0.00890191992611347,0.00759008689066794,0.00636458270052158,0.00577398377474475,0.00525372687106353,0.00462612986872991,0.00407983728154577,0.00355866684511006,0.00343899405427207,0.00337458999508063,0.00301968251996183,0.0024167509019994,0.00223952554762863,0.00169825739059418,0.00163842099517518,0.00125976166843968,0.000939568437991452,0.000609326347243849,0.000595166589549277,0.000439866021286227,0.000298268444340505,0.000293700780568062
"MM-0003-06",0.0933306316477802,0.0593551547872649,0.043254369311921,0.0408590209239518,0.0382569360501987,0.0354020819145032,0.0352274039692583,0.0343038713975756,0.0329450824870358,0.0321300557448699,0.0296956616985519,0.0295144076424273,0.0271613929682468,0.0272661997353937,0.0270237056467009,0.026075101652289,0.0249209941928831,0.0217603509012765,0.0215536144154927,0.0199506873885401,0.0191373046740941,0.0177604314586348,0.0170370592618562,0.0159906356181072,0.0158471941995414,0.0139865658274864,0.0135069207401906,0.0133030613029166,0.0120942899218224,0.0120951119356823,0.0116984902482441,0.0107679705587516,0.00994061360868606,0.00987279746523806,0.00987279746523806,0.0097462073308018,0.00969318743683337,0.00905900374386213,0.00887158458378767,0.00768171952147285,0.00637677251876144,0.00568299282094195,0.00523746130883513,0.00468630101572143,0.00411459037610833,0.0036489195244321,0.0034360179346984,0.00339080717239973,0.00303117610866037,0.00241384369981862,0.00227081328818285,0.0017180089673492,0.0016164902556422,0.00120219527021445,0.00095435809143178,0.000606235221732074,0.000598837096992292,0.000452518629916619,0.000304967142050982,0.000291814920291371
"MM-0004-01",0.0932035817201856,0.0591352521844213,0.0431057153444166,0.0410897829877564,0.0381995999292291,0.0354907951452936,0.0352760343661757,0.0341933284693788,0.0331121062394497,0.0320661210976316,0.0296240054331881,0.0295338726709676,0.0272924229503977,0.027083596838751,0.0272397527765898,0.0259871670234267,0.0248232303656163,0.021872587882225,0.0216763729389549,0.0200484194682315,0.0191370770946687,0.0178410940856217,0.0168296041984805,0.0159227128255211,0.015890072154429,0.0142142704272182,0.0134817099112285,0.013408639317988,0.0121089471417714,0.0120458912998888,0.0117532380102099,0.010704656451373,0.00999954377243814,0.00987862492271023,0.00986527192089979,0.00970318131558967,0.0096505111417818,0.00904146589253875,0.00893315821118737,0.00756818469278637,0.00633303202532026,0.00584416379237121,0.00529594888470907,0.00467058329991992,0.00402630096256597,0.00360493957210306,0.00342801229811467,0.00335827995532679,0.00290427789377168,0.00240205665901218,0.00228373422630297,0.00171289339890646,0.00163722638864728,0.00121846141520306,0.000953626879295911,0.000636122169580898,0.000581968328905206,0.000458453062158594,0.000327519461072847,0.000275591120698896
"MM-0004-06",0.0932633233319046,0.0590702243177597,0.0433415487926847,0.0409251321617374,0.0382458208315474,0.0355472210315759,0.0351128732676097,0.0341798828404058,0.0330682954707815,0.0321992427489641,0.0294817116730962,0.0293863409058437,0.0272942563223318,0.0272121017288184,0.0270081440205744,0.0259754964994999,0.0248396199457065,0.0217191741677382,0.0215141448778397,0.0199514216316617,0.0191491641663095,0.0177675382197457,0.01698421203029,0.0161401628804115,0.0158129732818974,0.0140859408486927,0.0133686955279326,0.0133844120588656,0.0122746106586655,0.0120988712673239,0.0116566652378911,0.0108286898128304,0.00992463209029861,0.00980925846549507,0.00973424774967853,0.00979997142448921,0.00972781825975139,0.00905379339905701,0.00902628946992427,0.00766288041148735,0.00645092156022289,0.00575439348478354,0.00532647521074439,0.0047638948421203,0.00411987426775254,0.00364694956422346,0.00344477782540363,0.00339084154879268,0.00302257465352193,0.00245320760108587,0.0022506786683812,0.00168059722817545,0.00167916845263609,0.00119195599371339,0.000934062008858408,0.000626875267895414,0.000600442920417202,0.000430418631233033,0.000301828832690384,0.00028932704672096
"MM-0005-01",0.093069247415244,0.0591664662979883,0.0433008736074377,0.040906067163581,0.0381049130399936,0.0356495952552697,0.0351911517191633,0.034279474232588,0.0330604311933958,0.0322597579546365,0.029645748176645,0.0294926665063717,0.0272789933477599,0.0273002324276669,0.0271375330608319,0.0259954315941332,0.0246890278111726,0.0216562474953915,0.0214222168790575,0.0199871764045844,0.0192590366273944,0.0178500440811092,0.0168329726697123,0.0160026448665545,0.0158479602468542,0.0141480323795784,0.0134198926023884,0.0133533702011702,0.0122914162058187,0.0120770217199647,0.0116863027971468,0.0107048970104993,0.0100268494029013,0.00985533381421816,0.0098425102188026,0.00978119740322193,0.00964254227779114,0.00922657690149876,0.00894966738799391,0.00766169752344314,0.00639095936523203,0.00580427987496994,0.00523803798990142,0.00468461970024846,0.00400336619379659,0.00357217279794822,0.00343071251102028,0.00335216798909994,0.00293099302716999,0.0024212551094013,0.00225975795463653,0.00171074777590767,0.00165985413160215,0.00122785926104031,0.00096938366594534,0.00063917608399455,0.000595896449467019,0.000456439849322754,0.000296545643984932,0.000283722048569368
"MM-0005-06",0.0932398102560644,0.0592174186731413,0.0435427485892853,0.0408663249477305,0.0381949596456914,0.0355668712483982,0.0350261909579371,0.0343837818394371,0.0330326431510083,0.0319889390975922,0.0294535869247544,0.0295328342438344,0.0273150333850408,0.027189698972595,0.0271452979924013,0.0262207459364673,0.0249988759245521,0.0219745509318585,0.0214855781120029,0.0198697196555833,0.01909242148333,0.0175546862705425,0.0169741013016794,0.0158578943818709,0.0160529214720892,0.0142043793979452,0.0135158831860794,0.0132888199455947,0.012098986083946,0.0119685933319844,0.0116870124322745,0.0108079854319822,0.0100104539016659,0.00994413345023718,0.00974798228457094,0.00968222387086621,0.00960241451406218,0.00915334637260853,0.00883017468132461,0.00778984285425238,0.00629088824441897,0.00582495897124615,0.00526854162451384,0.00470425574964592,0.00398765765158157,0.00359085901845732,0.00345428385153212,0.00337278838155617,0.00295069805085317,0.00240383534542839,0.00227512870663879,0.00174625120838111,0.00165576313482161,0.00118084125806524,0.000933544659517547,0.00060812481733774,0.000607562779613768,0.000431644972010521,0.000307434635012702,0.000283267012881905
