"CNAME","display_name"
"METAB_HILIC_001","Synthetic metabolite HILIC-1"
"METAB_HILIC_002","Synthetic metabolite HILIC-2"
"METAB_HILIC_003","Synthetic metabolite HILIC-3"
"METAB_HILIC_004","Synthetic metabolite HILIC-4"
"METAB_HILIC_005","Synthetic metabolite HILIC-5"
"METAB_HILIC_006","Synthetic metabolite HILIC-6"
"METAB_HILIC_007","Synthetic metabolite HILIC-7"
"METAB_HILIC_008","Synthetic metabolite HILIC-8"
"METAB_HILIC_009","Synthetic metabolite HILIC-9"
"METAB_HILIC_010","Synthetic metabolite HILIC-10"
"METAB_HILIC_011","Synthetic metabolite HILIC-11"
"METAB_HILIC_012","Synthetic metabolite HILIC-12"
"METAB_HILIC_013","Synthetic metabolite HILIC-13"
"METAB_HILIC_014","Synthetic metabolite HILIC-14"
"METAB_HILIC_015","Synthetic metabolite HILIC-15"
"METAB_HILIC_016","Synthetic metabolite HILIC-16"
"METAB_HILIC_017","Synthetic metabolite HILIC-17"
"METAB_HILIC_018","Synthetic metabolite HILIC-18"
"METAB_HILIC_019","Synthetic metabolite HILIC-19"
"METAB_HILIC_020","Synthetic metabolite HILIC-20"
"METAB_HILIC_021","Synthetic metabolite HILIC-21"
"METAB_HILIC_022","Synthetic metabolite HILIC-22"
"METAB_HILIC_023","Synthetic metabolite HILIC-23"
"METAB_HILIC_024","Synthetic metabolite HILIC-24"
"METAB_HILIC_025","Synthetic metabolite HILIC-25"
"METAB_HILIC_026","Synthetic metabolite HILIC-26"
"METAB_HILIC_027","Synthetic metabolite HILIC-27"
"METAB_HILIC_028","Synthetic metabolite HILIC-28"
"METAB_HILIC_029","Synthetic metabolite HILIC-29"
"METAB_HILIC_030","Synthetic metabolite HILIC-30"
"METAB_HILIC_031","Synthetic metabolite HILIC-31"
"METAB_HILIC_032","Synthetic metabolite HILIC-32"
"METAB_HILIC_033","Synthetic metabolite HILIC-33"
"METAB_HILIC_034","Synthetic metabolite HILIC-34"
"METAB_HILIC_035","Synthetic metabolite HILIC-35"
"METAB_HILIC_036","Synthetic metabolite HILIC-36"
"METAB_HILIC_037","Synthetic metabolite HILIC-37"
"METAB_HILIC_038","Synthetic metabolite HILIC-38"
"METAB_HILIC_039","Synthetic metabolite HILIC-39"
"METAB_HILIC_040","Synthetic metabolite HILIC-40"
