"Pathway","Category","col_name"
"PWY-6737 starch degradation V","Carbohydrates","PWY.6737.starch.degradation.V"
"PWY-7111 pyruvate fermentation to isobutanol","SCFAs","PWY.7111.pyruvate.fermentation.to.isobutanol"
"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","COA.PWY.coenzyme.A.biosynthesis.I"
"PWY-5484 glycolysis II","Carbohydrates","PWY.5484.glycolysis.II"
"PWY-6588 pyruvate fermentation to acetone","SCFAs","PWY.6588.pyruvate.fermentation.to.acetone"
"ANAGLYCOLYSIS-PWY glycolysis III","Carbohydrates","ANAGLYCOLYSIS.PWY.glycolysis.III"
"PWY-6572 chondroitin sulfate degradation I","Cell Wall","PWY.6572.chondroitin.sulfate.degradation.I"
"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate","SCFAs","P461.PWY.hexitol.fermentation.to.lactate..formate..ethanol.and.acetate"
"PWY-7237 myo-, chiro- and scillo-inositol degradation","Carbohydrates","PWY.7237.myo...chiro..and.scillo.inositol.degradation"
"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","BIFIDOSHUNT.PWY.bifidobacterium.shunt"
"PWY-7456 mannan degradation","Carbohydrates","PWY.7456.mannan.degradation"
"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I"
"PWY-7013 L-1,2-propanediol degradation","SCFAs","PWY.7013.L.1.2.propanediol.degradation"
"COLANSYN-PWY colanic acid building blocks biosynthesis","Cell Wall","COLANSYN.PWY.colanic.acid.building.blocks.biosynthesis"
"RHAMCAT-PWY L-rhamnose degradation I","Carbohydrates","RHAMCAT.PWY.L.rhamnose.degradation.I"
