"pwy_col","met_label","rho","p_val","FDR","Pathway","Category","met_base","Super_Class","Class","Met_SuperClass"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_002",-0.125891181988743,0.438904082836008,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_002","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_009",0.258724202626642,0.106959821329894,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_009","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_012",0.0692307692307692,0.671216190711817,0.797069226470283,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_012","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_037",0.194934333958724,0.228055340920526,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_037","Nucleosides, nucleotides, and analogues","Purine nucleosides","Nucleosides & Bases"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_042",-0.116135084427767,0.475454770796504,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_042","Organic acids and derivatives","Carboxylic acids and derivatives","Amino Acids & Derivatives"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_022",0.10375234521576,0.524057915179144,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_022","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_031",-0.112945590994372,0.487742038709697,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_031","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_039",-0.205065666041276,0.204311403188414,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_039","Nucleosides, nucleotides, and analogues","Purine nucleosides","Nucleosides & Bases"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_047",0.148968105065666,0.358925451147322,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_047","Organoheterocyclic compounds","Isoquinolines and derivatives","Aromatic & Indole Compounds"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_026",0.196060037523452,0.225327810549502,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_026","Benzenoids","Phenols","Aromatic & Indole Compounds"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_043",-0.206754221388368,0.200528591849069,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_043","Organoheterocyclic compounds","Isoquinolines and derivatives","Aromatic & Indole Compounds"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_044",0.164727954971857,0.309746135694588,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_044","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_C18_049",0.149718574108818,0.356482125742796,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_C18_049","Benzenoids","Phenols","Aromatic & Indole Compounds"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_HILIC_005",-0.0915572232645404,0.57419836767948,0.727317932394008,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_HILIC_005","Organic acids and derivatives","Carboxylic acids and derivatives","Amino Acids & Derivatives"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_HILIC_021",-0.000187617260787993,0.999083256819481,0.999083256819481,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_HILIC_021","Nucleosides, nucleotides, and analogues","Purine nucleosides","Nucleosides & Bases"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_HILIC_036",-0.00562851782363978,0.972502925603923,0.999083256819481,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_HILIC_036","Organic acids and derivatives","Carboxylic acids and derivatives","Amino Acids & Derivatives"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_HILIC_037",-0.0401500938086304,0.805698931242401,0.900487040800331,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_HILIC_037","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_HILIC_034",0.133395872420263,0.411877781576252,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_HILIC_034","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"COA.PWY.coenzyme.A.biosynthesis.I","METAB_HILIC_015",-0.16360225140713,0.313109937128957,0.711221456314552,"COA-PWY coenzyme A biosynthesis I","Vitamins & Cofactors","METAB_HILIC_015","Phenylpropanoids and polyketides","Acetophenones","Aromatic & Indole Compounds"
