"Pathway","Short_Name"
"UNMAPPED","UNMAPPED"
"UNINTEGRATED","UNINTEGRATED"
"PWY-6737: starch degradation V","Starch degradation V"
"PWY-6737: starch degradation V|unclassified","Starch degradation V (unclassified)"
"PWY-7111: pyruvate fermentation to isobutanol","Pyruvate ferm. to isobutanol"
"COA-PWY: coenzyme A biosynthesis I","CoA biosynthesis I"
"PWY-5484: glycolysis II","Glycolysis II"
"PWY-6588: pyruvate fermentation to acetone","Pyruvate ferm. to acetone"
"ANAGLYCOLYSIS-PWY: glycolysis III","Glycolysis III"
"PWY-6572: chondroitin sulfate degradation I","Chondroitin sulfate degradation I"
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate","Hexitol fermentation"
"PWY-7237: myo-, chiro- and scillo-inositol degradation","Inositol degradation"
"BIFIDOSHUNT-PWY: bifidobacterium shunt","Bifidobacterium shunt"
"PWY-7456: mannan degradation","Mannan degradation"
"UDPNAGSYN-PWY: UDP-N-acetylglucosamine biosynthesis I","UDP-GlcNAc biosynthesis I"
"PWY-7013: L-1,2-propanediol degradation","Propanediol degradation"
"COLANSYN-PWY: colanic acid building blocks biosynthesis","Colanic acid biosynthesis"
"RHAMCAT-PWY: L-rhamnose degradation I","L-rhamnose degradation I"
