"","X1936987","X95818","X203691","X200783","X200918","X142182","X40117","X1134404"
"MM-0001-01",0.275547724099092,0.20755708853059,0.147017442022502,0.128020447213111,0.102384066627392,0.0499902453838562,0.0294099274122012,0.0216225722778614
"MM-0001-06",0.27488063547237,0.207699786679373,0.147248384258067,0.127511750537433,0.102034464570735,0.050418171777502,0.0294207566891647,0.0219407632444015
"MM-0002-01",0.275896068307317,0.207682171979383,0.146874763165734,0.127748309237831,0.102348420442071,0.0500944335599689,0.0293772037311199,0.0215621419347287
"MM-0002-06",0.275664854747629,0.207467104212773,0.146570904330184,0.127824542701274,0.102339119520337,0.0502187321151801,0.0294665687428,0.0217081492143575
"MM-0003-01",0.275636383020963,0.207841003507276,0.147097398586796,0.127385057682551,0.10191181444527,0.0501680109997574,0.0296510003455806,0.0216525554583355
"MM-0003-06",0.275399903877922,0.20800127486093,0.146378598170635,0.127725129427312,0.102124886635326,0.0505290520607122,0.0296552343648102,0.0217979903685069
"MM-0004-01",0.276062706288048,0.207246106872762,0.146696488022568,0.127676324673728,0.102465917462912,0.0502978993589565,0.029667020832972,0.0215478399751455
"MM-0004-06",0.274975933901675,0.208062774489237,0.14692547867483,0.128069267364006,0.102386400222306,0.0500327599931416,0.0293447840124784,0.0216350327143065
"MM-0005-01",0.274991835401698,0.20786484090697,0.147120229541849,0.127568349351498,0.102540356443034,0.0502169450405897,0.0294677848278436,0.0218163898479052
"MM-0005-06",0.275288746599286,0.207576921328366,0.146933316105444,0.127937654183625,0.102493019115779,0.0502154682516325,0.029485053609841,0.0215903734384235
"MM-0006-01",0.275531704528323,0.20730867349436,0.146771398867968,0.127732040104706,0.102310464931876,0.0503298007099183,0.0294970465754176,0.0218500557009807
"MM-0006-06",0.275578173771465,0.207529976882044,0.146978923980606,0.127817107287103,0.102410744002375,0.0503638604287166,0.0292918889258696,0.0216823035198662
"MM-0007-01",0.275394593442712,0.207347445096323,0.146916443248648,0.127847322847064,0.102425121887627,0.0502940156429658,0.0295575070747569,0.0216975676807534
"MM-0007-06",0.275657680084106,0.207640004994784,0.146806023816525,0.127874182473412,0.102206096589986,0.050202275311939,0.029416187664227,0.0217048190263663
"MM-0008-01",0.27589537178831,0.20786481266044,0.146756611910539,0.127494266141528,0.102350756286129,0.0503835476219444,0.0292987347805146,0.0215865568795744
"MM-0008-06",0.276172240281427,0.207882703611346,0.146507074631518,0.12728909694082,0.102321241706372,0.0501333103264016,0.0296949447833638,0.0216531872022087
"MM-0009-01",0.275549146975888,0.207611495530077,0.14667592228728,0.12800658816225,0.102091877022614,0.0503363683063569,0.0294428518809154,0.0217558413272905
"MM-0009-06",0.27605321646737,0.207305041975723,0.146663691532023,0.127585640629642,0.102136957314757,0.0505651711182954,0.0294550865400647,0.021605243925523
"MM-0010-01",0.275836775636158,0.207581657460103,0.146710365917371,0.127617601370884,0.102290379431167,0.0500344810772028,0.029645367345375,0.0216565545393119
"MM-0010-06",0.27561949330782,0.207871905083446,0.146812212999211,0.127732206716048,0.10221807878025,0.0504848031105735,0.0293570570319401,0.0214957598852711
"MM-0011-01",0.275944436588095,0.207303427932052,0.146877845342384,0.1276450054705,0.102461849153127,0.0502472269153573,0.0294533717384778,0.0217137923591625
"MM-0011-06",0.275996472963983,0.207859595624271,0.146751859632364,0.127313797297776,0.102163983556244,0.0502976592710005,0.0293368568703066,0.021760552568976
"MM-0012-01",0.275417584665977,0.207076498554005,0.147161025798305,0.127949864847062,0.102255344799905,0.0504007567378431,0.0293773899576347,0.0216964839055535
