"Model","Timepoint","Direction","Pathway_short","Pathway","predictor","beta_display","p_val","FDR","Category"
"Binary","1m","Negative","COLANSYN-PWY colanic acid building blocks biosynthesis","COLANSYN-PWY colanic acid building blocks biosynthesis","PFDoA",-1.236,0.0151047274356791,0.226570911535187,"Cell Wall"
"Binary","1m","Negative","PWY-7013 L-1,2-propanediol degradation","PWY-7013 L-1,2-propanediol degradation","PFBA",-1.039,0.0128240752212212,0.192361128318319,"SCFA"
"Binary","1m","Negative","PWY-7237 myo-, chiro- and scillo-inositol degradation","PWY-7237 myo-, chiro- and scillo-inositol degradation","PFHpA",-0.754,0.014198529097464,0.212977936461959,"Carbohydrate"
"Binary","6m","Negative","PWY-6588 pyruvate fermentation to acetone","PWY-6588 pyruvate fermentation to acetone","N-MeFOSAA",-0.956,0.0489164863170062,0.366873647377547,"SCFA"
"Binary","6m","Negative","PWY-7456 mannan degradation","PWY-7456 mannan degradation","PFBA",-0.778,0.0485945400183155,0.509460078507845,"Carbohydrate"
"Binary","6m","Positive","BIFIDOSHUNT-PWY bifidobacterium shunt","BIFIDOSHUNT-PWY bifidobacterium shunt","PFHpA",1.167,0.00834608195793274,0.125191229368991,"Carbohydrate"
"Binary","6m","Positive","PWY-5484 glycolysis II","PWY-5484 glycolysis II","N-MeFOSAA",0.891,0.0237229834084155,0.355844751126233,"Carbohydrate"
"Continuous","1m","Negative","COA-PWY coenzyme A biosynthesis I","COA-PWY coenzyme A biosynthesis I","PFNA",-0.657,0.0225271681792012,0.337907522688018,"Vit. & Cofactor"
"Continuous","6m","Negative","BIFIDOSHUNT-PWY bifidobacterium shunt","BIFIDOSHUNT-PWY bifidobacterium shunt","PFOA",-0.483,0.0340419186699727,0.255314390024795,"Carbohydrate"
"Continuous","6m","Positive","PWY-7013 L-1,2-propanediol degradation","PWY-7013 L-1,2-propanediol degradation","PFOS",0.789,0.00370901208915263,0.0556351813372895,"SCFA"
"Continuous","6m","Positive","PWY-7013 L-1,2-propanediol degradation","PWY-7013 L-1,2-propanediol degradation","PFHxS",0.761,0.018561602352798,0.278424035291971,"SCFA"
"Continuous","6m","Positive","UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","PFOA",0.524,0.0115022227408893,0.172533341113339,"Cell Wall"
